N	2gram	Tiupa_Disk	Tragedij
1	и в	27	18
2	в году	3	9
3	в этом	29	9
4	не только	36	8
5	и не	25	7
6	он сам	2	7
7	и на	8	7
8	как бы	9	7
9	и с	2	7
10	может быть	29	7
11	ивана петровича	3	6
12	же время	9	6
13	что он	6	6
14	но в	15	6
15	и его	4	6
16	все же	8	5
17	это не	5	5
18	то же	12	5
19	как и	27	5
20	так и	14	5
21	не может	17	5
22	в то	8	5
23	он всегда	2	4
24	что в	8	4
25	еще не	20	4
26	в целом	5	4
27	но и	22	4
28	прежде всего	17	4
29	об этом	3	4
30	том что	27	4
31	в этой	5	4
32	и что	2	4
33	и все	5	4
34	все это	2	4
35	в нем	16	4
36	то что	10	4
37	но это	3	4
38	и даже	4	4
39	в себе	22	4
40	один из	3	3
41	своего рода	15	3
42	и как	9	3
43	в мире	9	3
44	уже в	2	3
45	тем самым	6	3
46	в своем	11	3
47	при этом	22	3
48	в его	9	3
49	что с	2	3
50	все эти	2	3
51	и он	2	3
52	отнюдь не	11	3
53	о чем	4	3
54	с ее	3	3
55	и сам	2	3
56	как будто	3	3
57	должно быть	2	3
58	как в	16	3
59	как это	2	3
60	для него	9	3
61	то есть	29	3
62	романа и	2	3
63	никогда не	3	2
64	в рассказе	6	2
65	в самом	4	2
66	и то	4	2
67	но все	2	2
68	данном случае	6	2
69	до конца	2	2
70	друг друга	2	2
71	тем что	4	2
72	в записках	2	2
73	перед нами	4	2
74	вопрос о	2	2
75	в одном	5	2
76	в данном	9	2
77	не могут	2	2
78	в ее	4	2
79	к тому	6	2
80	о том	12	2
81	в ходе	5	2
82	что и	5	2
83	ни в	7	2
84	тут же	3	2
85	не в	8	2
86	столь же	6	2
87	потому что	7	2
88	одном из	2	2
89	было в	4	2
90	по словам	4	2
91	в частности	18	2
92	к области	2	2
93	только о	2	2
94	он не	4	2
95	и ее	5	2
96	в первом	4	2
97	уже не	7	2
98	и это	3	2
99	но они	3	2
100	отличие от	13	2
101	в том	29	2
102	и до	2	2
103	но при	3	2
104	чем он	2	2
105	не случайно	2	2
106	в отличие	13	2
107	еще в	6	2
108	с его	9	2
109	времени в	3	2
110	отношение к	6	2
