N	2gram	Tiupa_Hudo	Stilisti
1	и в	23	42
2	как бы	11	30
3	не только	20	28
4	и т.п	7	25
5	прежде всего	5	22
6	и т.д	4	21
7	внутренней речи	14	18
8	то же	12	16
9	но и	14	16
10	и не	16	14
11	не может	9	13
12	может быть	19	13
13	как и	3	12
14	точки зрения	11	11
15	в себе	13	10
16	и как	4	10
17	отнюдь не	2	10
18	в этом	12	10
19	в то	8	9
20	для того	5	9
21	то что	5	9
22	при этом	19	9
23	тем самым	5	8
24	и это	2	8
25	таким образом	3	8
26	с его	6	8
27	никогда не	2	7
28	в которой	3	7
29	же время	7	7
30	так и	12	7
31	потому что	3	7
32	только в	7	7
33	а не	13	7
34	и на	3	7
35	того чтобы	5	7
36	и его	12	7
37	и тем	4	7
38	одно и	3	6
39	или иной	9	6
40	во всех	3	6
41	не в	9	6
42	в области	8	6
43	речи и	4	6
44	в нем	6	6
45	в свою	3	6
46	в его	11	6
47	в форме	4	6
48	слова в	3	6
49	в этой	2	6
50	и то	4	5
51	того или	4	5
52	в нашем	2	5
53	то есть	26	5
54	слова и	2	5
55	не является	5	5
56	своей жизни	2	5
57	самом деле	2	5
58	как это	7	5
59	а с	2	5
60	тому что	2	5
61	а в	13	5
62	но в	10	5
63	или иного	4	5
64	в самом	7	5
65	в той	3	5
66	с точки	3	5
67	художественного творчества	6	5
68	в одном	3	4
69	так же	2	4
70	внешней речи	2	4
71	ту или	2	4
72	его в	4	4
73	если бы	3	4
74	лишь в	7	4
75	свою очередь	2	4
76	слова как	5	4
77	к своему	2	4
78	того что	5	4
79	один из	2	4
80	к тому	4	4
81	о том	2	4
82	что такое	2	4
83	или иную	2	4
84	если мы	2	4
85	уже не	6	4
86	и к	3	4
87	в целом	3	4
88	во внутренней	2	4
89	той или	5	4
90	не просто	2	4
91	все это	2	4
92	в качестве	31	4
93	себя в	8	4
94	тех или	2	4
95	можно сказать	6	4
96	в слове	4	4
97	сказать что	4	3
98	это не	4	3
99	том что	9	3
100	внутренней и	2	3
101	об этом	2	3
102	этого слова	2	3
103	или иных	2	3
104	роль в	2	3
105	в виду	5	3
106	в том	20	3
107	он должен	3	3
108	в частности	18	3
109	еще не	4	3
110	вследствие этого	2	3
111	как в	2	3
112	не знает	4	3
113	для него	5	3
114	не с	2	3
115	по своему	3	3
116	и для	3	3
117	их в	3	3
118	высказывания в	5	3
119	и внешней	3	3
120	мы легко	2	3
121	между ними	5	3
122	из которых	2	3
123	не будет	3	3
124	хотя и	4	3
125	несмотря на	2	3
126	что и	2	3
127	в ее	6	3
128	все эти	2	3
129	высказывания и	2	3
130	связи с	3	3
131	отношения к	4	3
132	между тем	4	3
133	в основе	7	3
134	еще и	2	2
135	в каком	2	2
136	в отношении	4	2
137	и потому	2	2
138	значительной степени	2	2
139	слова не	2	2
140	с другими	5	2
141	мы имеем	6	2
142	из этих	3	2
143	но как	2	2
144	человека и	2	2
145	времени и	2	2
146	по отношению	10	2
147	и больше	2	2
148	с самим	2	2
149	при условии	2	2
150	общения людей	3	2
151	отношение к	7	2
152	должен быть	2	2
153	к которому	4	2
154	а на	5	2
155	я и	7	2
156	бы не	2	2
157	в их	5	2
158	тот или	3	2
159	не всегда	2	2
160	в значительной	2	2
161	художественного высказывания	2	2
162	в этих	4	2
163	что он	5	2
164	по своей	7	2
165	и сам	3	2
166	ни к	2	2
167	отношению к	10	2
168	в пределах	3	2
169	в какой	2	2
170	при всем	2	2
171	одной из	2	2
172	в жизни	3	2
173	в мире	24	2
174	но не	13	2
175	в душе	9	2
176	между внутренней	2	2
177	как уже	3	2
178	к нему	3	2
179	высказывания не	2	2
180	либо в	2	2
181	однако в	4	2
182	представляет собой	11	2
183	между собой	2	2
184	место в	5	2
185	о чем	3	2
186	человека с	3	2
187	между двумя	2	2
188	здесь не	2	2
189	языка в	4	2
190	в своей	7	2
191	или даже	3	2
192	или в	2	2
193	в связи	3	2
194	он не	4	2
195	с ним	2	2
196	вовсе не	2	2
