N	2gram	Bakhtin_Pr	Komedia
1	и в	38	77
2	и не	42	47
3	в том	8	44
4	том что	3	42
5	о том	4	33
6	едва ли	3	32
7	но и	9	32
8	может быть	26	30
9	таким образом	10	29
10	в то	4	28
11	и его	16	28
12	в этом	15	27
13	что он	2	26
14	не только	9	25
15	как и	7	23
16	ни в	11	23
17	что в	7	23
18	что и	2	22
19	если бы	3	22
20	в самом	7	22
21	так и	5	21
22	а в	6	21
23	то же	5	21
24	ясно что	3	21
25	в его	43	20
26	к этому	2	19
27	и т	14	17
28	тем что	2	17
29	еще не	7	17
30	и здесь	2	17
31	в нем	15	17
32	же время	3	17
33	все же	6	16
34	не менее	4	16
35	при этом	5	16
36	он не	3	16
37	его в	9	15
38	в своем	5	15
39	не в	7	15
40	точки зрения	8	15
41	между тем	7	15
42	прежде всего	13	15
43	было бы	8	15
44	и на	3	15
45	к нему	10	14
46	все это	3	14
47	в свою	2	14
48	и с	17	14
49	столь же	2	14
50	то что	8	13
51	самом деле	6	13
52	но в	4	13
53	в них	5	13
54	того чтобы	2	13
55	в двух	2	13
56	мы можем	6	13
57	с другой	7	12
58	для того	2	12
59	т п	13	12
60	как это	2	12
61	несмотря на	3	12
62	в истории	2	12
63	хотя и	3	12
64	в начале	2	12
65	не может	27	12
66	как в	4	12
67	но не	12	12
68	в котором	2	12
69	из которых	2	12
70	по отношению	21	11
71	в их	10	11
72	в частности	2	11
73	как мы	7	11
74	и даже	3	11
75	и для	11	11
76	с ним	5	11
77	в целом	3	10
78	к себе	2	10
79	отношение к	10	10
80	ничего не	6	10
81	одной из	3	10
82	и все	3	10
83	в чем	2	10
84	с его	2	10
85	на него	3	10
86	с одной	3	10
87	как бы	22	10
88	и что	2	10
89	в тех	3	9
90	отличие от	5	9
91	одной стороны	3	9
92	в своей	7	9
93	независимо от	13	9
94	отношению к	19	9
95	все что	3	9
96	вовсе не	2	9
97	говорить о	3	9
98	только в	13	9
99	в ней	4	9
100	и ее	2	8
101	и других	2	8
102	то ни	3	8
103	место в	8	8
104	не знает	3	8
105	связи с	2	8
106	да и	3	8
107	по поводу	2	8
108	другой стороны	4	8
109	можно было	4	8
110	не было	2	8
111	во всех	11	8
112	в себе	4	7
113	в другом	2	7
114	и у	2	7
115	и к	3	7
116	и о	5	7
117	в других	4	7
118	и это	3	7
119	и во	2	7
120	в связи	2	7
121	бы то	3	7
122	хотя бы	4	7
123	дело с	6	7
124	не является	3	7
125	ни было	3	7
126	в этих	2	7
127	не имеет	9	7
128	к его	2	7
129	отнюдь не	19	7
130	в виду	4	6
131	и тем	3	6
132	в области	11	6
133	о которых	2	6
134	на ее	3	6
135	могут быть	5	6
136	здесь в	2	6
137	что не	4	6
138	нет и	3	6
139	в дальнейшем	3	6
140	и он	2	6
141	тем не	3	6
142	и как	8	6
143	человека в	2	6
144	в отличие	5	6
145	в какой	2	6
146	на то	2	6
