N	2gram	Losev_Dial	DiskursI
1	в качестве	2	72
2	а не	24	60
3	может быть	30	56
4	не только	26	49
5	и в	35	49
6	как и	10	47
7	при этом	2	46
8	в том	20	44
9	и не	51	44
10	том что	18	40
11	в этом	18	38
12	в себе	23	37
13	в частности	4	36
14	но и	17	35
15	но не	9	31
16	со стороны	2	28
17	так и	18	28
18	но в	8	28
19	не может	16	27
20	по своей	5	26
21	как в	3	25
22	еще не	4	23
23	отнюдь не	13	23
24	все же	9	19
25	прежде всего	14	19
26	в нем	25	19
27	в своей	9	19
28	в основе	4	18
29	далеко не	2	18
30	в данном	5	17
31	то же	21	17
32	с другой	10	17
33	в мире	3	17
34	точки зрения	25	16
35	только в	7	16
36	в его	4	15
37	то что	25	15
38	о том	8	15
39	это не	18	14
40	или иной	4	14
41	не в	12	14
42	не менее	5	14
43	одной стороны	3	14
44	можно сказать	10	14
45	не является	3	14
46	ни к	2	14
47	с одной	4	14
48	для него	2	13
49	как бы	19	13
50	в своем	7	12
51	и все	11	12
52	что в	19	11
53	и как	14	11
54	не было	7	11
55	а в	8	10
56	а с	2	10
57	той или	11	10
58	также и	7	10
59	же время	9	10
60	в то	10	9
61	в силу	6	9
62	между тем	3	9
63	в них	4	9
64	уже не	3	9
65	еще в	2	9
66	себя в	2	9
67	этом отношении	2	8
68	и о	4	8
69	к тому	6	8
70	потому что	23	8
71	хотя и	4	8
72	если в	5	8
73	в противоположность	6	8
74	и даже	23	8
75	в этих	6	8
76	не с	5	8
77	в котором	5	8
78	в одном	4	8
79	из них	5	8
80	он не	5	8
81	перед нами	3	7
82	его в	3	7
83	о чем	4	7
84	могут быть	6	7
85	и для	2	7
86	но это	12	7
87	на сцене	3	7
88	что и	7	7
89	например в	2	7
90	в этой	3	7
91	другой стороны	7	7
92	к этому	2	7
93	ни в	20	7
94	я в	3	7
95	и его	6	7
96	таким образом	5	7
97	тому же	3	7
98	никогда не	18	6
99	к его	2	6
100	в одной	4	6
101	не как	4	6
102	отношение к	5	6
103	что он	16	6
104	не знает	2	6
105	одно из	2	6
106	именно в	4	6
107	времени в	2	6
108	что же	5	6
109	крайней мере	11	6
110	и может	7	6
111	в сущности	2	6
112	в ее	3	6
113	и то	15	6
114	в эпоху	2	6
115	то в	8	6
116	во всех	3	6
117	в особенности	6	6
118	времени и	10	6
119	по крайней	11	6
120	в которых	2	6
121	с точки	18	6
122	в первую	2	5
123	ничего не	19	5
124	в другом	6	5
125	проявляется в	2	5
126	в виду	9	5
127	в их	5	5
128	не всегда	2	5
129	и потому	6	5
130	того что	6	5
131	к ним	3	5
132	стороны и	4	5
133	для своего	3	5
134	мира и	2	5
135	несмотря на	12	5
136	один из	3	5
137	здесь в	3	5
138	того как	3	5
139	как будто	7	5
140	сказать что	19	5
141	но она	4	5
142	из этих	2	5
143	за пределы	4	5
144	не обязательно	5	5
145	мысль о	2	5
146	я и	3	5
147	себе не	7	5
148	но они	2	5
149	что касается	3	5
150	можно говорить	2	5
151	в акте	2	5
152	и состоит	2	5
153	оно не	2	5
154	на этом	4	5
155	в той	4	5
156	как раз	7	5
157	говорить о	9	5
158	же самое	3	5
159	не к	2	5
160	в ней	4	5
161	тем что	2	5
162	становления и	2	5
163	не о	5	4
164	не могут	4	4
165	из того	2	4
166	для меня	5	4
167	с той	2	4
168	силу своей	2	4
169	однако это	2	4
170	и тем	2	4
171	у них	3	4
172	из жизни	2	4
173	может и	5	4
174	и др	2	4
175	может иметь	6	4
176	по своему	4	4
177	объекта и	2	4
178	как это	8	4
179	и это	6	4
180	только на	3	4
181	человеческой жизни	2	4
182	в полной	2	4
183	что не	13	4
184	и до	2	4
185	того и	3	4
186	что они	8	4
187	должны быть	2	4
188	во всяком	5	4
189	об одном	3	4
190	мы имеем	4	4
191	с ней	2	4
192	хотя в	3	4
193	в результате	2	4
194	отличается от	3	4
195	по мере	3	4
196	тем не	3	4
197	я не	9	4
198	связи с	3	4
199	в становлении	2	4
200	в какой	3	4
201	или на	3	4
202	есть в	2	4
203	в жизни	3	4
204	но уже	3	4
205	во мне	5	4
206	в самом	6	4
207	человеческого сознания	2	4
208	будто бы	3	4
209	не есть	67	4
210	и к	8	4
211	по себе	39	4
212	говорит о	6	4
213	точка зрения	3	4
214	или в	2	4
215	и есть	20	4
216	с ним	9	4
217	еще и	4	3
218	первый взгляд	2	3
219	вопрос о	3	3
220	и притом	7	3
221	указывает на	3	3
222	в тех	2	3
223	вплоть до	3	3
224	он мог	2	3
225	виду что	2	3
226	это и	6	3
227	в области	2	3
228	здесь как	2	3
229	в одно	5	3
230	мире и	3	3
231	у пушкина	6	3
232	что ни	3	3
233	стремится к	2	3
234	мере в	3	3
235	но как	7	3
236	о котором	2	3
237	но так	2	3
238	она не	10	3
239	они не	3	3
240	более или	5	3
241	об этом	7	3
242	заметить что	2	3
243	своей собственной	2	3
244	что на	2	3
245	по этой	2	3
246	и он	6	3
247	не бывает	2	3
248	в мифе	23	3
249	для этого	2	3
250	различия между	3	3
251	все эти	4	3
252	было бы	14	3
253	дело не	3	3
254	должна быть	5	3
255	как мы	5	3
256	да и	11	3
257	одно и	8	3
258	содержит в	6	3
259	и от	5	3
260	или не	5	3
261	не будучи	3	3
262	тут же	2	3
263	с этим	5	3
264	качестве примера	2	3
265	с их	2	3
266	хотя бы	6	3
267	в которой	3	3
268	к ней	4	3
269	который не	2	3
270	а о	2	3
271	и по	5	3
272	не просто	19	3
273	как не	4	3
274	на первый	2	3
275	как у	3	3
276	чем не	2	3
277	перед лицом	2	3
278	заключается в	4	3
279	и более	7	3
280	или менее	5	3
281	обоих случаях	2	3
282	но все	5	3
283	отношения к	3	3
284	не имеет	15	3
285	их в	2	3
286	когда он	2	3
287	личности в	2	3
288	на почве	2	3
289	уже в	5	3
290	всяком случае	3	3
291	жизни и	9	3
292	может оказаться	2	3
293	момент в	2	3
294	и что	17	3
295	тем же	3	3
296	вместе с	3	3
297	в широком	2	2
298	можно указать	2	2
299	в отношении	5	2
300	чтобы не	6	2
301	как можно	2	2
302	ни о	5	2
303	от всего	2	2
304	мы должны	6	2
305	и быть	2	2
306	мифа и	5	2
307	вслед за	2	2
308	они были	2	2
309	а потом	9	2
310	в каждом	4	2
311	также не	2	2
312	есть не	8	2
313	сами по	4	2
314	себе как	3	2
315	быть и	7	2
316	он всегда	3	2
317	в науке	3	2
318	света и	3	2
319	и при	3	2
320	о которых	2	2
321	в современной	2	2
322	во времени	4	2
323	самом деле	6	2
324	просто как	2	2
325	в чем	9	2
326	и пространства	2	2
327	его не	7	2
328	что даже	2	2
329	по существу	2	2
330	миф если	2	2
331	в душе	8	2
332	в него	2	2
333	только через	2	2
334	со всей	2	2
335	мифа как	2	2
336	к нему	12	2
337	о мире	2	2
338	только с	3	2
339	с самого	2	2
340	а только	5	2
341	или по	2	2
342	жизнь в	2	2
343	в голову	2	2
344	в различных	2	2
345	а потому	3	2
346	не то	9	2
347	же не	4	2
348	не всякий	2	2
349	речь идет	2	2
350	и другого	3	2
351	тем или	2	2
352	она сама	2	2
353	самого начала	2	2
354	иметь в	4	2
355	что с	2	2
356	выбор между	2	2
357	как нечто	5	2
358	все это	14	2
359	и они	3	2
360	своего развития	2	2
361	же как	3	2
362	вовсе не	19	2
363	и вообще	10	2
364	это еще	2	2
365	могла бы	2	2
366	утверждать что	3	2
367	с другими	2	2
368	его с	6	2
369	только то	7	2
370	же это	6	2
371	необходимо чтобы	2	2
372	тем более	2	2
373	должно быть	7	2
374	что она	18	2
375	это было	4	2
376	не нужно	2	2
377	мысли и	3	2
