N	2gram	Losev_Prob	Problemy
1	и в	64	106
2	и не	63	90
3	как бы	18	70
4	может быть	29	66
5	т е	2	59
6	в его	12	56
7	в этом	30	52
8	в нем	14	51
9	не может	18	49
10	из подполья	2	48
11	что он	11	44
12	как и	7	44
13	но и	23	40
14	точки зрения	5	40
15	для него	2	39
16	и его	3	39
17	а не	21	38
18	не только	37	36
19	то же	10	36
20	в пределах	2	35
21	то что	72	33
22	но в	19	33
23	прежде всего	17	32
24	в то	7	29
25	все это	11	29
26	он не	5	29
27	и все	9	28
28	не в	6	27
29	к нему	5	25
30	в сущности	2	25
31	с точки	3	25
32	и т	13	25
33	в самом	10	25
34	и с	12	25
35	самом деле	10	24
36	не как	2	24
37	с самим	3	24
38	вовсе не	60	24
39	слова и	5	23
40	и на	11	23
41	таким образом	9	22
42	по себе	20	22
43	как мы	10	21
44	никогда не	8	20
45	все же	7	20
46	потому что	24	20
47	только в	19	20
48	что в	21	19
49	с его	3	19
50	что же	18	19
51	на самом	9	18
52	в себе	16	18
53	о нем	3	18
54	все эти	15	18
55	слово о	2	18
56	уже не	9	18
57	еще не	18	18
58	но не	13	18
59	это не	7	17
60	в том	19	17
61	так и	17	17
62	а в	7	17
63	и к	2	17
64	с ним	4	17
65	так же	12	16
66	в другом	2	16
67	если бы	8	16
68	в своей	8	16
69	этом смысле	8	16
70	и наконец	3	15
71	и для	10	15
72	в отношении	7	14
73	так как	16	14
74	в своем	7	14
75	в конце	13	14
76	лишь в	4	14
77	и сам	3	14
78	он и	8	14
79	как раз	20	14
80	его в	9	13
81	перед нами	7	13
82	и это	13	13
83	с другими	6	13
84	но все	5	13
85	том что	26	12
86	слово в	2	12
87	даже в	2	12
88	в плане	2	12
89	ничего не	20	12
90	так что	12	12
91	к тому	5	12
92	между тем	3	12
93	не знает	4	12
94	что и	2	12
95	при этом	8	12
96	было бы	16	12
97	во всяком	18	12
98	но это	11	12
99	за пределы	6	12
100	и даже	19	12
101	и как	10	12
102	как в	5	12
103	себе и	2	12
104	в котором	5	12
105	и что	21	12
106	не могут	6	11
107	слово и	3	11
108	конце концов	11	11
109	она не	5	11
110	бы и	5	11
111	он сам	2	11
112	должно быть	3	11
113	бы в	3	11
114	тем что	10	11
115	сознания и	4	11
116	или как	4	11
117	с другой	8	11
118	их в	6	11
119	входит в	4	11
120	мы уже	8	11
121	как будто	6	11
122	для себя	9	10
123	в него	3	10
124	что не	8	10
125	ведь и	2	10
126	самого начала	2	10
127	до сих	6	10
128	сих пор	6	10
129	далеко не	9	10
130	в самой	3	10
131	той же	2	10
132	и потому	3	9
133	с самого	3	9
134	или в	5	9
135	могут быть	2	9
136	в них	8	9
137	раз и	13	9
138	хотя и	8	9
139	да и	11	9
140	другой стороны	7	9
141	хотя бы	15	9
142	ни в	13	9
143	всяком случае	11	9
144	в той	2	9
145	но он	3	9
146	мы должны	5	8
147	но как	11	8
148	уже в	6	8
149	никак не	13	8
150	одним из	2	8
151	и о	11	8
152	того что	18	8
153	здесь не	9	8
154	несмотря на	6	8
155	сознание и	2	8
156	нам кажется	2	8
157	и до	3	8
158	не на	4	8
159	должна быть	2	8
160	и от	3	8
161	что это	4	8
162	бы он	2	8
163	все время	3	8
164	он есть	5	8
165	я вам	2	8
166	мы увидим	3	8
167	был бы	6	8
168	в результате	6	8
169	о том	25	8
170	и так	2	8
171	из них	3	8
172	же и	4	8
173	не о	7	7
174	вопрос о	4	7
175	были бы	2	7
176	и следовательно	6	7
177	в этих	7	7
178	но эта	3	7
179	в их	7	7
180	в виде	20	7
181	к своему	2	7
182	в виду	10	7
183	и др	2	7
184	он в	2	7
185	к самому	2	7
186	только на	13	7
187	что все	9	7
188	то ни	3	7
189	что они	5	7
190	и ее	9	7
191	все равно	7	7
192	например в	2	7
193	тот же	4	7
194	бы то	2	7
195	сказать что	33	7
196	кажется что	2	7
197	в жизни	3	7
198	друг другу	2	7
199	что она	8	7
200	мысли и	2	7
201	отличается от	2	7
202	т д	12	7
203	сама по	6	7
204	и их	4	7
205	во всех	9	7
206	на этот	3	7
207	если же	4	7
208	не было	7	7
209	как его	2	7
210	как он	4	6
211	и вы	2	6
212	по существу	2	6
213	не менее	26	6
214	собою и	2	6
215	на его	2	6
216	и во	4	6
217	и здесь	8	6
218	но зато	3	6
219	одна из	4	6
220	для этого	5	6
221	как же	6	6
222	и нет	2	6
223	с этим	7	6
224	можно было	8	6
225	время не	2	6
226	зависимости от	2	6
227	кроме того	7	6
228	но ведь	6	6
229	но для	3	6
230	и пр	4	6
231	и только	7	6
232	слова как	2	6
233	в этой	14	6
234	на то	12	6
235	на почве	2	6
236	в своих	3	6
237	этот вопрос	2	6
238	в которых	4	6
239	конечно не	3	6
240	что было	2	6
241	в основе	4	6
242	как на	3	6
243	отношения к	2	6
244	но с	2	6
245	ли вы	2	6
246	нисколько не	3	5
247	и то	15	5
248	или иной	8	5
249	крайней мере	8	5
250	не во	3	5
251	есть и	4	5
252	не хочет	3	5
253	ведь это	4	5
254	бы его	3	5
255	но именно	5	5
256	была бы	2	5
257	говорили что	2	5
258	со всеми	2	5
259	по своему	14	5
260	с тем	6	5
261	тому что	6	5
262	в общем	5	5
263	того же	3	5
264	на себя	2	5
265	в чем	3	5
266	однако в	2	5
267	один из	7	5
