N	2gram	Voloshinov	VelikijI
1	и не	14	20
2	и в	42	16
3	так как	8	9
4	то что	9	9
5	еще не	3	8
6	и потому	2	7
7	а не	7	7
8	не есть	2	6
9	человека и	2	6
10	в мире	2	5
11	как бы	30	5
12	но и	16	5
13	все это	4	5
14	хотя и	3	5
15	того что	4	5
16	и все	4	4
17	как и	12	4
18	в котором	3	4
19	потому что	7	4
20	в нем	6	4
21	в ней	8	4
22	что мы	11	4
23	в его	6	4
24	в этом	10	4
25	что он	2	4
26	так и	7	4
27	никогда не	7	3
28	в жизни	2	3
29	в том	3	3
30	и для	3	3
31	тому что	5	3
32	но в	5	3
33	к тому	4	3
34	их в	3	3
35	нет ничего	2	3
36	но это	2	3
37	бы и	2	3
38	должно быть	2	3
39	хотя бы	18	3
40	в своей	2	3
41	во всех	6	3
42	к чему	2	3
43	в конце	6	3
44	жизни и	3	3
45	как не	2	3
46	что и	3	3
47	не было	2	3
48	лишь в	4	3
49	если не	3	3
50	не в	6	3
51	все эти	3	3
52	в этих	2	3
53	тот же	2	3
54	с его	8	3
55	и то	5	2
56	с тем	8	2
57	да и	4	2
58	не так	3	2
59	но не	2	2
60	нет и	3	2
61	и это	8	2
62	это не	3	2
63	не только	28	2
64	а в	5	2
65	том что	3	2
66	но мы	2	2
67	а к	3	2
68	и тогда	2	2
69	уже не	4	2
70	не к	4	2
71	один из	4	2
72	не будет	3	2
73	для них	2	2
74	того чтобы	7	2
75	тем что	2	2
76	мы не	9	2
77	конечно не	3	2
78	что было	3	2
79	можно было	4	2
80	только в	7	2
81	до того	3	2
82	и сам	2	2
83	в форме	6	2
84	его и	3	2
85	для нас	3	2
86	прежде всего	22	2
87	с ним	2	2
88	его не	2	2
89	всего в	4	2
90	между тем	3	2
91	а с	5	2
92	для него	3	2
93	не с	3	2
