N	2gram	Bakhtin_fo	FransuaR
1	и в	84	367
2	то есть	42	209
3	в этом	41	112
4	и т.п	6	108
5	и не	19	101
6	у рабле	12	100
7	таким образом	14	100
8	и его	26	99
9	в его	19	98
10	прежде всего	28	92
11	не только	16	87
12	мы уже	17	85
13	но и	14	84
14	как бы	11	82
15	все эти	12	79
16	вовсе не	20	77
17	в романе	40	77
18	рабле в	5	76
19	как и	15	76
20	в нем	28	75
21	но в	16	75
22	в эпоху	5	75
23	и др	13	72
24	и на	13	72
25	в том	16	71
26	как мы	19	71
27	то же	18	66
28	и все	10	66
29	так и	17	65
30	в этой	3	65
31	рабле и	4	65
32	в них	11	65
33	в сущности	5	64
34	и с	10	64
35	во время	7	63
36	в то	13	63
37	все это	10	62
38	во всех	13	62
39	романе рабле	3	59
40	же время	13	55
41	что в	9	52
42	в своем	8	51
43	только в	12	48
44	так как	12	46
45	и до	7	46
46	том что	7	45
47	уже говорили	6	44
48	здесь в	6	41
49	то что	13	41
50	жизни и	12	40
51	у него	8	40
52	в самом	9	38
53	точки зрения	14	37
54	в ней	4	37
55	с его	10	36
56	может быть	18	35
57	мы видим	4	35
58	он был	2	35
59	о том	4	35
60	до нас	6	34
61	сказать что	4	34
62	и даже	5	34
63	в себе	7	34
64	рабле не	3	34
65	рядом с	4	32
66	в конце	11	32
67	он не	6	32
68	мы видели	2	32
69	тела в	3	32
70	для него	5	32
71	в своей	2	31
72	связаны с	3	31
73	до конца	5	31
74	в литературе	17	31
75	так же	7	30
76	тела и	4	30
77	никогда не	8	30
78	и потому	4	30
79	той же	2	30
80	один из	5	30
81	потому что	11	30
82	но он	4	30
83	в этих	6	29
84	не может	8	29
85	еще не	8	29
86	его в	8	29
87	не в	10	29
88	при этом	8	29
89	в одном	10	29
90	в особенности	15	29
91	связи с	14	29
92	что он	2	29
93	из них	8	28
94	романа рабле	5	28
95	в основе	9	28
96	всех этих	9	28
97	в той	5	28
98	также и	6	28
99	здесь и	3	28
100	и к	4	28
101	роль в	12	27
102	сих пор	4	27
103	по своему	3	27
104	и другие	6	27
105	до сих	4	27
106	и их	11	27
107	том числе	7	27
108	все же	12	27
109	в эпизоде	6	27
110	средние века	4	26
111	кроме того	7	26
112	все они	4	26
113	в условиях	8	26
114	в преисподнюю	2	26
115	в средние	4	26
116	с помощью	5	25
117	мира и	6	25
118	отношение к	5	24
119	того чтобы	11	24
120	в ее	6	24
121	брат жан	2	24
122	и от	3	24
123	в частности	11	24
124	например в	7	24
125	но не	9	24
126	в большинстве	3	24
127	как в	10	24
128	и у	8	24
129	времени и	10	24
130	этот образ	2	24
131	так сказать	14	23
132	и для	12	23
133	это не	8	23
134	в их	9	23
135	с ним	5	23
136	еще и	3	23
137	и здесь	2	23
138	есть и	4	23
139	большинстве случаев	2	23
140	и во	13	22
141	а в	6	22
142	что и	5	22
143	там где	4	22
144	поэтому и	4	22
145	и других	5	22
146	тем что	4	22
147	вместе с	9	22
148	не было	8	22
149	именно в	5	21
150	в себя	3	21
151	в качестве	6	21
152	в отношении	5	21
153	и наконец	6	21
154	ни в	9	21
155	есть в	3	21
156	и как	12	21
157	xvii века	2	21
158	уже в	5	21
159	в образе	8	20
160	а также	5	20
161	как раз	13	20
162	одной из	3	20
163	этом отношении	5	20
164	в виду	5	20
165	они были	4	20
166	в значительной	3	20
167	еды и	17	20
168	с точки	9	20
169	самом деле	2	20
170	и это	5	20
171	в связи	13	20
172	в форме	5	19
173	эпизоде с	4	19
174	того же	9	19
175	в дальнейшем	10	19
176	их в	6	19
177	во всем	3	19
178	xvii веке	2	19
179	хотя и	5	19
180	к этому	5	19
181	было бы	2	19
182	далеко не	3	19
183	с другой	4	19
184	с ее	7	19
185	на протяжении	3	19
186	этих образов	2	18
187	связанные с	5	18
188	мы находим	2	18
189	со всеми	4	18
190	на этом	2	18
191	здесь не	5	18
192	в xvii	3	18
193	но они	3	18
194	одна из	3	18
195	весь мир	3	18
196	существенную роль	3	18
197	связан с	2	18
198	конечно и	5	18
199	числе и	4	17
200	связанных с	3	17
201	для того	12	17
202	но все	6	17
203	человеческого тела	10	17
204	iii гл	2	17
205	того что	5	17
206	в результате	6	17
207	для рабле	2	17
208	кн iii	2	17
209	на площади	4	17
210	века и	3	17
211	и вот	2	17
212	еще более	7	17
213	конечно не	7	17
214	и образов	2	17
215	а не	7	17
216	тот же	4	16
217	ничего не	9	16
218	влияние на	6	16
219	в начале	3	16
220	между ними	5	16
221	вернемся к	2	16
222	в другом	2	16
223	они не	4	16
224	дело в	3	16
225	ii гл	7	16
226	с одной	5	16
227	почти вовсе	3	16
228	одно из	3	15
229	в истории	6	15
230	никто не	2	15
231	и вообще	3	15
232	и питья	15	15
233	мы еще	5	15
234	в нашем	3	15
235	и прежде	4	15
236	рабле мы	2	15
237	особенно в	3	15
238	как на	2	15
239	гаргантюа и	2	15
240	а затем	3	15
241	с их	2	15
242	в которой	3	15
243	почти все	4	15
244	от всех	2	15
245	в самой	3	15
246	кн ii	9	15
247	не были	4	15
248	характерно что	5	15
249	из этих	5	15
250	мы не	4	14
251	все что	2	14
252	по существу	17	14
253	в данном	4	14
254	и он	3	14
255	и образ	3	14
256	в более	2	14
257	и по	5	14
258	в чем	3	14
259	в котором	8	14
260	здесь только	2	14
261	характер и	8	14
262	на них	2	14
263	так в	2	13
264	как он	4	13
265	отличие от	3	13
266	что все	4	13
267	на этой	4	13
268	это было	2	13
269	в других	9	13
270	здесь нет	3	13
271	или в	3	13
272	с этим	11	13
273	и еще	3	13
274	жизнь и	4	13
