N	3gram	Vygotskiy_	SlovoVZh
1	не может быть	14	7
2	можно сказать что	2	5
3	в том что	21	4
4	бы то ни	2	3
5	тем не менее	6	3
6	до сих пор	8	3
7	в художественном произведении	8	3
8	имеет в виду	3	3
9	этой точки зрения	7	3
10	и не может	2	3
11	на самом деле	6	2
12	художественного произведения и	2	2
13	формы и содержания	2	2
14	в зависимости от	6	2
15	с другой стороны	7	2
16	в настоящее время	2	2
17	с точки зрения	12	2
18	в отношении к	3	2
19	то же самое	8	2
20	с одной стороны	6	2
21	мы никогда не	5	2
