N	3gram	Potebnia_M	Komedia
1	в том что	18	29
2	до сих пор	5	16
3	то же время	3	16
4	в то же	3	16
5	для того чтобы	4	11
6	в то время	3	11
7	и т п	4	11
8	в свою очередь	8	10
9	по отношению к	13	9
10	с одной стороны	6	9
11	с другой стороны	7	8
12	бы то ни	2	7
13	во всяком случае	7	7
14	с самого начала	5	7
15	после того как	3	6
16	в связи с	2	6
17	с точки зрения	3	6
18	и т д	6	5
19	тем не менее	10	5
20	что и в	4	4
21	и с этой	2	4
22	к тому что	2	4
23	в одном из	2	4
24	но все же	2	4
25	не в состоянии	2	4
26	более или менее	6	3
27	друг от друга	3	3
28	таким образом в	3	3
29	но и в	4	3
30	на то что	3	3
31	по его мнению	4	2
32	только в том	7	2
33	подобно тому как	7	2
34	и в свою	3	2
35	потому что в	5	2
36	так и в	5	2
37	не только в	3	2
38	не иначе как	2	2
39	и в том	3	2
40	только потому что	3	2
41	в этом смысле	4	2
42	как и в	3	2
43	с этой точки	2	2
44	одной стороны и	2	2
