N	2gram	Tiupa_Disk	Komedia
1	и в	27	77
2	и не	25	47
3	в том	29	44
4	том что	27	42
5	в г	2	33
6	о том	12	33
7	едва ли	2	32
8	но и	22	32
9	может быть	29	30
10	таким образом	4	29
11	из них	6	29
12	в то	8	28
13	и его	4	28
14	в этом	29	27
15	потому что	7	27
16	что он	6	26
17	к тому	6	26
18	не только	36	25
19	тому же	5	25
20	вместе с	3	25
21	как и	27	23
22	ни в	7	23
23	что в	8	23
24	что и	5	22
25	в самом	4	22
26	так и	14	21
27	а в	5	21
28	то же	12	21
29	в его	9	20
30	со стороны	17	19
31	к этому	4	19
32	в этой	5	18
33	тем что	4	17
34	еще не	20	17
35	в нем	16	17
36	же время	9	17
37	все же	8	16
38	не менее	6	16
39	при этом	22	16
40	до нас	2	16
41	и сам	2	16
42	он не	4	16
43	в своем	11	15
44	не в	8	15
45	точки зрения	6	15
46	между тем	5	15
47	прежде всего	17	15
48	один из	3	15
49	на себя	2	15
50	в которой	2	15
51	и на	8	15
52	ли не	3	14
53	все это	2	14
54	об этом	3	14
55	на протяжении	2	14
56	в свою	3	14
57	и с	2	14
58	столь же	6	14
59	о чем	4	13
60	то что	10	13
61	самом деле	2	13
62	но в	15	13
63	того же	5	13
64	в них	6	13
65	в одном	5	13
66	с другой	14	12
67	как это	2	12
68	уже в	2	12
69	на сцене	2	12
70	в качестве	45	12
71	в истории	5	12
72	хотя и	3	12
73	в начале	2	12
74	не может	17	12
75	как в	16	12
76	но не	17	12
77	в котором	7	12
78	нового времени	2	12
79	по отношению	13	11
80	в их	5	11
81	в частности	18	11
82	одного из	5	11
83	речь идет	2	11
84	как мы	2	11
85	и даже	4	11
86	в целом	5	10
87	к себе	2	10
88	отношение к	6	10
89	одной из	4	10
90	и все	5	10
91	в чем	2	10
92	что касается	2	10
93	на его	4	10
94	мы не	2	10
95	свою очередь	3	10
96	с его	9	10
97	тут же	3	10
98	с этим	3	10
99	на него	2	10
100	с одной	12	10
101	как бы	9	10
102	еще в	6	10
103	более чем	3	10
104	и что	2	10
105	в тех	2	9
106	отличие от	13	9
107	одной стороны	12	9
108	однако в	3	9
109	и по	2	9
110	в своей	10	9
111	а также	15	9
112	отношению к	13	9
113	но все	2	9
114	друг друга	2	9
115	говорить о	3	9
116	только в	9	9
117	в ней	2	9
118	первую очередь	3	8
119	идет о	2	8
120	и ее	5	8
121	такого рода	11	8
122	по своему	3	8
