N	2gram	Bakhtin_fo	Dialekti
1	и не	19	120
2	и т	21	82
3	по себе	3	79
4	а не	7	78
5	и в	84	77
6	т д	3	75
7	точки зрения	14	72
8	может быть	18	71
9	не только	16	66
10	значит что	2	61
11	то что	13	59
12	и есть	3	55
13	ничего не	9	54
14	это значит	3	54
15	не может	8	53
16	и даже	5	47
17	так как	12	46
18	с точки	9	46
19	потому что	11	45
20	как бы	11	43
21	ни в	9	42
22	не имеет	5	41
23	вовсе не	20	41
24	в том	16	40
25	в этом	41	39
26	то же	18	39
27	в себе	7	38
28	том что	7	37
29	что он	2	37
30	прежде всего	28	37
31	это не	8	36
32	так что	4	36
33	что в	9	34
34	в нем	28	34
35	и все	10	33
36	того что	5	33
37	но и	14	32
38	все это	10	31
39	ясно что	2	31
40	и как	12	30
41	отнюдь не	7	30
42	сказать что	4	30
43	так и	17	29
44	было бы	2	29
45	как и	15	28
46	никогда не	8	27
47	в виду	5	26
48	не в	10	26
49	есть и	4	26
50	есть только	2	25
51	есть не	4	25
52	и то	5	25
53	и пр	2	25
54	если бы	6	24
55	и вот	2	23
56	в то	13	23
57	таким образом	14	23
58	она не	2	21
59	что не	3	21
60	личности и	2	21
61	в чем	3	21
62	в каком	2	20
63	что все	4	20
64	только в	12	20
65	как раз	13	20
66	и вообще	3	20
67	что и	5	20
68	совершенно не	3	20
69	о том	4	20
70	уже не	5	20
71	и с	10	20
72	в таком	4	20
73	в своем	8	19
74	что мы	2	19
75	как это	2	19
76	и это	5	19
77	тогда когда	2	19
78	в самом	9	19
79	и его	26	19
80	с другой	4	18
81	хотя бы	2	18
82	же время	13	18
83	жизни и	12	18
84	в основе	9	17
85	той или	3	17
86	в сущности	5	17
87	можно сказать	2	17
88	должно быть	6	17
89	в особенности	15	17
90	в своей	2	16
91	мы не	4	16
92	нет ничего	4	16
93	кроме того	7	16
94	или не	2	16
95	да и	4	16
96	одно и	4	16
97	об этом	3	16
98	конечно не	7	16
99	быть и	4	15
100	то в	2	15
101	также и	6	15
102	все же	12	15
103	так же	7	15
104	самом деле	2	15
105	хотя и	5	15
106	же и	2	15
107	мы уже	17	15
108	и потому	4	14
109	жизнь и	4	14
110	и ее	4	14
111	ни с	3	14
112	с ним	5	14
113	пространства и	6	14
114	не было	8	14
115	и только	3	14
116	и следовательно	5	13
117	но в	16	13
118	в ней	4	13
119	и та	2	13
120	время как	5	13
121	он не	6	13
122	мы находим	2	13
123	что они	3	13
124	с ее	7	13
125	в смысле	5	13
126	и к	4	13
127	вопрос о	2	12
128	могут быть	7	12
129	еще не	8	12
130	все эти	12	12
131	иной раз	2	12
132	именно в	5	12
133	вещей и	7	12
134	не могут	4	12
135	даже не	2	12
136	а в	6	12
137	тем более	4	12
138	и может	2	12
139	и нет	2	12
140	с этим	11	12
141	но не	9	12
142	не о	2	11
143	та же	4	11
144	мы должны	2	11
145	должны быть	2	11
146	можно только	2	11
147	только на	3	11
148	в них	11	11
149	в данном	4	11
150	мы имеем	2	11
151	есть в	3	11
152	из них	8	11
153	или в	3	11
154	в вечности	2	11
155	а потом	2	10
156	одно из	3	10
157	от этого	4	10
158	к тому	6	10
159	в ее	6	10
160	как мы	19	10
161	в его	19	10
162	это было	2	10
163	для того	12	10
164	с этой	3	10
165	себе и	4	10
166	и для	12	10
167	оно не	3	10
168	в их	9	10
169	в частности	11	10
170	мы видим	4	10
171	во всяком	5	10
172	и уже	4	10
173	в результате	6	10
174	бытия и	2	10
175	времени и	10	10
176	в жизни	6	10
177	во всем	3	10
178	если мы	2	10
179	как он	4	9
180	точка зрения	4	9
181	и по	5	9
182	в истории	6	9
183	не как	2	9
184	в этих	6	9
185	и более	3	9
186	в котором	8	9
187	той же	2	9
188	в одном	10	9
189	или иной	4	9
190	и от	3	9
191	была бы	2	9
192	же как	2	9
193	при этом	8	9
194	и он	3	9
195	то время	4	9
196	всех этих	9	9
197	мы можем	2	9
198	лишь как	3	9
199	мир и	2	9
200	на этом	2	9
201	и на	13	9
202	в отношении	5	8
203	не на	4	8
204	в дальнейшем	10	8
205	в этой	3	8
206	только и	5	8
207	у нас	2	8
208	с одной	5	8
209	но все	6	8
210	вопрос об	2	8
211	в одной	2	8
212	одна и	2	8
213	один из	5	8
214	вещи и	3	8
215	в поэзии	2	8
216	но она	2	8
217	когда мы	2	8
218	нет и	4	8
219	себя в	2	8
220	в разных	6	8
221	что здесь	2	7
222	в конце	11	7
223	из этих	5	7
224	он должен	2	7
225	а только	2	7
226	связи с	14	7
227	его с	2	7
228	на первый	2	7
229	тем что	4	7
230	в связи	13	7
231	все что	2	7
232	как она	3	7
233	мы и	4	7
234	сами по	2	7
235	он всегда	2	7
236	не знает	4	7
237	мира и	6	7
238	с его	10	7
239	есть именно	2	7
240	и их	11	7
241	как в	10	7
242	в мире	4	7
243	и образ	3	7
244	но для	2	7
245	он сам	2	7
246	как на	2	7
247	отношения к	7	7
248	но он	4	7
249	еще и	3	6
250	и времени	9	6
251	оказывается что	2	6
252	в другом	2	6
253	отношение к	5	6
254	и почти	2	6
255	в один	2	6
256	с тем	5	6
257	для своего	2	6
258	они не	4	6
259	того чтобы	11	6
260	себя и	6	6
261	того и	3	6
262	никто не	2	6
263	и они	4	6
264	одна из	3	6
265	смысла и	2	6
266	нем нет	2	6
267	в которой	3	6
268	ни к	3	6
269	но они	3	6
270	быть только	4	6
271	вообще не	4	6
272	друг другу	4	6
273	не быть	3	6
274	в себя	3	6
275	вместе с	9	6
276	его в	8	6
277	и прежде	4	6
278	о чем	4	6
279	по существу	17	6
280	по своему	3	6
281	именно как	4	6
282	одной стороны	3	6
283	тела и	4	6
284	и совершенно	3	6
285	с их	2	6
286	во всех	13	6
287	стороны и	2	6
288	для него	5	6
289	ее в	2	6
290	уже в	5	6
291	природы и	2	6
292	во времени	6	5
293	весь мир	3	5
294	точку зрения	3	5
295	или как	5	5
296	что на	3	5
297	и идеи	3	5
298	и во	13	5
299	только один	2	5
300	по сравнению	3	5
301	только к	3	5
302	мы еще	5	5
303	не является	4	5
304	и наконец	6	5
305	сих пор	4	5
306	например в	7	5
307	и время	2	5
308	их в	6	5
309	же что	3	5
310	раз и	3	5
311	сравнению с	3	5
312	первый план	2	5
313	и становится	2	5
314	все в	3	5
315	внешнее и	2	5
316	вплоть до	3	5
317	в это	5	5
318	виду что	2	5
319	и у	8	5
320	ведь это	2	5
321	в одно	3	5
322	после этого	2	5
323	в него	2	5
324	все его	7	5
325	в качестве	6	5
326	тела в	3	5
327	и еще	3	5
328	к этому	5	5
329	к ней	2	5
330	одного и	6	5
331	в течение	2	5
332	тому же	2	5
333	и так	2	5
334	их не	2	5
335	в той	5	5
336	не обязательно	2	5
337	явления и	2	5
338	до сих	4	5
339	данном случае	2	4
340	его на	3	4
341	человека и	15	4
342	в каждом	2	4
343	а как	3	4
344	у них	4	4
345	что даже	2	4
