N	2gram	Bakhtin_Fr	SlovoVZh
1	не может	5	16
2	точки зрения	8	14
3	может быть	10	14
4	и его	26	13
5	как бы	7	13
6	и в	68	12
7	таким образом	22	12
8	в нашем	5	11
9	отношению к	2	11
10	по отношению	3	11
11	и не	25	10
12	так как	7	9
13	если бы	3	9
14	прежде всего	23	8
15	сказать что	3	7
16	нашем примере	3	7
17	слова и	3	6
18	все время	3	6
19	при этом	5	6
20	в том	12	6
21	в нем	12	6
22	только в	9	6
23	с помощью	5	6
24	в ней	6	6
25	никогда не	2	5
26	как в	4	5
27	в виду	8	5
28	можно сказать	2	5
29	но в	20	5
30	том что	6	5
31	то же	14	5
32	как и	17	5
33	и следовательно	3	5
34	хотя бы	2	5
35	а не	6	5
36	то что	11	5
37	и др	9	5
38	в самом	6	4
39	в этом	28	4
40	не только	21	4
41	в литературе	10	4
42	на самом	7	4
43	его в	7	4
44	жизни и	6	4
45	не в	2	4
46	с другой	8	4
47	все же	6	4
48	дело в	4	4
49	к нему	4	4
50	и к	4	4
51	так и	8	4
52	и на	16	4
53	уже не	2	4
54	отношение к	11	4
55	в них	19	3
56	и вообще	3	3
57	о том	5	3
58	и для	6	3
59	слово в	3	3
60	имеет в	2	3
61	да и	2	3
62	не к	2	3
63	из этого	3	3
64	ни в	6	3
65	все эти	16	3
66	в котором	3	3
67	и наконец	5	3
68	так же	3	3
69	в своей	11	3
70	мы не	3	3
71	конечно не	4	3
72	в себе	5	3
73	нуждается в	4	3
74	еще не	3	3
75	здесь не	5	3
76	это как	2	3
77	все это	6	3
78	только на	4	3
79	и ее	3	3
80	между тем	3	3
81	и с	15	3
82	в творчестве	5	3
83	не менее	2	3
84	сих пор	6	3
85	с ним	3	3
86	до сих	6	3
87	быть и	2	3
88	и по	4	3
89	в художественном	3	3
90	самом деле	5	3
91	того что	3	3
92	и более	2	3
93	но и	17	3
94	для него	7	3
95	и дает	2	2
96	в особенности	6	2
97	и то	2	2
98	в его	21	2
99	данном случае	3	2
100	до конца	10	2
101	и здесь	5	2
102	что в	14	2
103	не так	3	2
104	стороны и	2	2
105	в отношении	3	2
106	ничего не	4	2
107	с его	6	2
108	но конечно	5	2
109	что и	3	2
110	это не	5	2
111	и все	16	2
112	кроме того	5	2
113	там где	6	2
114	с точки	4	2
115	но все	5	2
116	в своем	11	2
117	дело с	2	2
118	и вполне	2	2
119	все они	5	2
120	в данном	5	2
121	его к	3	2
122	жизнью и	4	2
123	ко всем	3	2
124	метод в	3	2
125	мы имеем	2	2
126	и что	2	2
127	в то	14	2
128	перестает быть	2	2
129	те же	6	2
130	уже в	4	2
131	смысл и	2	2
132	в этих	8	2
133	одной стороны	4	2
134	влияние на	2	2
135	форму и	2	2
136	еще раз	2	2
137	связь с	6	2
138	в основном	7	2
139	и другие	4	2
140	но это	5	2
141	в условиях	3	2
142	в настоящее	2	2
143	он не	11	2
144	такой же	3	2
145	эти моменты	4	2
146	как на	3	2
147	и потому	6	2
148	имеем в	2	2
149	но не	4	2
150	в себя	2	2
151	лежит на	2	2
152	в чем	3	2
153	в форме	3	2
154	настоящее время	2	2
155	и так	5	2
156	с одной	5	2
157	выражение в	2	2
158	и самое	3	2
159	относится к	2	2
160	к этому	6	2
161	между ними	4	2
162	и слово	2	2
163	другой стороны	5	2
164	в корне	3	2
165	вместе с	4	2
