N	3gram	Vygotskiy_	Stilisti
1	в то же	2	9
2	для того чтобы	24	7
3	в зависимости от	6	7
4	и то же	3	5
5	с точки зрения	31	5
6	одно и то	3	5
7	заключает в себе	2	4
8	прежде всего в	2	4
9	с самого начала	13	4
10	то же самое	11	4
11	одной и той	5	4
12	той или иной	2	4
13	и той же	5	4
14	то что мы	3	4
15	в свою очередь	3	4
16	в этом случае	15	3
17	во внутренней речи	4	3
18	как мы уже	2	3
19	на самом деле	2	3
20	в той же	2	3
21	не только в	2	3
22	и тем самым	8	3
23	как мы видели	7	3
24	внутренней речи и	4	2
25	вместе с тем	6	2
26	больше и больше	2	2
27	только потому что	3	2
28	и тем же	2	2
29	в самом деле	4	2
30	в этом отношении	7	2
31	к тому что	10	2
32	слов и их	3	2
33	и том же	3	2
34	можно сказать что	7	2
35	та же самая	2	2
36	с тем и	2	2
37	одном и том	3	2
38	по отношению к	9	2
39	мы видели что	3	2
40	смысле этого слова	4	2
41	о том что	4	2
42	все больше и	2	2
43	не может быть	6	2
