N	2gram	Vygotskiy_	Tragedij
1	и в	47	18
2	в этом	47	9
3	не только	36	8
4	и не	27	7
5	он сам	2	7
6	и на	4	7
7	как бы	13	7
8	и с	5	7
9	может быть	20	7
10	что он	13	6
11	но в	9	6
12	и его	14	6
13	у него	2	6
14	несмотря на	2	5
15	что это	7	5
16	все же	7	5
17	это не	6	5
18	то же	16	5
19	как и	19	5
20	так и	8	5
21	не может	23	5
22	в то	10	5
23	что в	23	4
24	еще не	5	4
25	в целом	7	4
26	но и	19	4
27	прежде всего	9	4
28	об этом	4	4
29	том что	28	4
30	в этой	7	4
31	и что	14	4
32	так же	26	4
33	и все	5	4
34	все это	5	4
35	в нем	6	4
36	то что	40	4
37	но это	4	4
38	я не	3	4
39	и даже	3	4
40	в себе	14	4
41	один из	3	3
42	и как	7	3
43	уже в	3	3
44	тем самым	14	3
45	к нему	5	3
46	в своем	3	3
47	при этом	4	3
48	в его	7	3
49	что с	7	3
50	все эти	7	3
51	мог бы	6	3
52	и он	4	3
53	отнюдь не	2	3
54	о чем	8	3
55	в основном	4	3
56	с ее	2	3
57	никто не	2	3
58	должно быть	3	3
59	как в	7	3
60	как это	7	3
61	для него	6	3
62	в конце	5	3
63	с ним	5	3
64	никогда не	7	2
65	в самом	15	2
66	она все	3	2
67	и то	10	2
68	но все	2	2
69	данном случае	5	2
70	по поводу	3	2
71	до конца	8	2
72	не играют	2	2
73	с тем	8	2
74	одна из	2	2
75	даже если	2	2
76	точно так	3	2
77	друг друга	9	2
78	тем что	14	2
79	перед нами	3	2
80	она должна	2	2
81	вопрос о	9	2
82	в одном	4	2
83	его в	7	2
84	не имеет	6	2
85	в виде	2	2
86	ничего не	2	2
87	то и	5	2
88	имеет в	4	2
89	в данном	7	2
90	не могут	9	2
91	в ее	7	2
92	но эта	2	2
93	что все	6	2
94	к тому	13	2
95	о том	5	2
96	в ходе	14	2
97	о его	3	2
98	что и	4	2
99	ни в	3	2
100	не в	7	2
101	столь же	2	2
102	и здесь	5	2
103	потому что	26	2
104	на всем	5	2
105	ребенка в	6	2
106	между этими	3	2
107	что этот	6	2
108	в частности	4	2
109	только о	3	2
110	в таком	2	2
111	так что	8	2
112	он не	5	2
113	и ее	3	2
114	в первом	6	2
115	только к	4	2
116	что она	8	2
117	что эти	3	2
118	и это	2	2
119	ребенка и	10	2
120	говорит что	3	2
121	отличие от	4	2
122	в том	38	2
123	и до	3	2
124	в отличие	4	2
125	как говорит	6	2
126	не мог	2	2
127	еще в	3	2
128	отношение к	8	2
