N	2gram	Losev_Dial	Poddanst
1	не только	35	17
2	и в	34	14
3	и не	50	12
4	в этом	14	10
5	но в	3	9
6	то же	9	9
7	в том	17	9
8	хотя бы	9	8
9	в то	9	7
10	только в	10	7
11	же время	5	7
12	быть может	3	6
13	но и	14	6
14	было бы	13	6
15	в смысле	4	6
16	в ней	4	6
17	а я	3	5
18	с другой	5	5
19	не в	11	5
20	и о	9	5
21	и пр	16	5
22	может быть	30	5
23	по себе	31	4
24	что в	12	4
25	если бы	10	4
26	и потому	6	4
27	в своем	7	4
28	том что	18	4
29	в котором	2	4
30	и к	5	4
31	как бы	19	4
32	и если	5	4
33	то что	25	4
34	не может	29	4
35	а в	3	4
36	же в	2	4
37	что мы	10	3
38	и как	13	3
39	с тем	4	3
40	в сравнении	6	3
41	но не	3	3
42	тем самым	3	3
43	сравнении с	5	3
44	это не	13	3
45	т е	72	3
46	с точки	25	3
47	сами по	3	3
48	мы не	11	3
49	я и	2	3
50	для того	4	3
51	в себе	8	3
52	точки зрения	43	3
53	потому что	21	3
54	одной стороны	3	3
55	в нем	7	3
56	и без	4	3
57	она есть	17	3
58	могут быть	5	3
59	прежде всего	20	3
60	и т	41	3
61	хотя и	9	3
62	с одной	4	3
63	с ними	3	3
64	заключается в	3	3
65	для нас	2	2
66	должно быть	7	2
67	не о	6	2
68	да и	4	2
69	в них	6	2
70	в жизни	4	2
71	в мире	2	2
72	было в	2	2
73	одна из	4	2
74	есть не	11	2
75	отношения к	4	2
76	никак не	3	2
77	и мы	6	2
78	и это	12	2
79	есть нечто	26	2
80	помнить что	2	2
81	духа и	2	2
82	и тем	3	2
83	в его	6	2
84	с этим	4	2
85	и вот	13	2
86	не менее	11	2
87	говорить о	13	2
88	со стороны	5	2
89	осуществляется в	2	2
90	именно в	5	2
91	именно как	3	2
92	в виде	11	2
93	тем более	5	2
94	все это	13	2
95	в частности	3	2
96	как на	6	2
97	а не	39	2
98	не было	6	2
99	и есть	24	2
100	одних и	2	2
101	например в	3	2
102	и с	10	2
103	может и	3	2
104	может ли	4	2
105	во всех	2	2
106	в ее	5	2
107	но о	4	2
108	ней не	2	2
109	не нужно	2	2
110	реальность и	2	2
111	как раз	11	2
112	есть в	4	2
113	в сфере	3	2
114	к чему	2	2
115	того что	22	2
116	думать что	3	2
117	в силу	5	2
118	из них	4	2
119	отнюдь не	16	2
