N	3gram	Vygotskiy_	Narrotol
1	в том что	21	18
2	в отличие от	4	11
3	о том что	9	9
4	в то же	2	8
5	тем не менее	6	8
6	в этом отношении	7	8
7	то же время	2	8
8	не может быть	14	8
9	можно сказать что	2	6
10	с одной стороны	6	6
11	состоит в том	3	6
12	на самом деле	6	5
13	подобно тому как	7	5
14	для того чтобы	11	5
15	в свою очередь	3	5
16	к тому что	2	4
17	во всяком случае	7	4
18	в конечном счете	6	4
19	то же самое	8	3
20	и не может	2	3
21	точно так же	6	3
22	в связи с	2	3
23	с точки зрения	12	3
24	заключает в себе	3	3
25	едва ли не	2	3
26	в самом деле	13	3
27	до сих пор	8	3
28	в зависимости от	6	3
29	на то что	12	3
30	а в том	2	3
31	и то что	3	3
32	все то что	3	2
33	тем или иным	2	2
34	не только не	4	2
35	в таком случае	3	2
36	более или менее	3	2
37	не в том	7	2
38	которая не может	2	2
39	на то чтобы	3	2
40	хотя и не	2	2
41	можно было бы	2	2
42	так же как	8	2
43	что иное как	2	2
44	и т п	23	2
45	только потому что	2	2
46	сами по себе	4	2
47	что у него	3	2
