N	3gram	Bakhtin_Fr	Marksizm
1	с точки зрения	4	46
2	в самом деле	3	19
3	в то же	12	15
4	по отношению к	3	15
5	то же время	12	15
6	в связи с	2	14
7	в том что	4	14
8	до сих пор	3	11
9	но в то	3	9
10	в большинстве случаев	9	9
11	с другой стороны	2	7
12	в свою очередь	3	7
13	с одной стороны	3	6
14	как мы уже	4	6
15	как мы видели	4	5
16	в этом отношении	3	5
17	и прежде всего	2	4
18	о том что	4	4
19	оно ни было	2	4
20	вполне понятно что	2	4
21	и т.п в	2	3
22	более или менее	3	3
23	на первый план	2	3
24	в конце концов	5	3
25	в следующей главе	6	3
26	в том числе	4	3
27	можно было бы	2	3
28	но и в	2	3
29	том числе и	2	3
30	в значительной степени	3	3
31	прежде всего в	4	2
32	в чем же	2	2
33	таким образом в	2	2
34	так и в	3	2
35	в том или	2	2
36	как и в	2	2
37	как мы увидим	2	2
38	в его целом	2	2
39	а следовательно и	2	2
40	том или ином	2	2
41	со всех сторон	2	2
