N	3gram	Losev_Prob	Stilisti
1	в то же	4	9
2	для того чтобы	9	7
3	с точки зрения	3	5
4	мы никогда не	3	5
5	того или иного	6	5
6	с самого начала	2	4
7	то же самое	9	4
8	той или иной	5	4
9	то что мы	11	4
10	то или иное	2	4
11	в этом случае	6	3
12	в конце концов	11	3
13	как мы уже	2	3
14	на самом деле	6	3
15	бы мы ни	2	3
16	не только в	3	3
17	и тем самым	4	3
18	но и в	3	3
19	тех или иных	2	3
20	у нас не	2	2
21	вместе с тем	2	2
22	и на его	2	2
23	тот или иной	3	2
24	в связи с	7	2
25	что иное как	5	2
26	только потому что	3	2
27	и как бы	2	2
28	и тем же	2	2
29	в самом деле	4	2
30	в этом отношении	2	2
31	должны были бы	2	2
32	же самое время	4	2
33	можно сказать что	6	2
34	как мы увидим	2	2
35	есть не что	5	2
36	на первый взгляд	2	2
37	что же такое	5	2
38	о том что	16	2
39	или хотя бы	2	2
40	связи с этим	2	2
41	не что иное	5	2
42	не может быть	5	2
