N	2gram	Bakhtin_Pr	Mirosoze
1	и в	59	97
2	у достоевского	35	94
3	может быть	38	64
4	не только	26	63
5	в этом	40	55
6	но и	22	54
7	он не	11	53
8	а не	30	53
9	в нем	38	49
10	не может	31	49
11	у него	9	47
12	и не	66	39
13	никогда не	19	38
14	человеческого духа	2	38
15	потому что	20	37
16	в ней	8	37
17	не было	5	36
18	не в	10	34
19	и есть	6	33
20	для него	23	31
21	человека в	8	30
22	великого инквизитора	2	30
23	не есть	2	30
24	но он	3	30
25	прежде всего	17	29
26	как и	21	29
27	но в	7	27
28	и он	3	27
29	в мире	10	27
30	о человеке	2	26
31	человека и	2	26
32	к человеку	3	26
33	достоевский был	5	25
34	и это	5	25
35	в своей	17	25
36	и все	4	24
37	переходит в	2	24
38	у нас	2	24
39	в своем	12	23
40	иван карамазов	2	23
41	что в	14	23
42	и достоевский	3	23
43	что он	16	22
44	творчество достоевского	3	21
45	достоевского и	14	21
46	в самом	19	21
47	в себе	9	20
48	достоевский не	8	20
49	отношение к	4	20
50	до конца	11	19
51	как бы	40	19
52	ивана карамазова	9	18
53	в его	44	18
54	и потому	9	17
55	того что	4	17
56	достоевского в	21	16
57	в том	17	16
58	том что	15	16
59	то что	21	16
60	было бы	10	16
61	если нет	2	16
62	для достоевского	9	16
63	и его	21	16
64	в этой	5	15
65	не знает	5	15
66	в котором	6	15
67	в конце	9	14
68	она не	9	14
69	так как	11	14
70	в творчестве	6	14
71	человек в	2	14
72	из подполья	14	13
73	достоевского он	2	13
74	и вот	4	13
75	друг друга	10	13
76	достоевского к	5	13
77	русский народ	2	13
78	и на	15	13
79	это не	13	12
80	в человеке	15	12
81	и у	6	12
82	к нему	13	12
83	в них	5	12
84	все это	12	12
85	но не	13	12
86	достоевский в	10	12
87	он сам	9	12
88	но это	7	11
89	менее всего	4	11
90	хотя бы	5	11
91	в которой	6	11
92	только в	15	11
93	достоевского но	10	11
94	был бы	6	11
95	как в	10	11
96	и для	5	11
97	в русской	3	11
98	уже не	14	11
99	и к	5	11
100	жизни и	21	11
101	не могут	6	10
102	достоевского не	18	10
103	так же	10	10
104	есть не	3	10
105	это и	10	10
106	один из	4	10
107	должна быть	4	10
108	его духа	2	10
109	то же	15	10
110	не имеет	2	10
111	в самой	10	10
112	есть и	2	9
113	бы и	6	9
114	достоевского было	3	9
115	а в	9	9
116	что и	10	9
117	и во	2	9
118	я не	7	9
119	х годов	2	9
120	должно быть	4	9
121	то есть	64	9
122	он уже	2	9
123	все что	6	9
124	человек и	2	9
125	с ним	13	9
126	лишь в	4	9
127	вместе с	2	9
128	вопрос о	4	8
129	ничего не	8	8
130	от него	3	8
131	в этих	5	8
132	не так	3	8
133	сам достоевский	4	8
134	они не	5	8
135	жизнь в	2	8
136	самого достоевского	8	8
137	мира и	8	8
138	что не	6	8
139	того чтобы	5	8
140	в отношении	3	8
141	о достоевском	12	8
142	с его	14	8
143	себя в	5	8
144	творчестве достоевского	6	8
145	достоевского нет	3	8
146	за пределы	10	8
147	тем что	5	8
148	для того	3	8
149	отношении к	3	8
150	нет и	4	8
151	о том	5	8
152	достоевский и	3	8
153	и с	10	8
154	уже в	9	8
155	те же	3	7
156	как он	5	7
157	в духе	3	7
158	высшей степени	2	7
159	что все	5	7
160	он в	3	7
161	точки зрения	36	7
162	себя и	4	7
163	все еще	2	7
164	что она	6	7
165	в высшей	2	7
166	жизни в	3	7
167	в жизни	7	7
168	герои достоевского	5	7
169	в нашем	3	7
170	все в	7	7
171	отношения к	4	7
172	достоевского все	2	7
173	чем в	3	7
174	его в	6	6
175	братьях карамазовых	3	6
176	или к	2	6
177	не как	15	6
178	вера в	2	6
179	на пути	2	6
180	людей и	2	6
181	всего в	2	6
182	в братьях	3	6
183	в ее	4	6
184	что достоевский	3	6
185	и человек	2	6
186	его на	2	6
187	его не	2	6
188	в образе	4	6
189	и от	3	6
190	и нет	2	6
191	достоевский с	2	6
192	можно было	5	6
193	этого мира	6	6
194	записок из	4	6
195	к другу	4	6
196	если бы	12	6
197	бы не	3	6
198	же и	2	6
199	жизнь и	3	6
200	и более	2	6
201	что у	5	6
202	и здесь	5	6
203	в которых	2	6
204	него нет	3	6
205	друг к	4	6
206	оно не	2	5
207	в то	15	5
208	в их	5	5
209	достоевского это	2	5
210	так и	13	5
211	все время	4	5
212	и ивана	2	5
213	они и	3	5
214	от этого	2	5
215	как у	4	5
216	он остается	2	5
217	от человека	2	5
218	сказать что	9	5
219	тот же	4	5
220	во всяком	5	5
221	в основе	6	5
222	да и	3	5
223	в мир	4	5
224	и мир	4	5
225	одно из	2	5
226	с этим	2	5
227	по преимуществу	3	5
228	с самим	3	5
229	мысли и	5	5
230	отличается от	3	5
231	достоевским в	3	5
232	и как	10	5
233	человека но	2	5
234	бы в	7	5
235	для этого	4	5
236	еще не	11	5
237	его и	4	5
238	как будто	4	5
239	сих пор	3	5
240	сознания но	3	5
241	на протяжении	3	5
242	хотел бы	2	5
243	то он	3	5
244	по достоевскому	5	5
245	в самую	2	5
246	личности в	7	5
247	перед ним	2	5
248	до сих	3	5
249	той же	7	5
250	ее и	2	4
251	как человек	2	4
252	по отношению	17	4
253	в каждом	11	4
254	и через	2	4
255	к себе	2	4
256	от того	4	4
257	как к	3	4
258	лишь один	2	4
259	это очень	4	4
260	не знают	2	4
261	конце концов	7	4
262	в идее	2	4
263	так что	3	4
264	в момент	4	4
265	есть в	10	4
266	к другому	2	4
267	а с	4	4
268	в чем	2	4
269	по сравнению	2	4
270	только с	2	4
271	тому что	3	4
272	и этим	2	4
273	место в	2	4
274	себе и	3	4
275	он живет	2	4
276	преступления и	2	4
277	ли вы	4	4
278	человеческой жизни	4	4
279	могут быть	5	4
280	тогда когда	2	4
281	для них	3	4
282	в начале	3	4
283	мы видим	5	4
284	и до	5	4
285	все эти	12	4
286	мир в	4	4
287	что они	3	4
288	в истории	3	4
289	сам он	5	4
290	не все	2	4
291	не от	2	4
292	достоевским и	2	4
293	его с	2	4
294	интересует достоевского	2	4
295	лежит в	3	4
296	сознания и	9	4
297	человека а	2	4
298	и даже	4	4
299	и по	4	4
300	что было	4	4
301	в свете	4	4
302	стало быть	2	4
303	достоевского его	2	4
304	ни в	5	4
305	и их	7	4
306	и только	2	4
307	все равно	3	4
308	его личности	4	4
309	мы не	3	4
310	отношению к	17	4
311	время как	2	4
312	идеи у	4	4
313	него не	4	4
314	но на	2	4
315	в той	9	4
316	в своих	5	4
317	на своем	2	4
318	и что	2	4
319	человека от	2	4
320	то время	3	4
321	идея и	2	4
322	мира не	2	3
323	были бы	5	3
324	ведь это	3	3
325	к этим	2	3
326	остается в	2	3
327	романов достоевского	12	3
328	сознание и	7	3
329	достоевского мы	5	3
330	для себя	5	3
331	одним из	11	3
332	а лишь	3	3
333	и тем	2	3
334	все же	9	3
335	истину и	2	3
336	идеи и	2	3
337	но у	5	3
338	мы должны	6	3
339	все его	4	3
340	что же	5	3
341	даже и	2	3
342	достоевского с	8	3
343	между тем	5	3
344	в уста	3	3
345	в виду	2	3
346	что оно	2	3
347	иваном карамазовым	2	3
348	на его	7	3
349	же как	5	3
350	ли он	2	3
351	протяжении всего	2	3
352	которую он	2	3
353	замыкается в	3	3
354	ее он	3	3
355	и эта	3	3
356	и еще	2	3
357	в противоположность	3	3
358	человека достоевский	3	3
359	к этому	6	3
360	конечно не	7	3
361	об этом	4	3
362	в этот	2	3
363	и самого	4	3
364	это лишь	2	3
365	находится в	2	3
366	как не	9	3
367	не значит	4	3
368	я и	2	3
369	и самое	4	3
370	превращается в	4	3
371	достоевского как	17	3
372	него в	2	3
373	но ведь	4	3
374	все три	6	3
375	для нас	3	3
376	он считал	2	3
377	идеи но	3	3
378	в пределах	13	3
379	лишь как	6	3
380	во всех	8	3
381	именно потому	3	3
