N	2gram	Bakhtin_KF	DiskursI
1	в качестве	2	72
2	а не	17	60
3	может быть	45	56
4	не только	5	49
5	и в	28	49
6	как и	5	47
7	при этом	4	46
8	в том	6	44
9	и не	28	44
10	том что	4	40
11	в этом	15	38
12	в себе	21	37
13	но и	9	35
14	но не	12	31
15	со стороны	8	28
16	так и	2	28
17	но в	5	28
18	не может	29	27
19	как в	2	25
20	еще не	5	23
21	отнюдь не	7	23
22	все же	5	19
23	прежде всего	4	19
24	в нем	32	19
25	в своей	11	19
26	в основе	5	18
27	по отношению	26	17
28	в данном	2	17
29	то же	5	17
30	отношению к	22	17
31	в мире	8	17
32	точки зрения	13	16
33	только в	18	16
34	в его	42	15
35	то что	7	15
36	о том	3	15
37	это не	10	14
38	или иной	2	14
39	не в	13	14
40	не менее	3	14
41	ни к	2	14
42	в целом	10	13
43	для него	13	13
44	как бы	9	13
45	в своем	17	12
46	и все	9	12
47	в своих	4	12
48	и на	3	12
49	что в	4	11
50	с его	2	11
51	и как	2	11
52	не было	8	11
53	для себя	7	10
54	а в	5	10
55	а с	2	10
56	той или	3	10
57	вследствие этого	2	10
58	и т.д	4	10
59	же время	2	10
60	тем самым	4	9
61	в то	3	9
62	между тем	4	9
63	уже не	7	9
64	себя в	8	9
65	сводится к	2	9
66	в соответствии	2	8
67	потому что	2	8
68	жизни в	5	8
69	в себя	8	8
70	в котором	24	8
71	соответствии с	2	8
72	в одном	5	8
73	он не	6	8
74	не следует	2	8
75	его в	5	7
76	могут быть	3	7
77	и ее	2	7
78	и для	10	7
79	но это	6	7
80	в процессе	2	7
81	что и	7	7
82	в этой	2	7
83	к этому	2	7
84	в составе	2	7
85	мира в	6	7
86	лишь в	8	7
87	ни в	12	7
88	и его	18	7
89	основе своей	2	7
90	никогда не	5	6
91	не как	4	6
92	отношение к	6	6
93	что он	2	6
94	не знает	5	6
95	в контексте	5	6
96	именно в	5	6
97	здесь не	3	6
98	в принципе	2	6
99	и может	3	6
100	в ее	17	6
101	и то	2	6
102	дело в	2	6
103	во всех	11	6
104	времени и	4	6
105	с точки	10	6
106	и того	2	6
107	ничего не	3	5
108	к себе	2	5
109	в другом	3	5
110	в виду	3	5
111	в их	9	5
112	и потому	2	5
113	того что	3	5
114	о нем	4	5
115	к ним	4	5
116	мира и	4	5
117	один из	2	5
118	с ее	2	5
119	я и	5	5
120	одного и	2	5
121	в свою	3	5
122	в акте	3	5
123	оно не	2	5
124	говорить о	2	5
125	в ней	3	5
126	тем что	3	5
127	не о	2	4
128	до конца	3	4
129	для меня	22	4
130	события в	3	4
131	и тем	3	4
132	того или	3	4
133	может иметь	2	4
134	по своему	3	4
135	и это	12	4
136	бытия а	3	4
137	ни одна	2	4
138	его на	2	4
139	чего не	2	4
140	что не	3	4
141	принципиально не	5	4
142	или иного	3	4
143	мы имеем	5	4
144	тем не	2	4
145	я не	6	4
146	в жизни	2	4
147	во мне	3	4
148	не есть	22	4
149	а по	2	4
150	по себе	2	4
151	и само	2	4
152	и есть	10	4
153	с ним	5	4
154	это мир	4	3
155	вопрос о	2	3
156	это и	3	3
157	в области	2	3
158	в момент	3	3
159	но как	5	3
160	бытия в	5	3
161	она не	2	3
162	в едином	10	3
163	ему в	2	3
164	котором он	3	3
165	но здесь	3	3
166	для этого	2	3
167	все эти	11	3
168	было бы	8	3
169	мы не	3	3
