N	3gram	Bakhtin_Pr	Hudozhes
1	по отношению к	17	10
2	в том что	10	8
3	в то же	10	7
4	в отличие от	3	7
5	то же время	10	7
6	с другой стороны	3	6
7	для того чтобы	3	5
8	той или иной	3	5
9	не может быть	8	4
10	мы имеем в	2	3
11	с точки зрения	21	3
12	подобно тому как	5	3
13	в этом смысле	12	3
14	можно сказать что	3	3
15	имеем в виду	2	3
16	во всей его	2	2
17	то ни было	2	2
18	бы то ни	3	2
19	в русской литературе	2	2
20	и в то	3	2
21	в том и	2	2
22	но он не	2	2
23	этой точки зрения	3	2
24	в самом деле	5	2
25	том что он	4	2
26	отношению к герою	4	2
27	сама по себе	3	2
28	в той или	2	2
