N	3gram	Propp_Isto	KulturaY
1	и т д	25	42
2	в том что	7	33
3	можно было бы	3	25
4	во всяком случае	3	19
5	тем не менее	4	19
6	с другой стороны	17	17
7	в зависимости от	3	16
8	до сих пор	4	14
9	в том чтобы	2	14
10	по отношению к	3	13
11	не может быть	5	11
12	о том что	9	10
13	вместе с тем	6	9
14	не только в	9	8
15	в этом случае	4	8
16	после того как	4	7
17	с одной стороны	11	7
18	этой точки зрения	3	6
19	на этот вопрос	3	5
20	но все же	3	5
21	т е в	2	5
22	более или менее	3	5
23	так и в	3	5
24	дело не в	3	5
25	в данном случае	7	5
26	с этой точки	3	5
27	как мы видели	3	5
28	точно так же	2	4
29	и в области	2	4
30	так же как	4	4
31	так или иначе	2	4
32	а в том	2	4
33	в тех случаях	7	3
34	в то время	4	3
35	тех случаях когда	6	3
36	с тем что	2	3
37	о том как	3	3
38	что и в	3	3
39	мы увидим что	2	3
40	и вместе с	3	3
41	в прямой связи	2	3
42	мы имеем в	7	2
43	но в том-то	2	2
44	в том-то и	2	2
45	в другом месте	2	2
46	так как он	4	2
47	и в других	2	2
