N	2gram	Nazirov_Tr	Istorich
1	и в	18	181
2	может быть	7	115
3	не только	8	114
4	что он	6	111
5	что в	4	90
6	но и	4	85
7	в этом	9	81
8	то что	4	73
9	и не	7	67
10	все же	5	65
11	еще не	4	63
12	не может	5	61
13	так же	4	57
14	то же	5	56
15	никогда не	2	56
16	в том	2	53
17	том что	4	53
18	потому что	2	52
19	что и	2	51
20	и что	4	51
21	и здесь	2	51
22	о том	2	48
23	его в	2	47
24	не в	2	47
25	но в	6	44
26	это не	5	43
27	и его	6	43
28	в нем	4	42
29	как в	3	42
30	в его	3	38
31	тем что	2	38
32	и на	7	38
33	так и	5	37
34	он не	2	37
35	уже не	2	37
36	как и	5	37
37	с тем	2	35
38	все эти	3	35
39	что это	5	34
40	у него	6	34
41	об этом	4	33
42	ничего не	2	31
43	прежде всего	4	31
44	один из	3	31
45	к нему	3	30
46	но все	2	29
47	но это	4	29
48	что она	2	28
49	и с	7	28
50	так что	2	27
51	в образе	6	27
52	как это	3	26
53	вопрос о	2	25
54	в дальнейшем	5	25
55	и он	3	25
56	в виде	2	24
57	все это	4	23
58	в частности	2	23
59	точно так	2	23
60	в этой	4	23
61	и это	2	23
62	как бы	7	23
63	при этом	3	22
64	с ним	3	22
65	в одном	2	21
66	к тому	2	21
67	одна из	2	20
68	и как	3	19
69	что этот	2	18
70	в данном	2	18
71	в то	5	18
72	то и	2	17
73	перед нами	2	16
74	и все	4	16
75	данном случае	2	15
76	в целом	4	15
77	и то	2	15
78	друг друга	2	15
79	и даже	4	15
80	как будто	3	15
81	отношение к	2	14
82	и ее	2	14
83	но они	2	14
84	своего рода	3	13
85	в своем	3	13
86	не имеет	2	13
87	в себе	4	13
88	не просто	2	13
89	в основном	3	12
90	никто не	3	11
91	уже в	3	11
92	я не	4	11
93	в ее	2	10
94	говорит о	2	10
95	своего отца	3	10
96	что эти	2	10
97	он и	2	10
98	не мог	2	10
99	ни в	2	10
100	о чем	3	10
101	в это	2	10
102	а как	2	9
103	что за	3	9
104	не могут	2	9
105	ее за	2	9
106	с его	2	9
107	тем самым	3	8
108	я тебе	2	8
109	не так	2	8
110	тут же	2	8
111	он был	2	8
112	и сам	3	8
113	во сне	2	8
114	в конце	3	7
115	состоит из	2	7
116	под влиянием	2	7
117	как у	2	7
118	еще в	2	7
119	но эта	2	7
120	нет в	2	7
121	что я	4	7
122	я буду	2	7
123	этим объясняется	2	7
124	для него	3	7
125	отличие от	2	6
126	говорит что	2	6
127	как говорит	2	6
128	ничем не	2	6
129	и за	2	6
130	его за	2	6
131	что все	2	6
132	в русском	2	6
133	а я	5	6
134	мог бы	3	6
135	к жизни	5	6
136	только о	2	6
137	не случайно	2	6
138	это уже	2	5
139	что образ	3	5
140	со мной	2	5
141	но при	2	5
142	с ее	3	5
143	несмотря на	5	5
144	знает что	2	5
145	в таком	2	5
146	в отличие	2	5
147	столь же	2	4
148	а что	2	4
149	одном из	2	4
150	впечатление что	2	4
151	она все	2	4
152	ребенка в	2	4
153	он сам	7	4
154	который в	2	4
155	в глаза	2	4
156	вместе со	2	4
157	дома и	2	4
158	отнюдь не	3	4
159	о его	2	4
160	ее к	2	4
161	в самом	2	4
162	как же	2	3
163	бросается в	2	3
164	превратилось в	2	3
165	в самую	2	3
166	вряд ли	2	3
167	она должна	2	3
168	он всегда	4	3
169	ребенка и	2	3
170	и я	2	3
171	должно быть	3	3
172	раз и	2	3
173	имеет в	2	3
174	жизнью и	2	3
175	и до	2	3
176	раз он	2	3
177	даже если	2	3
178	этот образ	4	3
179	этими двумя	2	3
180	отцом и	2	2
181	в ходе	2	2
182	не за	2	2
183	это очень	5	2
184	голод и	2	2
185	жизнь и	3	2
186	в мире	3	2
187	даже на	2	2
188	из самых	2	2
189	отца и	2	2
190	я все	2	2
191	в поле	3	2
192	между этими	2	2
193	что вы	3	2
194	что с	3	2
195	по мнению	2	2
