N	3gram	Tiupa_Disk	Freidism
1	с точки зрения	3	15
2	не может быть	5	14
3	по отношению к	13	11
4	в том что	18	9
5	во всяком случае	2	8
6	и прежде всего	2	7
7	в то же	7	6
8	то же время	9	6
9	в большинстве случаев	2	5
10	можно сказать что	3	5
11	с самого начала	2	5
12	в этом отношении	4	4
13	в данном случае	6	4
14	в свою очередь	3	4
15	о том что	8	3
16	так и в	4	3
17	только то что	2	3
18	в конечном счете	2	3
19	и не может	3	3
20	что же касается	4	3
21	то же самое	2	2
22	а с другой	4	2
23	это прежде всего	3	2
24	в отличие от	12	2
25	с одной стороны	12	2
26	и может быть	3	2
27	сказать и о	2	2
