N	2gram	Vinokur_St	Poddanst
1	не только	36	17
2	и в	61	14
3	и не	23	12
4	в области	16	11
5	в этом	37	10
6	в отношении	11	10
7	но в	16	9
8	то же	7	9
9	в том	56	9
10	в качестве	7	9
11	хотя бы	8	8
12	в то	10	7
13	только в	11	7
14	же время	5	7
15	но и	28	6
16	было бы	21	6
17	е с	3	6
18	в ней	9	6
19	xix века	2	6
20	с другой	11	5
21	не в	15	5
22	и о	4	5
23	п о	2	5
24	в которых	5	5
25	отношении к	3	5
26	и пр	4	5
27	может быть	16	5
28	по себе	3	4
29	что в	41	4
30	если бы	11	4
31	но также	13	4
32	и потому	3	4
33	в своем	8	4
34	том что	49	4
35	а также	4	4
36	в котором	11	4
37	в русской	4	4
38	и к	5	4
39	как бы	8	4
40	то что	27	4
41	не может	10	4
42	а в	18	4
43	что мы	5	3
44	и как	2	3
45	с тем	3	3
46	но не	5	3
47	тем самым	2	3
48	это не	8	3
49	т е	21	3
50	с точки	10	3
51	сами по	2	3
52	в россии	7	3
53	столь же	5	3
54	мы не	3	3
55	для того	15	3
56	в себе	3	3
57	точки зрения	16	3
58	потому что	13	3
59	одной стороны	2	3
60	в нем	9	3
61	между тем	7	3
62	и без	4	3
63	могут быть	5	3
64	прежде всего	11	3
65	и т	36	3
66	хотя и	4	3
67	тот же	2	3
68	с одной	3	3
69	заключается в	5	3
70	для нас	7	2
71	не о	2	2
72	да и	4	2
73	и и	2	2
74	г и	3	2
75	в них	2	2
76	было в	2	2
77	если в	2	2
78	отношения к	2	2
79	для них	2	2
80	не к	2	2
81	в эту	3	2
82	х и	2	2
83	и это	4	2
84	более чем	3	2
85	в статье	9	2
86	и тем	3	2
87	в его	19	2
88	с этим	6	2
89	д д	6	2
90	в общем	2	2
91	не менее	8	2
92	говорить о	3	2
93	бы ни	3	2
94	со стороны	7	2
95	культуры в	3	2
96	именно в	8	2
97	в начале	5	2
98	в виде	3	2
99	еще более	5	2
100	тем более	4	2
101	все это	13	2
102	но к	2	2
103	в частности	6	2
104	в выборе	2	2
105	том числе	3	2
106	как на	10	2
107	сомнения что	4	2
108	а не	19	2
109	не было	7	2
110	мысль о	2	2
111	например в	8	2
112	и с	6	2
113	во всех	8	2
114	в ее	6	2
115	между прочим	10	2
116	как раз	10	2
117	есть в	2	2
118	нужно было	2	2
119	в значительной	2	2
120	того что	14	2
121	думать что	2	2
122	из них	11	2
123	в которую	2	2
124	не столько	6	2
