N	3gram	Trubetskoy	Marksizm
1	с точки зрения	6	46
2	в то же	2	15
3	то же время	2	15
4	в связи с	3	14
5	в том что	3	14
6	бы то ни	2	12
7	то ни было	2	12
8	для того чтобы	5	11
9	до сих пор	5	11
10	с самого начала	2	10
11	то же самое	2	8
12	может быть и	2	8
13	во всяком случае	6	6
14	на то что	2	6
15	с одной стороны	7	6
16	той или иной	2	5
17	в этом отношении	2	5
18	можно сказать что	2	4
19	о том что	4	4
20	так и от	2	4
21	но все же	4	4
22	тем не менее	3	3
23	более или менее	5	3
24	в конце концов	3	3
25	друг с другом	5	3
26	между этими двумя	2	3
27	в том числе	5	3
28	том числе и	4	3
29	и в этом	2	3
30	по крайней мере	5	2
31	таким образом в	2	2
32	так же как	3	2
33	ничего общего с	2	2
34	к тому же	4	2
35	так или иначе	3	2
