N	2gram	Potebnia_M	Istorich
1	и в	48	181
2	и т	12	160
3	т д	5	142
4	может быть	46	115
5	не только	32	114
6	что он	8	111
7	что в	30	90
8	но и	30	85
9	в этом	19	81
10	так как	20	75
11	то что	37	73
12	таким образом	24	72
13	вместе с	22	71
14	и не	28	67
15	все же	3	65
16	мы видим	3	65
17	в этих	2	64
18	еще не	9	63
19	не может	18	61
20	так же	6	57
21	то же	35	56
22	никогда не	2	56
23	в том	47	53
24	том что	28	53
25	с другой	8	52
26	а в	14	52
27	потому что	82	52
28	что и	16	51
29	и что	13	51
30	и здесь	3	51
31	мы видели	5	49
32	о том	7	48
33	а не	22	48
34	связь с	4	47
35	его в	6	47
36	не в	24	47
37	другой стороны	4	46
38	превращается в	3	45
39	мы должны	6	44
40	но в	8	44
41	это не	2	43
42	и его	4	43
43	в нем	16	42
44	показывает что	2	42
45	только в	29	42
46	как в	17	42
47	или в	4	39
48	в его	6	38
49	для нас	40	38
50	тем что	13	38
51	и на	5	38
52	так и	17	37
53	он не	4	37
54	уже не	11	37
55	как и	22	37
56	мы уже	5	37
57	мы можем	13	36
58	с тем	9	35
59	что они	2	35
60	мы не	17	35
61	не всегда	5	34
62	во время	4	34
63	что это	6	34
64	но не	8	34
65	связи с	6	34
66	у него	3	34
67	там где	6	33
68	об этом	4	33
69	сих пор	4	32
70	так в	4	31
71	власть над	2	31
72	прежде всего	6	31
73	один из	7	31
74	то это	9	31
75	при помощи	2	30
76	с этим	12	30
77	до сих	4	30
78	с одной	8	30
79	к нему	7	30
80	но все	2	29
81	как мы	8	29
82	одной стороны	4	29
83	этом случае	2	29
84	но это	9	29
85	например в	9	28
86	что она	4	28
87	и с	4	28
88	так что	14	27
89	в образе	4	27
90	того что	24	27
91	могут быть	6	27
92	в ней	11	26
93	предположить что	4	26
94	на него	3	26
95	вопрос о	2	25
96	было бы	16	24
97	если бы	20	24
98	в виде	3	24
99	что мы	16	24
100	к этому	3	24
101	не менее	9	24
102	видно что	4	24
103	того как	10	24
104	все это	4	23
105	тем не	7	23
106	точно так	15	23
107	в этой	3	23
108	их в	3	23
109	и это	6	23
110	как бы	10	23
111	при этом	6	22
112	и по	5	22
113	с ним	10	22
114	в одном	4	21
115	сказать что	8	21
116	ее в	2	21
117	к тому	9	21
118	связано с	2	21
119	другими словами	3	20
120	она не	4	20
121	в других	3	20
122	из них	11	20
123	в силу	7	20
124	эта связь	2	20
125	из этих	10	20
126	так например	3	19
127	и как	8	19
128	после того	2	19
129	что у	4	19
130	в другой	3	19
131	есть и	3	19
132	на то	6	19
133	но он	3	19
134	что этот	2	18
135	не все	5	18
136	в данном	3	18
137	вовсе не	13	18
138	в то	16	18
139	то и	10	17
140	и только	5	17
141	том как	3	17
142	в них	9	17
143	выше мы	4	17
144	со стороны	4	16
145	перед нами	3	16
146	и все	5	16
147	между двумя	5	16
148	в котором	7	16
149	данном случае	3	15
150	в целом	5	15
151	на его	4	15
152	в своей	2	15
153	даже в	3	15
154	и то	13	15
155	друг друга	6	15
156	и даже	3	15
157	в которых	5	15
158	но есть	3	15
159	и тем	8	15
160	увидим что	2	15
161	что при	3	15
162	от него	2	14
163	отношение к	2	14
164	у нас	2	14
165	но мы	3	14
166	такое же	5	14
167	должна быть	2	14
168	с этой	2	14
169	на вопрос	2	14
170	должен был	2	14
171	отношению к	10	14
172	и есть	4	14
173	его на	3	14
174	одной из	3	14
175	по отношению	12	14
176	и наконец	3	14
177	находится в	5	14
178	в нее	5	13
179	к своему	3	13
180	все что	4	13
181	в таких	4	13
182	и от	5	13
183	его не	2	13
184	на котором	4	13
185	тогда как	8	13
186	в своем	6	13
187	время как	3	13
188	или на	2	13
189	не имеет	10	13
190	и если	4	13
191	в себе	26	13
192	с ними	6	13
193	в форме	2	13
194	по себе	26	13
195	то время	7	13
196	таким же	2	13
197	а потом	2	12
198	во всем	2	12
199	в их	2	12
200	ответ на	3	12
201	и их	4	12
202	одним из	3	12
203	в более	4	12
204	между прочим	5	12
205	хотя бы	3	12
206	за ним	4	12
207	не знает	4	12
208	что не	12	12
209	на более	2	12
210	к ней	7	12
211	должно было	2	11
212	от этого	2	11
213	никто не	5	11
214	и более	4	11
215	относится к	6	11
216	происходит в	2	11
217	точки зрения	4	11
218	хотя и	3	11
219	но уже	2	11
220	уже в	10	11
221	человека в	2	11
222	на нее	2	11
223	далеко не	5	11
224	же в	3	11
225	у меня	2	11
226	на которой	4	11
227	этого не	3	11
228	дает нам	3	11
229	некоторое время	3	11
230	по мере	12	11
231	но оно	6	11
232	должны быть	3	11
233	пока не	2	10
234	что же	3	10
235	в ее	3	10
236	и тот	5	10
237	известно что	4	10
238	но если	2	10
239	он может	2	10
240	что эта	3	10
241	указывает на	8	10
242	но как	2	10
243	есть только	9	10
244	вслед за	6	10
245	если не	6	10
246	не знаем	5	10
247	что эти	3	10
248	к ним	3	10
249	там же	8	10
250	в состоянии	5	10
251	не как	3	10
252	и других	3	10
253	а с	4	10
254	но так	3	10
255	то не	3	10
256	в которой	9	10
257	ни в	2	10
258	его к	2	10
259	в это	2	10
260	от них	4	10
261	не было	12	10
262	не можем	8	10
263	и к	5	10
264	в различных	2	10
265	бы мы	2	9
266	а как	2	9
267	он должен	2	9
268	в истории	2	9
269	тот же	2	9
270	в свою	6	9
271	это так	2	9
272	из него	4	9
273	не могут	7	9
274	это и	2	9
275	тогда когда	20	9
276	по этому	2	9
277	более или	6	9
278	зависит от	7	9
279	жизни и	3	9
280	что на	3	9
281	не будет	4	9
282	таких случаях	2	9
283	том чтобы	4	9
284	или же	8	9
285	или менее	6	9
286	и хотя	3	9
287	только на	4	9
288	в чем	6	9
289	себе в	2	9
290	и вместе	6	9
291	в течение	2	9
292	целый ряд	2	9
293	ему в	2	9
294	тем самым	11	8
295	только тогда	13	8
296	одно из	6	8
297	но вместе	5	8
298	кажется что	3	8
299	только что	12	8
300	именно в	5	8
301	что такое	2	8
302	входит в	3	8
303	тому как	6	8
304	во всяком	4	8
305	именно на	2	8
306	не дает	2	8
307	образом и	3	8
308	мере того	8	8
309	он говорит	3	8
310	смысле этого	9	8
311	на другой	2	8
312	есть еще	4	8
313	на это	4	8
314	подобно тому	3	8
315	большинстве случаев	2	8
316	же самое	3	8
317	и потому	9	8
318	и другое	3	8
319	отсюда видно	2	8
320	что его	3	8
321	тут же	2	8
322	в некотором	2	8
323	та же	3	8
324	и из	2	8
325	от того	10	8
326	или по	2	8
327	его с	3	8
328	и наоборот	5	8
329	и эта	2	8
330	можно сказать	4	8
331	независимо от	10	8
332	с другими	9	8
333	значит что	2	8
334	можно бы	4	8
335	не с	4	8
336	можем предположить	2	8
337	конечно не	2	8
338	на самом	4	7
339	и о	6	7
340	а только	7	7
341	не то	6	7
342	того чтобы	5	7
343	если в	2	7
344	как у	2	7
345	связь между	6	7
346	есть не	9	7
347	но эта	3	7
348	когда мы	4	7
349	тому что	6	7
350	а то	2	7
351	как она	2	7
352	что ни	3	7
353	в начале	3	7
354	в какой	3	7
355	что я	5	7
356	того же	5	7
357	если мы	2	7
358	со своим	2	7
359	всяком случае	3	7
360	как на	6	7
361	между тем	19	7
362	и при	5	7
363	в эту	4	7
364	те же	6	7
365	был бы	2	7
366	этого слова	14	7
367	во многих	3	7
368	можно только	3	7
369	этой стороны	2	7
370	то он	2	7
371	думать что	6	7
372	не есть	24	7
373	в области	3	7
374	самом деле	5	7
375	по которому	7	7
376	образом в	4	7
377	что оно	12	7
378	не столько	2	7
379	на них	2	7
380	обращается к	2	7
381	для него	14	7
382	к которым	2	7
383	в большинстве	2	7
384	для того	8	6
385	отличие от	2	6
386	нам кажется	7	6
387	нет ничего	2	6
388	себе не	6	6
389	равно как	2	6
390	же что	8	6
391	не потому	2	6
392	между ними	4	6
393	его за	2	6
394	что все	5	6
395	формы и	2	6
396	от его	2	6
397	позднее явление	2	6
398	уже на	2	6
399	той же	6	6
400	имеет свою	2	6
401	заметить что	7	6
402	не могла	2	6
403	до того	5	6
404	его как	3	6
405	даже не	2	6
406	что как	4	6
407	но тем	4	6
408	но что	4	6
409	нечто вроде	2	6
410	так у	2	6
411	должны будем	3	6
412	связь и	2	6
413	и оно	3	6
414	на той	2	6
415	со всех	3	6
416	только по	5	6
417	только о	2	6
418	и тогда	4	6
419	что по	4	6
420	такая форма	2	6
421	к чему	2	6
422	все его	2	6
423	с одним	3	6
424	же и	3	6
425	отношения к	2	6
426	в каком	8	5
427	это только	2	5
428	как нечто	3	5
429	только как	9	5
430	ее не	4	5
431	никак не	3	5
432	или не	3	5
433	бы быть	3	5
434	это было	3	5
435	не имели	2	5
436	и почему	2	5
437	только для	3	5
438	представления и	4	5
439	в своих	2	5
440	из себя	3	5
441	это можно	4	5
442	и затем	3	5
443	друг другу	2	5
444	в одно	8	5
445	в свое	2	5
446	по своему	2	5
447	эти слова	2	5
448	и видит	2	5
449	что если	5	5
450	это в	2	5
451	хотя в	3	5
452	бы в	3	5
453	ее с	2	5
454	или наоборот	2	5
