N	2gram	Savitsky_P	OGranits
1	и в	14	13
2	прежде всего	3	9
3	и не	12	8
4	не может	4	8
5	может быть	5	8
6	в его	2	7
7	и пр	5	7
8	точки зрения	3	7
9	не только	17	6
10	мы должны	4	6
11	как бы	4	6
12	только в	7	6
13	то что	4	6
14	с точки	3	5
15	хотя бы	8	5
16	но в	9	4
17	то же	9	4
18	все это	2	4
19	в выборе	2	4
20	было бы	6	4
21	мы не	3	4
22	да и	2	3
23	в ее	2	3
24	с этим	2	3
25	в пределах	8	3
26	не в	5	3
27	говорить о	2	3
28	в себе	3	3
29	что в	4	3
30	но и	6	3
31	не столько	2	3
32	могут быть	3	2
33	в этом	10	2
34	в них	2	2
35	в том	9	2
36	в отношении	10	2
37	есть не	2	2
38	если бы	4	2
39	думать что	2	2
40	с одной	3	2
41	с другой	5	2
42	а в	4	2
43	и тем	2	2
44	том что	4	2
45	а также	4	2
46	и к	4	2
47	в общем	2	2
48	не менее	2	2
49	с ними	3	2
50	в области	11	2
51	в нем	3	2
52	а не	2	2
53	во всей	2	2
54	в ней	6	2
55	вслед за	3	2
56	одной стороны	3	2
57	между тем	3	2
58	тот же	3	2
59	в которую	2	2
