N	2gram	Tiupa_Vved	EvropaiC
1	таким образом	6	34
2	в том	21	31
3	и в	23	24
4	том что	16	20
5	не может	14	18
6	то что	9	18
7	может быть	25	17
8	все же	10	15
9	в этом	27	13
10	все это	3	13
11	в своем	9	12
12	самом деле	6	12
13	между тем	3	12
14	по отношению	11	11
15	но и	31	11
16	отношению к	11	11
17	не только	32	10
18	так и	14	10
19	во всех	2	10
20	как и	21	10
21	все что	3	10
22	как бы	8	10
23	в результате	5	9
24	и не	24	9
25	не в	12	9
26	что в	6	9
27	и все	8	9
28	на то	3	9
29	потому что	7	9
30	при этом	43	9
31	и что	2	9
32	так же	2	8
33	из этих	5	8
34	или менее	2	8
35	если бы	10	8
36	к тому	9	8
37	более или	2	8
38	в самом	6	8
39	того чтобы	2	8
40	ясно что	2	8
41	на самом	5	7
42	для этого	2	7
43	о которых	2	7
44	в сознании	5	7
45	в силу	2	7
46	по своей	4	7
47	что он	2	7
48	того что	7	7
49	о котором	5	7
50	не менее	4	7
51	о том	7	7
52	что и	6	7
53	в этой	2	7
54	вместе с	2	7
55	в мире	9	6
56	только в	9	6
57	все они	2	6
58	у них	3	6
59	еще не	8	6
60	друг от	2	6
61	что касается	5	6
62	в то	5	6
63	должна быть	3	6
64	и для	8	6
65	с другой	10	6
66	от друга	2	6
67	и на	5	6
68	мы можем	2	6
69	несмотря на	2	6
70	начало и	2	6
71	тогда как	16	6
72	тому же	6	6
73	с ним	3	6
74	и от	3	5
75	в себе	15	5
76	к этому	3	5
77	лишь в	4	5
78	что это	2	5
79	по своему	3	5
80	у него	8	5
81	далеко не	5	5
82	но в	14	5
83	столь же	3	5
84	или иначе	2	5
85	и с	2	5
86	и к	2	5
87	другой стороны	3	5
88	в целом	4	5
89	между двумя	5	5
90	в его	9	5
91	как будто	6	5
92	его собственной	2	5
93	быть и	2	5
94	никогда не	6	4
95	хотя бы	2	4
96	тем не	3	4
97	в конце	3	4
98	отношение к	5	4
99	и у	2	4
100	целый ряд	2	4
101	и т.д	6	4
102	иначе говоря	8	4
103	ее и	2	4
104	то же	8	4
105	в их	2	4
106	в области	5	4
107	а с	4	4
108	одним из	5	4
109	совершенно не	2	4
110	в течение	2	4
111	между собой	2	4
112	что для	2	4
113	не есть	2	4
114	и конец	2	4
115	в европейской	2	4
116	что мы	2	4
117	связи с	2	4
118	в таком	2	4
119	он не	6	4
120	хотя и	10	4
121	даже в	3	3
122	данном случае	15	3
123	тем самым	6	3
124	это не	7	3
125	и потому	2	3
126	не подлежит	2	3
127	к которой	2	3
128	в начале	3	3
129	тем более	3	3
130	бы в	4	3
131	которые не	2	3
132	а лишь	3	3
133	очевидно что	2	3
134	в этих	5	3
135	и наконец	2	3
136	как у	3	3
137	у нас	4	3
138	вследствие этого	5	3
139	прежде всего	11	3
140	отличие от	11	3
141	с одной	9	3
142	в разных	2	3
143	как известно	2	3
144	в жизни	7	3
145	но не	9	3
146	и это	2	3
147	в данном	22	3
148	а в	15	3
149	может служить	4	3
150	не вполне	4	3
151	в нем	9	3
152	в ней	5	3
153	для нас	4	3
154	ближе к	3	3
155	можно назвать	2	3
156	было бы	4	3
157	и по	3	3
158	в нашем	9	3
159	как для	3	3
160	и того	3	3
161	заключается в	2	3
162	как мы	5	3
163	двух или	4	3
164	одна из	5	2
165	тех же	2	2
166	то и	2	2
167	а к	3	2
168	к ним	4	2
169	и ее	2	2
170	что она	2	2
171	при таком	2	2
172	высшей степени	2	2
173	то есть	13	2
174	в другом	2	2
175	свою очередь	5	2
176	на него	3	2
177	для себя	2	2
178	которые могут	2	2
179	должен быть	3	2
180	что до	2	2
181	на первый	3	2
182	в виду	3	2
183	не было	5	2
184	в частности	19	2
185	следует искать	2	2
186	что они	2	2
187	на друга	2	2
188	от себя	2	2
189	точку зрения	2	2
190	а для	2	2
191	же касается	2	2
192	не знает	2	2
193	в высшей	2	2
194	друг на	2	2
195	при отсутствии	3	2
196	для него	5	2
197	мы видели	3	2
198	на нее	2	2
199	есть в	2	2
200	от них	2	2
201	том чтобы	2	2
202	не имеет	3	2
203	но так	2	2
204	также и	6	2
205	что у	4	2
206	тому что	2	2
207	к нему	2	2
208	в точке	4	2
209	они не	3	2
210	в котором	11	2
211	их в	3	2
212	те же	2	2
213	во втором	4	2
214	в своих	5	2
215	в свою	5	2
216	о них	4	2
217	что на	4	2
218	в которых	2	2
219	одной стороны	9	2
220	но на	2	2
221	отнюдь не	14	2
222	в них	4	2
223	представить себе	2	2
224	со своей	4	2
225	что же	6	2
226	всяком случае	3	2
227	жизни и	8	2
228	сводится к	6	2
229	с ними	2	2
230	во всяком	3	2
231	из него	2	2
232	говорить о	5	2
233	и его	9	2
234	нашем случае	3	2
235	в сущности	3	2
236	же время	4	2
237	и только	2	2
238	с ее	3	2
239	и сам	2	2
240	не следует	3	2
241	или нескольких	3	2
242	заключает в	4	2
243	и более	5	2
244	о которой	4	2
245	той же	3	2
246	вся его	2	2
247	имеет место	6	2
248	мы и	2	2
249	в основе	6	2
