N	2gram	Tiupa_Anal	Mirosoze
1	и в	30	97
2	может быть	33	64
3	не только	30	63
4	в этом	31	55
5	но и	29	54
6	он не	4	53
7	а не	25	53
8	в нем	3	49
9	не может	26	49
10	у него	5	47
11	и не	33	39
12	никогда не	4	38
13	потому что	3	37
14	не в	17	34
15	и есть	3	33
16	для него	5	31
17	не есть	8	30
18	прежде всего	8	29
19	как и	23	29
20	но в	11	27
21	в мире	14	27
22	в своей	7	25
23	он был	3	25
24	и все	5	24
25	о свободе	2	24
26	в своем	2	23
27	ведет к	3	23
28	что в	7	23
29	что он	3	22
30	в самом	12	21
31	в себе	17	20
32	отношение к	2	20
33	как бы	15	19
34	судьба человека	2	18
35	в его	15	18
36	и потому	2	17
37	того что	5	17
38	в том	36	16
39	том что	21	16
40	то что	11	16
41	было бы	4	16
42	и его	9	16
43	не был	2	15
44	быть может	2	15
45	в этой	12	15
46	не знает	4	15
47	в котором	5	15
48	нет ничего	2	14
49	в конце	4	14
50	так как	3	14
51	человек в	3	14
52	в глубине	2	14
53	и на	10	13
54	это не	7	12
55	к нему	4	12
56	все это	2	12
57	но не	13	12
58	хотя бы	4	11
59	в которой	3	11
60	только в	8	11
61	как в	3	11
62	и для	3	11
63	уже не	6	11
64	и к	5	11
65	не могут	3	10
66	для человека	2	10
67	есть не	9	10
68	один из	4	10
69	то же	12	10
70	человека к	4	10
71	а в	11	9
72	к тому	12	9
73	не будет	3	9
74	что и	5	9
75	и во	3	9
76	я не	2	9
77	х годов	2	9
78	должно быть	2	9
79	то есть	19	9
80	все что	3	9
81	человек и	2	9
82	с ним	6	9
83	лишь в	12	9
84	не мог	3	9
85	вместе с	6	9
86	вопрос о	2	8
87	ничего не	10	8
88	от него	2	8
89	в этих	3	8
90	не так	3	8
91	что не	3	8
92	того чтобы	3	8
93	в отношении	2	8
94	с его	3	8
95	себя в	8	8
96	за пределы	6	8
97	тем что	2	8
98	для того	4	8
99	нет и	2	8
100	о том	11	8
101	и с	2	8
102	еще в	4	8
103	те же	3	7
104	она есть	2	7
105	как он	4	7
106	более чем	4	7
107	должен быть	6	7
108	что все	2	7
109	он в	5	7
110	точки зрения	10	7
111	себя и	5	7
112	на этом	4	7
113	также и	3	7
114	в нашем	3	7
115	не могу	2	7
116	отношения к	4	7
117	его в	2	6
118	личности и	3	6
119	не как	2	6
120	вера в	2	6
121	на все	2	6
122	всего в	3	6
123	в ее	2	6
124	и те	2	6
125	этого мира	2	6
126	если бы	6	6
127	бы не	3	6
128	с этой	2	6
129	по своей	6	6
130	и более	5	6
131	на то	2	6
132	не к	3	6
133	и если	2	5
134	означает что	3	5
135	в то	10	5
136	в их	8	5
137	так и	16	5
138	для чего	2	5
139	сказать что	2	5
140	тот же	2	5
141	в основе	6	5
142	да и	2	5
143	одно из	2	5
144	вопроса о	4	5
145	по преимуществу	4	5
146	с самим	3	5
147	отличается от	3	5
148	и как	6	5
149	бы в	3	5
150	для этого	2	5
151	еще не	5	5
152	его и	3	5
153	как будто	6	5
154	на протяжении	2	5
155	то он	3	5
156	думать что	2	5
157	личности в	4	5
158	той же	4	5
159	по отношению	10	4
160	как о	2	4
161	иное как	6	4
162	не что	5	4
163	как к	2	4
164	не всегда	4	4
165	так что	3	4
166	может ли	2	4
167	что иное	6	4
168	в такой	2	4
169	есть в	4	4
170	а с	3	4
171	отношением к	2	4
172	в чем	2	4
173	только с	2	4
174	тому что	2	4
175	в центре	3	4
176	место в	3	4
177	и тот	2	4
178	могут быть	12	4
179	тогда когда	3	4
180	в начале	3	4
181	и до	3	4
182	все эти	3	4
183	и тогда	3	4
184	себе в	2	4
185	никто не	3	4
186	не все	3	4
187	и даже	10	4
188	и по	2	4
189	стало быть	2	4
190	ни в	5	4
191	и их	2	4
192	все равно	2	4
193	особенно в	9	4
194	отношению к	9	4
195	ни с	5	4
196	не случайно	11	4
197	это была	2	4
198	культуры в	2	4
199	в той	8	4
200	может не	2	4
201	и что	2	4
202	будто бы	4	4
203	к его	3	3
204	мира не	2	3
205	ведь это	2	3
206	остается в	2	3
207	о чем	3	3
208	не остается	2	3
209	для себя	3	3
210	одним из	3	3
211	и тем	4	3
212	мире и	2	3
213	все же	4	3
214	она может	3	3
215	мы должны	2	3
216	что же	3	3
217	между тем	7	3
218	в виду	2	3
219	и та	2	3
220	на его	4	3
221	ли он	3	3
222	хотя и	4	3
223	и то	4	3
224	обратиться к	4	3
225	бытия и	2	3
226	в противоположность	4	3
227	к этому	2	3
228	и самого	3	3
229	мысль о	2	3
230	я и	8	3
231	превращается в	3	3
232	в пределах	11	3
233	во всех	5	3
234	в ином	2	3
235	не с	8	3
236	на этот	2	3
237	с другим	5	3
238	он может	2	3
239	не вполне	2	3
240	о себе	2	3
241	приводит к	2	3
242	в одном	3	3
243	всякий раз	3	3
244	ко всем	2	3
245	со своей	2	3
246	тому как	5	3
247	роль в	3	3
248	только одно	2	3
249	и ответственности	2	3
250	и за	3	3
251	душевной жизни	3	2
252	не о	3	2
253	на самом	2	2
254	это означает	3	2
255	или иной	8	2
256	в действительности	2	2
257	его к	3	2
258	если в	3	2
259	такова что	2	2
260	ты не	2	2
261	со своим	4	2
262	а как	4	2
263	от своего	3	2
264	такого рода	6	2
265	к своему	2	2
266	самом деле	3	2
267	тем как	2	2
268	своим другим	2	2
269	была бы	4	2
270	его от	3	2
271	другого в	3	2
272	о нем	4	2
273	которые в	3	2
274	на которую	2	2
275	не менее	5	2
276	того же	7	2
277	тем самым	9	2
278	могли бы	2	2
279	по природе	4	2
280	к самому	2	2
281	своей собственной	2	2
282	о предопределении	6	2
283	ему в	3	2
284	разного рода	3	2
285	и сам	4	2
286	о жизни	3	2
287	не столько	5	2
288	же не	3	2
289	не сам	2	2
290	ли человек	2	2
291	о своей	2	2
292	связи с	2	2
293	в сущности	10	2
294	столь же	7	2
295	этого слова	10	2
296	лишь при	4	2
297	смысла жизни	3	2
298	между двумя	7	2
299	самим собою	2	2
300	удивительно что	2	2
301	то в	2	2
302	личности к	2	2
303	бы быть	3	2
304	его как	3	2
305	с их	2	2
306	этом отношении	5	2
