N	2gram	Vygotskiy_	Poddanst
1	не только	29	17
2	и в	37	14
3	и не	15	12
4	в области	4	11
5	в этом	32	10
6	в отношении	14	10
7	но в	9	9
8	то же	12	9
9	в том	47	9
10	в качестве	12	9
11	хотя бы	7	8
12	в то	7	7
13	только в	8	7
14	же время	2	7
15	но и	23	6
16	было бы	12	6
17	в смысле	2	6
18	в ней	2	6
19	с другой	16	5
20	не в	9	5
21	в которых	6	5
22	и пр	2	5
23	может быть	19	5
24	по себе	9	4
25	что в	25	4
26	если бы	10	4
27	и потому	3	4
28	в своем	10	4
29	том что	42	4
30	мы должны	11	4
31	в котором	6	4
32	и к	9	4
33	как бы	16	4
34	и если	4	4
35	то что	32	4
36	не может	16	4
37	а в	4	4
38	что мы	9	3
39	и как	7	3
40	с тем	8	3
41	но не	6	3
42	тем самым	8	3
43	это не	5	3
44	с точки	34	3
45	столь же	8	3
46	мы не	13	3
47	для того	19	3
48	в себе	8	3
49	точки зрения	49	3
50	потому что	11	3
51	одной стороны	15	3
52	в нем	2	3
53	между тем	10	3
54	вслед за	3	3
55	могут быть	5	3
56	прежде всего	12	3
57	хотя и	2	3
58	тот же	7	3
59	с одной	14	3
60	заключается в	12	3
61	наряду с	3	3
62	для нас	4	2
63	должно быть	4	2
64	переход от	5	2
65	в них	5	2
66	в жизни	2	2
67	теперь в	2	2
68	есть не	3	2
69	отношения к	3	2
70	не к	3	2
71	в эту	4	2
72	стороны и	3	2
73	и мы	3	2
74	и это	3	2
75	есть нечто	2	2
76	которую мы	6	2
77	и тем	8	2
78	и других	4	2
79	в его	16	2
80	с этим	8	2
81	по сравнению	10	2
82	и вот	3	2
83	в общем	5	2
84	говорить о	4	2
85	со стороны	4	2
86	именно в	8	2
87	в начале	2	2
88	в виде	3	2
89	тем более	7	2
90	все это	9	2
91	в частности	8	2
92	том числе	3	2
93	как на	5	2
94	друг другу	4	2
95	а не	5	2
96	во всей	8	2
97	и есть	2	2
98	из важнейших	2	2
99	и с	10	2
100	во всех	4	2
101	в ее	3	2
102	как раз	8	2
103	с с	2	2
104	в сфере	4	2
105	в значительной	2	2
106	того что	28	2
107	в силу	8	2
108	главным образом	2	2
109	из них	4	2
110	не столько	4	2
111	отнюдь не	2	2
