N	2gram	Voloshinov	NovoeSre
1	и в	16	16
2	не может	8	16
3	совсем не	2	12
4	и не	4	11
5	и есть	3	10
6	что в	3	9
7	жизни и	3	8
8	как не	2	8
9	в том	3	8
10	он не	2	8
11	не будет	2	7
12	может быть	17	7
13	как и	2	7
14	в этом	9	7
15	никогда не	2	6
16	ни в	5	6
17	не знает	2	6
18	но это	2	6
19	с его	7	6
20	не только	7	5
21	в жизни	2	5
22	все это	4	5
23	в нем	4	5
24	с ее	4	5
25	и к	6	5
26	по своему	2	4
27	в них	2	4
28	и для	2	4
29	прежде всего	9	4
30	не менее	2	4
31	и потому	3	4
32	и мы	2	4
33	то что	3	4
34	о том	2	4
35	и все	4	4
36	быть может	2	4
37	но и	4	3
38	и пр	12	3
39	что такое	5	3
40	в своей	2	3
41	еще не	5	3
42	к ним	2	3
43	конечно не	6	3
44	не есть	2	3
45	за пределы	2	3
46	сказать что	7	3
47	во всех	3	3
48	не существует	2	3
49	в основе	3	3
50	и с	8	2
51	для этого	2	2
52	нет и	2	2
53	и т.п	2	2
54	нашего времени	2	2
55	и это	6	2
56	хотя бы	4	2
57	же как	2	2
58	а в	3	2
59	но в	4	2
60	том что	3	2
61	можно назвать	2	2
62	и на	4	2
63	с этим	2	2
64	есть в	2	2
65	все эти	5	2
66	мы не	2	2
67	на протяжении	2	2
68	мира и	3	2
69	у него	2	2
70	с их	3	2
71	как это	3	2
72	так же	2	2
73	так и	4	2
74	нем нет	2	2
75	могут быть	3	2
76	мысли и	4	2
77	этом смысле	3	2
78	и даже	4	2
79	вместе с	3	2
