N	2gram	Berdyaev_V	Narrotol
1	не только	2	62
2	и не	20	50
3	но и	5	45
4	а не	7	38
5	и в	16	30
6	в том	3	29
7	том что	2	28
8	в этом	4	28
9	а в	2	27
10	только в	2	25
11	как и	4	24
12	не в	3	23
13	то что	9	23
14	так и	4	17
15	в его	4	16
16	но в	3	15
17	к тому	3	15
18	в жизни	3	14
19	в своей	3	13
20	уже не	2	13
21	прежде всего	2	12
22	как бы	5	12
23	в нем	4	11
24	в мире	5	11
25	хотя и	5	11
26	никогда не	3	10
27	один из	2	10
28	того что	5	10
29	и все	4	10
30	но не	2	10
31	жизни и	3	10
32	между тем	2	10
33	с его	3	10
34	еще не	8	9
35	что он	4	9
36	что в	3	9
37	для него	2	9
38	потому что	4	9
39	с ним	2	9
40	того чтобы	2	8
41	одна из	2	8
42	мира в	2	8
43	и для	3	8
44	это не	2	7
45	вслед за	2	7
46	в конце	3	7
47	в чем	3	7
48	в ней	4	7
49	на себя	5	7
50	в котором	4	7
51	в форме	2	7
52	что и	3	6
53	все что	4	6
54	мы не	2	5
55	да и	2	5
56	и то	2	5
57	бы и	3	5
58	их в	3	5
59	если не	3	5
60	не было	3	5
61	и сам	2	5
62	в них	3	4
63	тому что	3	4
64	на том	2	4
65	не будет	2	4
66	когда в	2	4
67	что они	7	4
68	от этих	2	4
69	хотя бы	3	4
70	не имеет	3	4
71	не с	2	4
72	что я	3	4
73	оно не	3	4
74	для нас	2	4
75	во всяком	2	4
76	в себя	2	4
77	не к	2	4
78	ее и	2	3
79	и потому	7	3
80	к чему	3	3
81	его не	2	3
82	а с	2	3
83	и это	2	3
84	своей истории	2	3
85	что не	4	3
86	а к	2	3
87	все эти	3	3
88	и тогда	2	3
89	и т	2	3
90	но это	3	3
91	можно было	2	3
92	от которого	3	3
93	лишь в	3	3
94	в этих	3	3
95	все равно	2	3
96	что мы	4	3
97	и что	3	3
98	говорить о	4	3
99	что было	2	3
100	добра и	4	2
101	и зла	2	2
102	является в	2	2
103	давно уже	2	2
104	быть личностью	2	2
105	это все	2	2
106	людей и	2	2
107	они и	2	2
108	в смысл	2	2
109	могут быть	2	2
110	для них	2	2
111	не имел	2	2
112	и во	2	2
113	это еще	4	2
114	и мы	3	2
115	должно быть	3	2
116	первый раз	3	2
117	тот кто	2	2
118	превращается в	3	2
119	все это	5	2
120	тем что	2	2
121	не есть	6	2
122	человека как	2	2
123	и есть	4	2
124	его и	2	2
125	которым можно	2	2
126	во всех	3	2
127	должна быть	3	2
128	мир и	2	2
129	а между	2	2
130	более чем	2	2
131	значения и	2	2
132	мы и	2	2
