N	2gram	Tiupa_Anal	FransuaR
1	и в	36	367
2	то есть	15	209
3	в этом	19	112
4	и т.п	7	108
5	и не	14	101
6	таким образом	4	100
7	и его	18	99
8	в его	12	98
9	прежде всего	7	92
10	не только	40	87
11	мы уже	2	85
12	но и	26	84
13	как бы	14	82
14	все эти	2	79
15	вовсе не	2	77
16	в романе	3	77
17	как и	27	76
18	в нем	3	75
19	но в	8	75
20	и на	5	72
21	в том	16	71
22	как мы	4	71
23	то же	7	66
24	и все	3	66
25	так и	19	65
26	в этой	10	65
27	в них	4	65
28	в сущности	5	64
29	во время	2	63
30	в то	8	63
31	все это	5	62
32	во всех	4	62
33	же время	7	55
34	что в	15	52
35	в своем	7	51
36	только в	9	48
37	и до	2	46
38	том что	19	45
39	в году	5	44
40	здесь в	2	41
41	то что	5	41
42	жизни и	2	40
43	у него	2	40
44	в самом	7	38
45	точки зрения	3	37
46	в ней	2	37
47	с его	15	36
48	может быть	19	35
49	он был	3	35
50	о том	9	35
51	сказать что	2	34
52	и даже	12	34
53	в себе	7	34
54	в конце	6	32
55	он не	9	32
56	для него	8	32
57	в своей	12	31
58	нового времени	4	31
59	связаны с	2	31
60	в литературе	3	31
61	никогда не	7	30
62	и потому	3	30
63	той же	7	30
64	один из	6	30
65	в этих	2	29
66	не может	3	29
67	еще не	7	29
68	его в	4	29
69	не в	9	29
70	при этом	19	29
71	в одном	4	29
72	в особенности	4	29
73	что он	5	29
74	из них	4	28
75	в основе	2	28
76	в той	3	28
77	здесь и	3	28
78	и к	7	28
79	роль в	5	27
80	по своему	3	27
81	и их	3	27
82	все же	6	27
83	в эпизоде	7	27
84	все они	2	26
85	но это	3	25
86	мира и	2	25
87	отношение к	2	24
88	в ее	5	24
89	и от	3	24
90	в частности	19	24
91	например в	2	24
92	но не	13	24
93	в большинстве	2	24
94	как в	9	24
95	он и	4	24
96	своего рода	17	23
97	так сказать	2	23
98	и для	4	23
99	это не	4	23
100	в их	7	23
101	с ним	2	23
102	еще и	4	23
103	и здесь	4	23
104	связь с	3	22
105	даже в	6	22
106	а в	17	22
107	что и	10	22
108	там где	2	22
109	тем что	3	22
110	вместе с	3	22
111	не было	3	22
112	именно в	4	21
113	в своих	3	21
114	в себя	6	21
115	в качестве	22	21
116	в отношении	2	21
117	есть в	2	21
118	и как	5	21
119	уже в	5	21
120	а также	5	20
121	как раз	8	20
122	одной из	6	20
123	этом отношении	3	20
124	в значительной	3	20
125	с точки	2	20
126	самом деле	2	20
127	в форме	2	19
128	того же	7	19
129	в дальнейшем	2	19
130	во всем	5	19
131	хотя и	4	19
132	к этому	3	19
133	в эту	2	19
134	было бы	6	19
135	за пределы	3	19
136	далеко не	8	19
137	с другой	10	19
138	с ее	3	19
139	со всеми	2	18
140	на этом	2	18
141	здесь не	8	18
142	превращается в	3	18
143	но они	2	18
144	это и	4	18
145	перед нами	7	18
146	одна из	6	18
147	того что	4	17
148	можно было	2	17
149	в результате	6	17
150	на его	3	17
151	и вот	2	17
152	такой же	2	17
153	а не	16	17
154	между тем	8	16
155	тот же	3	16
156	ничего не	3	16
157	в начале	10	16
158	между ними	3	16
159	в другом	3	16
160	они не	2	16
161	дело в	3	16
162	с одной	3	16
163	и одновременно	6	16
164	одно из	3	15
165	в нашем	4	15
166	и прежде	2	15
167	а затем	2	15
168	в первой	10	15
169	с их	3	15
170	от всех	2	15
171	не мог	4	15
172	характерно что	2	15
173	из этих	4	15
174	мы не	4	14
175	все что	2	14
176	в данном	12	14
177	и он	4	14
178	несмотря на	2	14
179	и по	3	14
180	в чем	2	14
181	так в	4	13
