N	2gram	Berdyaev_M	VerxiiNi
1	и в	61	26
2	с тем	10	18
3	в этом	34	15
4	вместе с	7	15
5	точки зрения	6	13
6	как бы	10	12
7	в том	9	11
8	не только	42	10
9	и с	6	10
10	может быть	42	10
11	что в	12	9
12	так как	10	9
13	но и	34	9
14	но не	8	8
15	и у	3	8
16	и не	26	8
17	в эпоху	2	7
18	к нему	8	7
19	потому что	25	7
20	то что	10	7
21	но в	12	7
22	том что	7	7
23	в отношении	6	6
24	все же	2	6
25	к тому	6	6
26	о том	5	6
27	в себе	12	6
28	в конце	11	6
29	что и	6	6
30	все эти	3	6
31	все это	6	6
32	и потому	17	6
33	так и	5	6
34	никогда не	30	5
35	в мире	12	5
36	и для	7	5
37	не имеет	7	5
38	так же	5	5
39	и к	9	5
40	отношение к	9	5
41	того чтобы	4	5
42	лишь в	8	5
43	в его	10	5
44	для того	4	5
45	а не	36	5
46	сих пор	5	5
47	до сих	5	5
48	на этот	2	4
49	и от	3	4
50	что все	5	4
51	а в	4	4
52	в котором	9	4
53	в самом	15	4
54	в нем	26	4
55	не может	39	4
56	и тогда	2	4
57	в которых	5	4
58	бога и	13	4
59	и вместе	4	4
60	то есть	3	4
61	целый ряд	2	4
62	то же	4	4
63	должен был	4	4
64	и что	4	4
65	и по	4	4
66	в этих	6	4
67	только в	7	4
68	что он	16	4
69	он не	34	4
70	в этой	12	4
71	в то	2	4
72	учение о	3	4
73	к богу	5	3
74	что это	5	3
75	в своем	17	3
76	за друга	2	3
77	друг за	2	3
78	но с	2	3
79	если в	2	3
80	оказывается что	2	3
81	уже не	8	3
82	хотя бы	8	3
83	и нет	3	3
84	к этому	3	3
85	путь к	2	3
86	с ней	3	3
87	в которой	8	3
88	в значительной	2	3
89	и как	3	3
90	за собой	2	3
91	если бы	5	3
92	и те	4	3
93	конце концов	3	3
94	без бога	2	3
95	к концу	5	3
96	у них	4	3
97	когда он	3	3
98	с этой	4	3
99	так что	3	3
100	отношению к	4	3
101	того что	13	3
102	для него	28	3
103	культуры и	2	3
104	по своему	3	2
105	одно из	3	2
106	сказать что	5	2
107	которые в	2	2
108	богу и	2	2
109	для этого	3	2
110	по сравнению	3	2
111	и это	16	2
112	не могут	6	2
113	в россии	2	2
114	в самой	8	2
115	этот путь	3	2
116	относится к	2	2
117	добра и	8	2
118	душа его	2	2
119	он в	4	2
120	ко всему	2	2
121	и люди	2	2
122	из этой	2	2
123	в начале	2	2
124	с того	2	2
125	между тем	2	2
126	не потому	2	2
127	одним из	2	2
128	особенно в	3	2
129	в свою	5	2
130	когда человек	5	2
131	из себя	2	2
132	не как	4	2
133	ни у	2	2
134	конечно не	3	2
135	отличается от	2	2
136	приводит к	2	2
137	тогда когда	2	2
138	в образе	4	2
139	но если	4	2
140	те же	5	2
141	в них	5	2
142	и на	9	2
143	и здесь	6	2
144	уже в	6	2
145	мысль о	2	2
146	к другу	6	2
147	по своей	4	2
148	все что	5	2
149	жизни и	6	2
150	не было	25	2
151	человек должен	6	2
152	и мир	2	2
153	на пути	4	2
154	в путях	3	2
155	от человека	4	2
156	не в	16	2
157	у всех	4	2
158	на все	3	2
159	и все	13	2
160	но когда	3	2
161	один из	9	2
162	в виду	2	2
163	заключает в	3	2
164	сравнению с	2	2
165	и перед	3	2
166	связано с	5	2
167	всем и	2	2
168	не к	6	2
169	может ли	2	2
170	людей и	5	2
171	прежде всего	18	2
172	его не	5	2
173	связана с	9	2
174	с его	6	2
175	этими двумя	2	2
176	во всех	3	2
177	в разных	3	2
178	быть и	2	2
