N	2gram	Medvedev_U	Marksizm
1	может быть	6	64
2	и в	14	63
3	и не	8	55
4	не может	7	47
5	в этом	7	39
6	таким образом	2	38
7	не только	10	29
8	то же	5	28
9	но и	4	27
10	самом деле	2	25
11	прежде всего	8	24
12	как и	3	24
13	в самом	2	24
14	только в	2	23
15	в том	2	22
16	то что	7	22
17	а не	10	22
18	для него	3	20
19	том что	2	19
20	не в	2	19
21	в его	2	19
22	если бы	2	19
23	но в	3	18
24	и для	2	18
25	все же	3	17
26	в то	3	16
27	ни было	3	16
28	что он	2	15
29	же время	3	15
30	хотя бы	5	14
31	ничего не	2	13
32	мы не	2	13
33	было бы	3	13
34	в своей	3	13
35	то ни	3	13
36	бы то	3	12
37	между тем	2	12
38	сих пор	2	11
39	не столько	2	11
40	до сих	2	11
41	с его	2	10
42	с другой	4	10
43	конечно не	4	10
44	в себе	2	9
45	а как	2	9
46	это не	3	9
47	же самое	2	9
48	не как	3	8
49	и т.д	3	8
50	в их	4	8
51	смысле этого	2	8
52	что и	2	8
53	другой стороны	3	8
54	у нас	3	8
55	и с	2	8
56	сводится к	2	8
57	по себе	2	7
58	могут быть	2	7
59	в этой	4	7
60	и формы	3	7
61	как раз	2	7
62	не есть	2	6
63	является в	2	6
64	все это	5	6
65	должна быть	2	6
66	этом отношении	2	5
67	о чем	2	5
68	в конце	2	5
69	и у	2	5
70	формы и	2	5
71	но не	2	5
72	и является	2	5
73	формы в	3	5
74	что такое	4	5
75	не могут	2	4
76	в области	3	4
77	что все	2	4
78	бы и	2	4
79	и то	3	4
80	что она	2	4
81	одним из	2	4
82	тем что	2	4
83	не о	3	3
84	не все	2	3
85	конце концов	2	3
86	даже и	2	3
87	по нашему	3	3
88	но это	2	3
89	на первый	2	3
90	не приходится	2	3
91	его и	2	3
92	или точнее	3	3
93	форму и	2	3
94	и только	5	3
95	не следует	3	3
96	в системе	2	3
97	в широком	2	2
98	крайней мере	2	2
99	противном случае	2	2
100	в частности	3	2
101	же не	2	2
102	для всех	2	2
103	могли бы	2	2
104	всех этих	2	2
105	это было	2	2
106	перестает быть	5	2
107	превращается в	2	2
108	по крайней	2	2
109	этом смысле	2	2
110	а между	2	2
111	именно как	2	2
112	что мы	2	2
113	в противном	2	2
114	мы и	2	2
115	конечно нет	2	2
