N	3gram	Losev_Dial	RusskieA
1	в том что	12	49
2	и т д	28	21
3	тем не менее	3	14
4	о том что	6	10
5	но это не	2	8
6	т е в	3	7
7	не может быть	4	6
8	в связи с	3	5
9	к тому что	3	5
10	не что иное	4	4
11	во всяком случае	3	4
12	в то время	2	4
13	можно было бы	4	4
14	только тогда когда	4	4
15	что иное как	4	4
16	более или менее	5	3
17	на самом же	2	3
18	может быть и	6	3
19	с точки зрения	18	3
20	друг к другу	2	3
21	самом же деле	2	3
22	до сих пор	4	3
23	к выводу что	2	3
24	на то что	4	3
25	мы уже знаем	4	2
26	на самом деле	3	2
27	потому что он	5	2
28	в виду что	2	2
29	можно сказать что	6	2
30	в этом отношении	2	2
31	т д и	3	2
32	иметь в виду	4	2
33	это не значит	3	2
34	не только в	2	2
35	не значит что	6	2
36	ничего общего с	3	2
37	друг с другом	2	2
38	и в этом	4	2
39	с одной стороны	3	2
40	может быть только	2	2
41	и т п	3	2
42	с другой стороны	7	2
43	так как это	2	2
44	но все же	2	2
