N	3gram	Tiupa_Anal	Psycholo
1	в том что	13	78
2	для того чтобы	3	70
3	на то что	2	55
4	в самом деле	3	51
5	и т п	3	37
6	о том что	8	34
7	то же самое	3	31
8	с точки зрения	6	29
9	с одной стороны	6	28
10	не может быть	17	23
11	и в самом	3	22
12	к тому что	2	20
13	с другой стороны	2	20
14	в том чтобы	7	20
15	не только не	2	16
16	в этом отношении	5	14
17	и в этом	4	13
18	этой точки зрения	2	12
19	в конечном счете	5	11
20	подобно тому как	5	11
21	с этой точки	2	10
22	сами по себе	3	10
23	том что он	2	10
24	не в том	3	10
25	в том и	2	9
26	в данном случае	3	9
27	в отличие от	8	9
28	и то же	2	8
29	друг с другом	2	8
30	состоит в том	6	7
31	как и в	2	7
32	одно и то	2	7
33	в этом смысле	3	7
34	более или менее	2	6
35	тем не менее	3	6
36	не что иное	5	6
37	что иное как	6	6
38	того или иного	3	6
39	и тот же	2	6
40	не только в	3	6
41	в таком случае	5	5
42	к тому же	6	4
43	то есть в	2	4
44	из того что	3	4
45	и не может	4	4
46	одного и того	2	4
47	того и другого	2	4
48	в основе своей	2	4
49	в произведении искусства	3	4
50	и того же	2	4
51	бы то ни	3	3
52	а не только	2	3
53	как и на	2	3
54	в том или	3	3
55	есть в сущности	2	3
56	в этом случае	4	3
57	не могут быть	2	3
58	и те же	2	3
59	в то же	9	3
60	по отношению к	9	3
61	то же время	7	3
62	том или ином	4	3
63	одни и те	2	3
64	той или иной	8	2
65	в первом случае	2	2
66	тому или иному	2	2
67	именно в этом	2	2
68	имеем дело с	4	2
69	в ответ на	2	2
70	при взгляде на	2	2
71	в полной мере	3	2
72	дело не в	2	2
73	вместе с ним	2	2
74	в литературном произведении	2	2
75	то ни было	3	2
76	и все же	2	2
77	того что в	2	2
78	есть не что	4	2
79	но и в	3	2
80	в связи с	2	2
81	мере в какой	2	2
82	тех или иных	3	2
83	по крайней мере	4	2
84	дело с двумя	2	2
85	между тем как	2	2
86	и тем самым	2	2
87	в качестве своего	2	2
88	может быть признано	2	2
89	не остается ничего	2	2
90	мы имеем дело	7	2
