N	3gram	Tiupa_Anal	Tvorches
1	в то же	9	25
2	то же время	7	24
3	в том что	13	11
4	в соответствии с	2	8
5	о том что	8	8
6	но в то	2	6
7	в конечном счете	5	6
8	не может быть	17	6
9	и т п	3	5
10	по отношению к	9	5
11	в самом деле	3	5
12	по крайней мере	4	4
13	на наш взгляд	6	4
14	с точки зрения	6	4
15	в таком случае	5	3
16	и все же	2	3
17	как и в	2	3
18	дело не в	2	3
19	в этой связи	2	3
20	с другой стороны	2	3
21	и не может	4	3
22	сами по себе	3	3
23	в отличие от	8	3
24	не сводится к	2	2
25	тем не менее	3	2
26	не только в	3	2
27	для того чтобы	3	2
28	содержит в себе	3	2
29	но отнюдь не	2	2
30	в связи с	2	2
31	не могут быть	2	2
32	в известном смысле	2	2
33	в данном случае	3	2
34	в том числе	3	2
35	именно в этом	2	2
36	нет и не	2	2
37	о свободе воли	2	2
38	и в самом	3	2
39	к тому же	6	2
