N	3gram	Vygotskiy_	Komedia
1	в том что	30	29
2	до сих пор	9	16
3	о том что	15	13
4	в самом деле	8	13
5	для того чтобы	41	11
6	в то время	4	11
7	и т п	5	11
8	по отношению к	2	9
9	то время как	4	9
10	с одной стороны	15	9
11	вместе с тем	4	9
12	с другой стороны	8	8
13	и в самом	3	8
14	в конце концов	6	7
15	с самого начала	5	7
16	с точки зрения	5	6
17	до тех пор	2	6
18	в отличие от	3	6
19	что он не	3	5
20	то же самое	8	5
21	и т д	6	5
22	в этом отношении	3	5
23	том что он	4	5
24	за то что	3	5
25	к тому что	8	4
26	именно потому что	3	4
27	можно было бы	4	4
28	и тот же	2	4
29	не в состоянии	3	4
30	по сравнению с	4	4
31	друг от друга	2	3
32	таким образом в	2	3
33	то обстоятельство что	2	3
34	до самого конца	2	3
35	друг с другом	6	3
36	то что он	5	3
37	на то что	25	3
38	состоит в том	2	3
39	равно как и	2	3
40	по его мнению	4	2
41	потому что в	4	2
42	на первый план	2	2
43	в зависимости от	7	2
44	том что в	2	2
45	не только в	5	2
46	в трагедии и	2	2
47	и в том	2	2
48	в этом случае	2	2
49	так же как	3	2
50	и таким образом	3	2
51	в конечном счете	2	2
52	этой точки зрения	3	2
53	в этом смысле	3	2
54	с этой точки	3	2
55	одна из них	2	2
