N	2gram	Berdyaev_N	Hudozhes
1	в мире	3	24
2	и в	16	23
3	не только	5	20
4	в том	8	20
5	может быть	7	19
6	и не	11	16
7	но и	3	14
8	а в	2	13
9	в себе	2	13
10	но не	2	13
11	а не	17	13
12	такого рода	2	12
13	в этом	7	12
14	так и	2	12
15	но в	2	10
16	не в	6	9
17	том что	2	9
18	не может	16	9
19	с другой	3	9
20	в то	2	8
21	себя в	2	8
22	и т.п	2	7
23	лишь в	6	7
24	в своей	3	7
25	как это	2	7
26	что в	9	7
27	в основе	3	7
28	уже не	2	6
29	другой стороны	2	6
30	в нем	5	6
31	с ее	5	6
32	в ее	3	6
33	с его	6	6
34	ни в	6	5
35	могут быть	2	5
36	место в	2	5
37	того чтобы	2	5
38	то что	4	5
39	не менее	4	5
40	прежде всего	4	5
41	сказать что	3	4
42	это не	4	4
43	к тому	3	4
44	жизни как	2	4
45	не знает	6	4
46	еще не	3	4
47	и что	2	4
48	он не	8	4
49	хотя и	2	4
50	в жизни	5	3
51	и для	4	3
52	по своему	4	3
53	как и	7	3
54	культуры в	5	3
55	потому что	4	3
56	одной стороны	2	3
57	и к	5	3
58	во всех	3	3
59	к содержанию	2	3
60	и на	2	3
61	тому как	3	3
62	не будет	7	3
63	подобно тому	3	3
64	есть в	2	3
65	этом смысле	2	3
66	с одной	2	3
67	никогда не	6	2
68	о том	4	2
69	одна из	2	2
70	как в	3	2
71	не могли	2	2
72	и это	2	2
73	и потому	4	2
74	что такое	3	2
75	жизни в	3	2
76	все эти	2	2
77	времени в	2	2
78	человека и	3	2
79	мира и	2	2
80	времени и	2	2
81	что она	2	2
82	с их	2	2
83	должен быть	5	2
84	за пределы	3	2
85	но она	2	2
86	так же	2	2
87	я не	2	2
88	в них	4	2
89	к более	2	2
90	роль в	2	2
91	к жизни	3	2
92	это и	2	2
93	все это	5	2
94	xix века	5	2
95	более не	2	2
96	нового времени	12	2
97	ни к	2	2
98	который в	2	2
99	духовной жизни	2	2
100	том и	2	2
101	у него	2	2
