N	2gram	Bakhtin_Pr	SlovoVZh
1	не может	26	16
2	точки зрения	31	14
3	может быть	43	14
4	и его	21	13
5	как бы	33	13
6	и в	64	12
7	таким образом	15	12
8	в нашем	2	11
9	отношению к	12	11
10	по отношению	12	11
11	и не	55	10
12	так как	9	9
13	если бы	12	9
14	прежде всего	16	8
15	для нас	2	7
16	сказать что	4	7
17	художественного произведения	2	7
18	художественную форму	3	6
19	слова и	8	6
20	все время	3	6
21	при этом	8	6
22	в том	12	6
23	в нем	28	6
24	только в	13	6
25	в процессе	6	6
26	с помощью	2	6
27	в ней	2	6
28	никогда не	11	5
29	как в	7	5
30	в жизни	5	5
31	в виду	3	5
32	можно сказать	2	5
33	но в	14	5
34	том что	8	5
35	то же	18	5
36	как и	25	5
37	и следовательно	7	5
38	героя и	14	5
39	должна быть	8	5
40	хотя бы	4	5
41	а не	29	5
42	то что	21	5
43	и др	7	5
44	в самом	17	4
45	в этом	33	4
46	не только	26	4
47	в литературе	4	4
48	на самом	5	4
49	что не	3	4
50	как если	3	4
51	его в	8	4
52	и является	2	4
53	зависимости от	5	4
54	жизни и	3	4
55	не в	15	4
56	ни было	4	4
57	с другой	7	4
58	все же	11	4
59	дело в	2	4
60	к нему	11	4
61	за пределы	7	4
62	и к	5	4
63	так и	8	4
64	и на	16	4
65	уже не	15	4
66	от того	4	4
67	отношение к	4	4
68	как к	3	3
69	в них	5	3
70	в поэзии	2	3
71	по себе	16	3
72	о том	5	3
73	и для	7	3
74	слово в	10	3
75	оценки которые	2	3
76	и герой	3	3
77	да и	2	3
78	не должна	3	3
79	он должен	2	3
80	и уже	3	3
81	ни в	5	3
82	все эти	13	3
83	в котором	7	3
84	бы то	3	3
85	и наконец	7	3
86	то ни	3	3
87	так же	8	3
88	в своей	11	3
89	мы не	4	3
90	конечно не	4	3
91	точка зрения	13	3
92	в себе	11	3
93	еще не	10	3
94	здесь не	7	3
95	все это	9	3
96	только на	3	3
97	когда он	2	3
98	социальных оценок	2	3
99	и ее	5	3
100	между тем	7	3
101	и с	9	3
102	этой точки	2	3
103	но для	3	3
104	в творчестве	6	3
105	точек зрения	7	3
106	социальной группы	2	3
107	не менее	3	3
108	сих пор	9	3
109	с ним	8	3
110	до сих	9	3
111	отношении к	5	3
112	быть и	2	3
113	в пределах	24	3
114	произведения и	2	3
115	в художественном	6	3
116	находит свое	2	3
117	самом деле	10	3
118	и пр	5	3
119	того что	3	3
120	тем не	2	3
121	с героем	3	3
122	художественного творчества	5	3
123	ведь и	4	3
124	но и	26	3
125	для него	23	3
126	конечно в	2	2
127	тем как	5	2
128	в его	30	2
129	данном случае	2	2
130	до конца	10	2
131	и здесь	6	2
132	что в	11	2
133	социальной жизни	2	2
134	стороны и	4	2
135	в отношении	5	2
136	не есть	4	2
137	не довлеет	2	2
138	бы оно	2	2
139	для других	2	2
140	ничего не	8	2
141	словом и	3	2
142	с его	11	2
143	как не	9	2
144	идеологического творчества	2	2
145	что и	7	2
146	это не	12	2
147	более того	8	2
148	и все	6	2
149	кроме того	5	2
150	там где	12	2
151	слова но	4	2
152	с точки	21	2
153	она не	10	2
154	но все	6	2
155	тому же	2	2
156	к слову	2	2
157	в своем	12	2
158	бы не	2	2
159	и вполне	2	2
160	все они	2	2
161	в зависимости	5	2
162	в данном	2	2
163	его к	4	2
164	с другими	8	2
165	высказывания и	3	2
166	и что	5	2
167	в то	15	2
168	себя и	5	2
169	перестает быть	4	2
170	те же	3	2
171	уже в	5	2
172	по природе	2	2
173	с этой	2	2
174	в этих	5	2
175	в основном	2	2
176	но это	6	2
177	в условиях	2	2
178	в настоящее	3	2
179	на материале	5	2
180	он не	14	2
181	в какой	2	2
182	в формах	3	2
183	героев и	4	2
184	как же	6	2
185	такой же	4	2
186	точку зрения	7	2
187	как на	4	2
188	и потому	7	2
189	может стать	5	2
190	его как	5	2
191	свое своеобразие	2	2
192	оно не	3	2
193	но не	12	2
194	автора и	7	2
195	если же	7	2
196	в себя	6	2
197	была бы	5	2
198	ни на	3	2
199	могут быть	9	2
200	сливается с	6	2
201	они ни	2	2
202	не способен	2	2
203	совпадает с	2	2
204	между собой	2	2
205	в форме	8	2
206	настоящее время	3	2
207	и так	2	2
208	является для	3	2
209	выражение в	6	2
210	и самое	4	2
211	между ними	6	2
212	и слово	4	2
213	известной степени	2	2
214	другой стороны	6	2
215	самое слово	2	2
216	но зато	2	2
217	на него	6	2
