N	2gram	Bakhtin_sl	Problema
1	и в	69	182
2	то есть	46	165
3	и не	32	152
4	вовсе не	16	145
5	то что	2	144
6	не есть	2	113
7	не только	37	104
8	потому что	2	89
9	в этом	21	88
10	может быть	40	82
11	том что	6	81
12	в том	7	81
13	не просто	2	80
14	только в	9	73
15	сказать что	4	72
16	но и	37	70
17	в виде	4	69
18	у нас	2	68
19	также и	5	68
20	и даже	11	66
21	по себе	4	64
22	даже и	4	63
23	не менее	4	58
24	о том	5	57
25	так и	22	56
26	тем не	2	56
27	а не	29	56
28	но в	13	55
29	так что	2	52
30	ни в	4	51
31	для нас	7	50
32	и вообще	2	48
33	в себе	3	48
34	смысле слова	2	47
35	было бы	3	46
36	в своей	8	45
37	прежде всего	14	45
38	что в	3	44
39	в его	19	44
40	все эти	15	43
41	не в	14	43
42	таким образом	16	42
43	как раз	3	42
44	то же	17	42
45	а именно	2	42
46	если мы	2	42
47	так как	7	40
48	и то	2	40
49	что он	2	40
50	и что	2	40
51	не может	27	39
52	такого рода	2	39
53	и тем	3	39
54	во всяком	9	39
55	как бы	16	39
56	той или	13	38
57	в данном	5	38
58	хотя бы	6	37
59	того что	4	37
60	в нем	44	37
61	еще не	9	36
62	точки зрения	24	36
63	и все	9	36
64	и т	56	35
65	в виду	2	34
66	и с	10	34
67	как и	8	34
68	уже не	5	34
69	не является	3	33
70	или иной	13	33
71	в таком	5	33
72	т д	7	33
73	в то	17	32
74	здесь не	6	32
75	но не	7	32
76	в своем	9	31
77	связи с	4	31
78	все это	14	31
79	так же	2	31
80	но это	3	31
81	с другой	8	30
82	и для	7	30
83	как мы	15	29
84	художественный образ	3	29
85	перед нами	7	29
86	все же	10	29
87	в связи	2	29
88	можно сказать	2	29
89	данном случае	3	28
90	и о	3	28
91	мы не	4	28
92	а в	10	28
93	и как	3	27
94	ничего не	5	27
95	хотя и	4	27
96	в результате	4	26
97	вместе с	3	26
98	это не	8	26
99	да и	2	26
100	другой стороны	5	26
101	и его	45	26
102	с точки	11	25
103	и на	17	25
104	всяком случае	7	25
105	на самом	2	24
106	только и	3	23
107	на то	2	23
108	есть не	2	23
109	при этом	12	23
110	в качестве	4	23
111	по своему	2	23
112	никогда не	9	22
113	его в	7	22
114	и есть	2	22
115	только на	3	22
116	что и	2	22
117	и от	5	22
118	всех этих	8	22
119	и к	9	22
120	и ее	3	21
121	а также	5	21
122	сама по	2	21
123	в самом	6	21
124	говорить о	2	21
125	и только	2	21
126	и потому	9	20
127	как о	2	20
128	но как	2	20
129	для того	2	20
130	именно в	5	20
131	можно было	2	20
132	несмотря на	2	20
133	или в	10	20
134	в отношении	9	19
135	того или	2	19
136	то в	2	19
137	кроме того	6	19
138	он не	5	19
139	с ним	12	19
140	уже в	2	19
141	в них	11	19
142	как в	18	19
143	жизни и	5	19
144	того же	7	18
145	в ее	2	18
146	в этих	8	18
147	мы и	2	18
148	не было	4	18
149	символа в	2	18
150	в ней	7	18
151	ни о	2	17
152	мы уже	4	17
153	и здесь	5	17
154	но уже	2	17
155	в языке	7	17
156	без всякого	2	17
157	что они	2	17
158	совершенно не	2	17
159	во всех	25	17
160	к тому	3	16
161	но все	2	16
162	же в	2	16
163	в одно	2	16
164	далеко не	7	16
165	для этого	4	16
166	как это	3	16
167	случае не	2	16
168	в чем	2	15
169	здесь в	6	15
170	и более	3	15
171	в частности	3	15
172	у него	5	15
173	с этим	5	15
174	в той	13	15
175	и сам	4	15
176	нет никакой	2	14
177	что все	2	14
178	за пределы	6	14
179	людей и	2	14
180	сих пор	4	14
181	нас в	3	14
182	этом случае	4	14
183	в котором	2	14
184	с другими	8	14
185	только о	2	14
186	до сих	4	14
187	дело в	2	13
188	в других	4	13
189	или даже	5	13
190	те или	4	13
191	из этого	3	13
192	в их	6	13
193	бы и	6	13
194	тому что	2	13
195	или иного	2	13
196	же и	4	13
197	из них	3	13
198	нисколько не	3	12
199	но именно	5	12
200	в которой	4	12
201	в другом	4	12
202	с одной	7	12
203	в целом	3	12
204	для них	2	12
205	время как	2	12
206	в смысле	7	12
207	или иначе	2	12
208	то время	2	12
209	и следовательно	8	11
210	могли бы	2	11
211	и во	3	11
212	в истории	6	11
213	вообще не	4	11
214	только не	2	11
215	о которых	2	11
216	не могут	7	11
217	одной стороны	7	11
218	и у	2	11
219	жизни в	2	11
220	и их	6	11
221	к нему	7	11
222	от нас	2	10
223	один из	9	10
224	однако в	3	10
225	быть и	6	10
226	все время	4	10
227	отличается от	3	10
228	быть только	3	10
229	слова и	21	10
230	в одном	4	10
231	или менее	5	10
232	он в	6	10
233	что оно	4	10
234	и которые	2	10
235	со всеми	3	10
236	на том	2	10
237	более или	5	10
238	но он	4	10
239	или как	4	9
240	тогда когда	2	9
241	в условиях	3	9
242	здесь как	3	9
243	а его	2	9
244	которые в	4	9
245	она не	8	9
246	языка и	18	9
247	был бы	2	9
248	и до	2	9
249	и наконец	9	9
250	мы говорили	2	9
251	на себе	2	9
252	не был	2	9
253	но эта	2	9
254	именно как	3	9
255	того как	2	9
256	это было	2	9
257	с ней	2	9
258	поэтому и	7	9
259	и другие	3	9
260	как он	2	8
261	между собой	3	8
262	от этого	2	8
263	на его	9	8
264	и по	3	8
265	для него	8	8
266	не все	2	8
267	и нет	3	8
268	значение в	2	8
269	с этой	3	8
270	входит в	8	8
271	и особенно	2	8
272	для всех	2	8
273	в сознании	3	8
274	только с	3	8
275	из этих	3	8
276	и самый	2	8
277	почти всегда	3	8
278	с ее	6	8
279	и при	2	8
280	ни было	2	8
281	и образ	2	8
282	не значит	2	8
283	во всем	3	8
284	конечно не	7	8
285	как только	4	8
286	друг друга	3	7
287	а с	2	7
288	может иметь	3	7
289	одной из	4	7
290	в основе	8	7
291	однако и	2	7
292	его как	3	7
293	в значительной	6	7
294	все они	9	7
295	еще более	7	7
296	в какой	2	7
297	оно не	12	7
298	даже в	4	7
299	не на	6	7
300	из себя	3	7
301	его от	2	7
302	мира и	4	7
303	же как	2	7
304	или иные	4	7
305	по преимуществу	5	7
306	мы все	2	7
307	без всяких	2	6
308	не как	4	6
309	в известном	2	6
310	в зависимости	4	6
311	в новое	4	6
312	по своей	2	6
313	этого слова	2	6
314	предмета и	2	6
315	входить в	3	6
316	и чисто	5	6
317	именно на	3	6
318	не знает	3	6
319	до конца	25	6
320	не столь	2	6
321	только как	2	6
322	по существу	3	6
323	стороны и	3	6
324	могут быть	25	6
325	и может	4	6
326	от всякой	3	6
327	бы быть	2	6
328	с его	8	6
329	но она	2	6
330	с которыми	2	6
331	мышления и	6	6
332	и той	2	6
333	одновременно и	5	6
334	как оно	3	6
335	дело не	2	6
336	особенно в	3	6
337	к ней	2	6
338	перестает быть	2	6
339	в него	9	6
340	зависимости от	4	6
341	этом отношении	2	6
342	от всякого	2	6
343	к своему	11	6
344	жизнь в	2	6
345	отношения к	3	6
346	но оно	5	6
347	и речи	4	6
348	в слове	11	6
349	слова но	2	5
350	в нее	3	5
351	его на	2	5
352	если оно	2	5
353	человека и	3	5
354	одна из	6	5
355	отношение к	8	5
356	бы его	2	5
357	а вовсе	4	5
358	но по	2	5
359	художественном образе	2	5
360	нами в	3	5
361	не требует	3	5
362	ли он	4	5
363	одно и	3	5
364	о себе	2	5
365	как такового	3	5
366	лишь в	6	5
367	в известной	3	5
368	или на	2	5
369	от его	4	5
370	из самых	2	5
371	есть как	3	5
372	не знаем	3	5
373	в предмете	8	5
374	которого он	3	5
375	оно и	4	5
376	в собственном	2	5
377	между тем	5	5
378	и вся	2	5
379	для всего	2	5
380	его не	4	5
381	мы видели	3	5
382	о нем	6	5
383	которые как	2	5
384	там где	10	5
385	к этому	3	5
386	не должны	3	5
387	с этими	3	5
388	должно быть	3	5
389	себя в	14	5
390	быть очень	2	5
391	в свете	3	5
