N	2gram	Berdyaev_O	Psycholo
1	то что	5	193
2	и в	19	190
3	в том	5	163
4	что в	4	123
5	потому что	9	114
6	том что	2	113
7	может быть	11	107
8	в этом	12	100
9	в самом	5	82
10	как бы	3	80
11	для того	3	78
12	того чтобы	4	78
13	что он	3	76
14	не только	11	75
15	и не	13	73
16	не может	4	68
17	так как	2	63
18	было бы	3	56
19	о том	3	54
20	как и	6	51
21	что и	2	50
22	а не	11	50
23	сказать что	2	46
24	по себе	2	46
25	не в	11	45
26	в этой	5	43
27	никогда не	9	42
28	и все	10	42
29	но и	13	40
30	того что	3	39
31	с тем	2	35
32	и его	4	34
33	что все	2	33
34	когда он	3	33
35	все же	2	33
36	все это	6	32
37	в себе	3	32
38	в его	7	31
39	он не	7	31
40	и для	2	29
41	в нем	10	29
42	что они	2	28
43	и то	2	28
44	в своих	3	27
45	а в	5	27
46	и на	2	27
47	так что	2	26
48	до конца	7	24
49	тем что	2	24
50	в своем	2	23
51	могут быть	3	23
52	что у	2	22
53	в своей	2	21
54	и вот	3	21
55	все эти	4	20
56	это не	3	20
57	в ее	2	19
58	у него	22	19
59	но в	2	18
60	в которой	2	18
61	и есть	3	18
62	что для	2	17
63	и о	2	17
64	так и	2	16
65	не имеет	2	16
66	и к	2	16
67	к этому	2	16
68	и потому	2	15
69	еще не	3	15
70	не могут	3	15
71	для него	5	15
72	хотя бы	3	14
73	с ним	3	14
74	прежде всего	9	14
75	но он	7	14
76	должен был	2	13
77	не могли	2	13
78	и он	8	13
79	в этих	3	12
80	в самой	9	12
81	ничего не	2	12
82	и очень	2	12
83	что не	4	12
84	и с	2	12
85	как к	2	11
86	и из	2	11
87	его в	2	11
88	с его	4	11
89	уже в	2	11
90	не было	9	11
91	от него	7	10
92	в другом	2	10
93	это было	3	10
94	совсем не	2	10
95	должно быть	2	10
96	ее в	2	10
97	и от	3	10
98	вопрос о	10	9
99	и ее	3	9
100	мысль о	2	9
101	не есть	2	9
102	что же	2	8
103	он в	2	8
104	к нему	3	8
105	различие между	3	7
106	одно из	2	7
107	все что	3	7
108	и там	2	7
109	мысли и	3	7
110	к этой	2	7
111	отношение к	5	6
112	самого конца	2	6
113	не все	2	6
114	те которые	2	6
115	и ни	2	6
116	в русской	3	6
117	о его	5	6
118	он был	8	6
119	к ней	2	6
120	никто не	3	6
121	что есть	2	6
122	только одно	3	6
123	до самого	5	6
124	человека и	10	5
125	в душе	2	5
126	в других	2	5
127	чем в	2	5
128	вместо того	2	5
129	его не	2	5
130	можно ли	2	5
131	хотя и	2	5
132	человека в	11	5
133	в творчестве	5	5
134	в уста	2	4
135	в истории	2	4
136	которую он	2	4
137	все еще	2	4
138	из всего	2	4
139	и никогда	2	4
140	подойти к	2	4
141	с которой	2	4
142	т е	4	4
143	человек и	4	4
144	природы и	2	4
145	с чем	2	3
146	человеке и	5	3
147	потребность в	2	3
148	и нет	2	3
149	нем нет	3	3
150	в дневнике	2	3
151	личности и	2	3
152	о которой	2	3
153	все в	4	3
154	ко всем	2	3
155	нет ничего	7	3
156	быть может	3	3
157	он сам	4	3
158	что человек	3	3
159	в этот	2	3
160	на земле	4	3
161	него в	5	3
162	от самого	2	3
163	сложнее и	2	3
164	много раз	2	3
165	и мысли	4	2
166	о человеке	29	2
167	для человека	2	2
168	жизни в	2	2
169	никогда и	2	2
170	до самой	3	2
171	он весь	2	2
172	своей жизни	2	2
173	всего в	2	2
174	чем на	3	2
175	этом он	2	2
176	на периферии	2	2
177	есть лишь	4	2
178	человеческой природы	20	2
179	не занят	2	2
180	для всякого	2	2
181	ни у	2	2
182	ведь это	2	2
183	любовь к	2	2
184	даже и	2	2
185	всегда есть	4	2
186	человеку и	5	2
187	в россии	5	2
188	природы но	3	2
189	искать не	2	2
190	ума и	2	2
191	при чтении	2	2
192	как художник	3	2
193	ничего кроме	2	2
194	но никогда	2	2
195	ничто не	2	2
196	в легенде	4	2
197	него не	2	2
198	их не	2	2
199	человек не	7	2
200	учение о	2	2
