N	2gram	Nazirov_Tv	VLabPisa
1	таким образом	14	32
2	в этом	11	29
3	не только	16	26
4	и в	40	26
5	и т	14	25
6	творческого процесса	4	23
7	может быть	11	23
8	хотя бы	5	20
9	и не	12	20
10	в процессе	3	17
11	не может	9	17
12	творческий процесс	2	17
13	т д	10	16
14	в том	13	15
15	в его	19	15
16	прежде всего	10	13
17	все это	14	13
18	в частности	4	12
19	как это	2	12
20	в качестве	2	12
21	представляет собою	2	11
22	что в	17	11
23	с другой	4	11
24	из них	4	11
25	то же	19	10
26	не могут	2	10
27	но и	10	10
28	и др	2	10
29	о том	9	10
30	к этому	4	9
31	об этом	4	9
32	т п	4	9
33	для него	9	9
34	в своем	4	8
35	том что	14	8
36	по словам	2	8
37	могут быть	4	8
38	другой стороны	2	8
39	все эти	3	8
40	было бы	2	8
41	только в	7	8
42	вместе с	4	8
43	это не	9	7
44	во всех	2	7
45	по отношению	3	7
46	в году	22	7
47	в основном	9	7
48	то что	9	7
49	действительности и	3	7
50	отношению к	3	7
51	тому что	2	7
52	как и	16	7
53	в нем	4	7
54	в конечном	4	7
55	не было	3	7
56	говорит о	3	7
57	а не	9	7
58	не в	3	6
59	в то	23	6
60	в себе	3	6
61	он же	2	6
62	это и	4	6
63	творческом процессе	4	6
64	все же	9	6
65	том же	3	6
66	у него	11	6
67	идеи и	2	6
68	в искусстве	3	6
69	так и	5	6
70	приводит к	4	6
71	один из	5	6
72	и его	14	6
73	между тем	2	6
74	никогда не	13	5
75	даже в	4	5
76	сказать что	3	5
77	в плане	4	5
78	в одном	3	5
79	конечном счете	4	5
80	перед нами	3	5
81	в их	5	5
82	не является	3	5
83	одним из	6	5
84	к тому	2	5
85	он говорит	3	5
86	как бы	26	5
87	в целом	7	5
88	связи с	2	5
89	вот почему	3	5
90	же время	18	5
91	и есть	2	5
92	одна из	5	4
93	в нашей	2	4
94	в творческой	4	4
95	одном из	2	4
96	только что	2	4
97	роль в	2	4
98	в виду	3	4
99	в статье	2	4
100	в философии	2	4
101	ее в	3	4
102	что он	11	4
103	в романе	24	4
104	что все	4	4
105	что для	3	4
106	когда он	4	4
107	отнюдь не	9	4
108	в самом	6	4
109	как раз	2	4
110	в ее	3	4
111	с ними	3	4
112	познания и	2	4
113	в своей	8	4
114	в связи	2	4
115	во время	2	4
116	можно сказать	2	4
117	в этой	7	4
118	рассказывает о	3	4
119	с его	12	4
120	и от	8	3
121	некоторые из	2	3
122	например в	3	3
123	при помощи	4	3
124	с этим	2	3
125	этой проблемы	2	3
126	так же	6	3
127	и он	4	3
128	идей и	2	3
129	вслед за	2	3
130	в конце	5	3
131	его в	2	3
132	и как	5	3
133	если бы	4	3
134	него в	2	3
135	и их	2	3
136	у нас	2	3
137	января года	4	3
138	шел в	2	3
139	говорил что	2	3
140	в дневнике	3	3
141	мы знаем	2	3
142	того что	3	3
143	далеко не	3	3
144	этот вопрос	4	3
145	что у	5	3
146	она не	2	3
147	а в	10	3
148	в котором	8	3
149	в творческом	4	3
150	в творчестве	10	3
151	именно в	6	3
152	в которых	3	3
153	что оно	2	3
154	со своим	2	3
155	человека и	6	3
156	что не	5	3
157	действительной жизни	4	3
158	жизни и	3	3
159	что и	3	3
160	сводится к	2	3
161	у тургенева	2	3
162	и мир	3	3
163	и по	5	3
164	или в	2	3
165	что они	3	3
166	же и	2	3
167	в комнату	3	3
168	вовсе не	5	3
169	в целях	2	2
170	в книге	3	2
171	если в	3	2
172	я бы	3	2
173	в стихах	2	2
174	на эти	2	2
175	показывает что	5	2
176	и потому	4	2
177	братьев карамазовых	4	2
178	слова не	2	2
179	то это	2	2
180	так сказать	4	2
181	крайней мере	4	2
182	вплоть до	2	2
183	дня и	2	2
184	в каждом	4	2
185	что она	5	2
186	от апреля	2	2
187	и через	4	2
188	начиная с	2	2
189	процесса в	4	2
190	и даже	8	2
191	и у	3	2
192	ли не	3	2
193	мысль о	3	2
194	связана с	2	2
195	а как	2	2
196	нет ни	3	2
197	апреля года	4	2
198	его произведений	2	2
199	братьях карамазовых	7	2
200	только для	2	2
201	и наконец	3	2
202	достоевского и	5	2
203	еще не	5	2
204	как у	3	2
205	в которой	5	2
206	не по	3	2
207	по крайней	4	2
208	июля года	2	2
209	в известной	4	2
210	у пушкина	5	2
211	в чем	4	2
212	марта года	4	2
213	с одной	2	2
214	как известно	3	2
215	одной из	7	2
216	так например	3	2
217	что его	4	2
218	в жизни	3	2
219	но не	7	2
220	не менее	8	2
221	на него	2	2
222	только с	3	2
223	но в	11	2
224	года и	4	2
225	ли это	2	2
226	мы наблюдаем	2	2
227	зависит от	4	2
228	в своих	8	2
229	в ней	2	2
230	в сфере	2	2
231	говорит об	2	2
232	из себя	2	2
233	идей в	7	2
234	идеи в	2	2
235	в образе	4	2
236	значит что	3	2
237	не столько	4	2
238	по себе	2	2
239	в образах	2	2
240	и достоевский	5	2
241	всяком случае	2	2
242	для них	2	2
243	может не	2	2
244	человека в	9	2
245	а затем	5	2
246	же как	3	2
247	он сам	8	2
248	а г	3	2
249	было в	2	2
250	он не	10	2
251	и сам	5	2
252	во всей	2	2
253	ту же	4	2
254	в пользу	2	2
255	который в	4	2
256	своих героев	5	2
257	хотя и	5	2
258	во всяком	2	2
