N	2gram	Berdyaev_N	RusskieA
1	и в	16	79
2	в том	8	64
3	том что	2	59
4	что в	9	57
5	не только	5	41
6	в этом	7	33
7	но и	3	31
8	как и	7	28
9	может быть	7	28
10	и на	2	28
11	одна из	2	24
12	о том	4	23
13	это не	4	20
14	а в	2	20
15	все это	5	18
16	с тем	3	17
17	потому что	4	17
18	то что	4	17
19	вместе с	2	17
20	мы не	2	16
21	не менее	4	14
22	в них	4	14
23	как это	2	14
24	и не	11	14
25	и с	2	14
26	и что	2	14
27	не может	16	13
28	еще не	3	13
29	как в	3	13
30	уже не	2	13
31	но это	6	11
32	не имеет	4	11
33	так и	2	10
34	по существу	2	10
35	том чтобы	2	10
36	но в	2	9
37	к жизни	3	9
38	и все	4	9
39	но не	2	9
40	в русском	2	9
41	так же	2	8
42	в россии	3	8
43	того чтобы	2	8
44	во всех	3	8
45	подобно тому	3	8
46	тому как	3	8
47	не в	6	7
48	для этого	2	7
49	как будто	2	7
50	а не	17	7
51	должно было	2	6
52	она не	3	6
53	к тому	3	6
54	в нем	5	6
55	же как	2	6
56	все эти	2	6
57	связаны с	2	6
58	но она	2	6
59	что она	2	6
60	и пр	3	6
61	вопрос о	3	5
62	и потому	4	5
63	прежде всего	4	5
64	к ним	3	5
65	с этим	2	5
66	в то	2	5
67	не было	4	5
68	можно было	2	5
69	и для	4	5
70	с другой	3	5
71	и к	5	5
72	могут быть	2	4
73	в основе	3	4
74	и от	2	4
75	по своему	4	4
76	такой же	2	4
77	в ней	5	4
78	никогда не	6	3
79	не во	4	3
80	это и	2	3
81	что все	2	3
82	и это	2	3
83	совсем не	12	3
84	в ее	3	3
85	в своей	3	3
86	в природе	2	3
87	нет и	2	3
88	место в	2	3
89	хотя и	2	3
90	жизни в	3	3
91	с одной	2	3
92	есть в	2	3
93	думать что	2	3
94	не к	2	3
95	можно назвать	2	3
96	не имеют	2	2
97	в себе	2	2
98	в духе	3	2
99	должен быть	5	2
100	в новой	7	2
101	ни одна	2	2
102	одной стороны	2	2
103	для чего	2	2
104	вот почему	2	2
105	который в	2	2
106	с его	6	2
107	в одну	2	2
108	сказать что	3	2
109	он не	8	2
110	когда мы	2	2
111	другой стороны	2	2
112	значит что	4	2
113	должно быть	4	2
114	в новое	3	2
115	в прошлом	3	2
116	еще до	2	2
117	и даже	2	2
118	как не	8	2
119	не будут	2	2
120	не означает	3	2
121	и начинается	2	2
122	в жизни	5	2
123	что такое	3	2
124	к новому	7	2
125	не значит	3	2
126	и начало	3	2
127	равно как	2	2
128	церкви не	2	2
129	у него	2	2
