N	2gram	Losev_Vesc	Komedia
1	и в	44	77
2	и не	57	47
3	в том	15	44
4	том что	13	42
5	т е	79	33
6	о том	11	33
7	но и	19	32
8	может быть	37	30
9	таким образом	16	29
10	из них	7	29
11	в то	11	28
12	и его	4	28
13	в этом	17	27
14	потому что	25	27
15	что он	7	26
16	к тому	3	26
17	не только	48	25
18	вместе с	4	25
19	так как	17	24
20	как и	15	23
21	ни в	11	23
22	что в	11	23
23	что и	11	22
24	если бы	8	22
25	в самом	13	22
26	в конце	3	21
27	так и	4	21
28	а в	6	21
29	то же	12	21
30	ясно что	10	21
31	в его	5	20
32	со стороны	9	19
33	к этому	2	19
34	в этой	4	18
35	и т	37	17
36	тем что	7	17
37	еще не	12	17
38	и здесь	5	17
39	в нем	6	17
40	же время	4	17
41	все же	18	16
42	у него	3	16
43	не менее	11	16
44	тот же	4	16
45	и сам	3	16
46	он не	4	16
47	его в	8	15
48	в своем	9	15
49	не в	14	15
50	точки зрения	10	15
51	прежде всего	17	15
52	один из	5	15
53	на себя	5	15
54	было бы	24	15
55	в которой	5	15
56	и на	2	15
57	к нему	3	14
58	все это	7	14
59	об этом	5	14
60	в свою	5	14
61	и с	11	14
62	о чем	2	13
63	то что	47	13
64	так что	9	13
65	самом деле	7	13
66	но в	8	13
67	того же	5	13
68	того чтобы	4	13
69	что она	23	13
70	мы можем	4	13
71	только что	2	13
72	в одном	6	13
73	как раз	16	13
74	так же	4	12
75	с другой	8	12
76	для того	3	12
77	как это	4	12
78	уже в	2	12
79	несмотря на	6	12
80	в качестве	4	12
81	в истории	3	12
82	хотя и	5	12
83	не может	44	12
84	как в	3	12
85	но не	9	12
86	в котором	4	12
87	из которых	3	12
88	наряду с	2	11
89	в их	4	11
90	в частности	3	11
91	с тем	8	11
92	одного из	2	11
93	как мы	6	11
94	то время	4	11
95	к ней	4	11
96	и даже	12	11
97	по имени	7	11
98	и для	13	11
99	с ним	8	11
100	в отношении	7	10
101	в целом	3	10
102	к себе	4	10
103	отношение к	4	10
104	ничего не	12	10
105	и все	6	10
106	в чем	10	10
107	мы не	8	10
108	свою очередь	5	10
109	с его	2	10
110	тут же	4	10
111	с этим	4	10
112	тем более	3	10
113	на него	3	10
114	с одной	3	10
115	как бы	19	10
116	и что	22	10
117	тому что	2	9
118	одной стороны	3	9
119	однако в	3	9
120	даже не	8	9
121	из его	2	9
122	в своей	6	9
123	независимо от	5	9
124	и еще	4	9
125	время как	4	9
126	но все	3	9
127	все что	3	9
128	вовсе не	11	9
129	говорить о	9	9
130	только в	23	9
131	в ней	14	9
132	и ее	19	8
133	как он	2	8
134	то ни	13	8
135	в в	2	8
136	то это	5	8
137	а затем	2	8
138	да и	5	8
139	другой стороны	3	8
140	можно было	6	8
141	бы в	9	8
142	с этой	6	8
143	при всем	2	8
144	что у	5	8
145	что для	5	8
146	если не	3	8
147	не было	4	8
148	во всех	5	8
149	вопрос о	6	7
150	в себе	23	7
151	в другом	3	7
152	и у	4	7
153	со своим	8	7
154	себе в	5	7
155	и о	4	7
156	так или	5	7
157	но если	12	7
158	и это	17	7
159	и во	3	7
160	что они	12	7
161	во всяком	4	7
162	бы то	12	7
163	хотя бы	9	7
164	в результате	9	7
165	и вот	4	7
166	не является	3	7
167	ни было	12	7
168	не имеет	2	7
169	равно как	4	7
170	или иначе	5	7
171	к его	2	7
172	отнюдь не	8	7
173	конце концов	2	7
174	для нас	2	7
175	всяком случае	2	7
176	когда же	2	6
177	в силу	4	6
178	в виду	2	6
179	и тем	7	6
180	на вопрос	2	6
181	его от	2	6
182	и новой	2	6
183	больше того	6	6
184	о которых	2	6
185	на ее	3	6
186	что не	11	6
187	в сущности	7	6
188	нет и	4	6
189	на это	5	6
190	это было	2	6
191	тем не	11	6
192	и как	12	6
193	как будто	2	6
194	на то	9	6
195	в своих	3	6
196	еще более	4	6
197	с собой	2	6
198	когда он	2	6
199	на этом	4	6
200	главным образом	3	6
201	с точки	6	6
202	в и	4	6
203	или в	3	6
204	а не	34	6
205	не мог	3	6
206	никогда не	5	5
207	и если	5	5
208	ему не	3	5
209	этом отношении	2	5
210	это не	9	5
211	из того	3	5
212	его на	4	5
213	том как	4	5
214	что из	3	5
215	и мы	5	5
216	по существу	3	5
217	не так	2	5
218	и без	4	5
219	мы имеем	8	5
220	что на	2	5
221	между собой	2	5
222	же не	4	5
223	в ее	8	5
224	в первом	2	5
225	только один	3	5
226	в действительности	7	5
227	признать что	2	5
228	сказать что	21	5
229	и от	4	5
230	для этого	5	5
231	что это	18	5
232	себя в	11	5
233	в первой	2	5
234	т д	36	5
235	от того	7	5
236	раз в	2	5
237	именно в	2	5
238	что я	26	5
239	приводит к	2	5
240	он и	2	5
241	в это	2	5
242	жизни и	6	5
243	от нее	2	5
244	конечно не	2	5
245	у меня	3	5
246	той же	2	5
247	тем же	2	5
248	но он	2	5
249	не о	2	4
250	чтобы не	2	4
251	что ему	3	4
252	к этим	2	4
253	нуждается в	2	4
254	не столько	2	4
255	для ее	2	4
256	по своей	3	4
257	ничем не	4	4
258	или менее	4	4
259	по сравнению	8	4
260	в более	2	4
261	от ее	6	4
262	между ними	6	4
263	сравнению с	7	4
264	что же	17	4
265	же как	3	4
266	не на	2	4
267	е в	7	4
268	из самых	3	4
269	в основе	4	4
270	в состоянии	2	4
271	одна из	6	4
272	из этого	3	4
273	одно из	2	4
274	то и	7	4
275	нет ничего	2	4
276	я не	7	4
277	стороны и	2	4
278	и их	11	4
279	у нас	9	4
280	и другие	2	4
281	под именем	2	4
282	нас в	3	4
283	именно потому	2	4
284	том чтобы	2	4
285	не случайно	2	4
286	далеко не	2	4
287	каждой из	2	4
288	их в	6	4
289	в последние	2	4
290	из себя	6	4
291	выражение в	3	4
292	что мы	17	4
293	мог бы	7	4
294	ближе к	2	4
295	в той	6	4
296	что эта	2	4
297	все равно	6	4
298	в себя	13	4
299	чем же	5	4
300	если мы	12	3
301	и потому	8	3
302	указывает на	8	3
303	нисколько не	7	3
304	и притом	4	3
305	не был	2	3
306	как к	5	3
307	для себя	6	3
308	и таким	2	3
309	должен быть	5	3
310	если они	2	3
311	что именно	4	3
312	на все	2	3
313	казалось бы	3	3
314	сам себя	4	3
315	только на	3	3
316	теперь же	2	3
317	в руки	2	3
318	а с	3	3
319	на две	2	3
320	бы на	3	3
321	от этого	3	3
322	она не	9	3
323	ли в	3	3
324	он говорит	2	3
325	или по	2	3
326	с другом	2	3
327	его и	4	3
328	на себе	5	3
329	в виде	3	3
330	с ними	4	3
331	и когда	5	3
332	о ней	5	3
333	было в	3	3
334	все еще	3	3
335	только как	2	3
