N	2gram	Tiupa_Teor	Literetu
1	уединенного сознания	4	70
2	а не	14	50
3	и не	17	47
4	не только	24	46
5	и в	24	44
6	может быть	22	43
7	при этом	20	41
8	но и	14	41
9	тогда как	18	40
10	в том	20	39
11	в этом	12	38
12	своего рода	11	37
13	том что	11	32
14	хх века	4	32
15	в частности	23	30
16	такого рода	13	30
17	то что	6	29
18	в мире	26	28
19	в качестве	33	27
20	в году	2	26
21	состоит в	22	26
22	то же	12	26
23	как и	6	23
24	в то	9	23
25	в стихотворении	4	23
26	не в	9	22
27	так и	14	22
28	того что	5	22
29	себя в	7	22
30	не может	8	22
31	я и	2	21
32	же время	8	21
33	в себе	14	20
34	и т.п	7	20
35	эстетического субъекта	2	19
36	прежде всего	3	19
37	лирический герой	3	19
38	я в	18	19
39	как бы	8	18
40	художественной культуры	9	18
41	то есть	22	17
42	точки зрения	11	17
43	в его	12	17
44	с другой	9	17
45	сознания в	2	16
46	в этой	3	16
47	в жизни	3	16
48	тем самым	6	15
49	со стороны	6	15
50	не менее	6	15
51	произведение искусства	12	15
52	в целом	4	15
53	я не	2	15
54	в русской	6	15
55	только в	9	15
56	по отношению	10	14
57	что он	4	14
58	однако в	7	14
59	в рамках	13	14
60	и даже	2	14
61	коммуникативного события	10	14
62	в своем	7	13
63	как это	10	13
64	в тексте	19	13
65	эстетического объекта	3	13
66	с одной	3	13
67	но не	13	13
68	уже не	6	13
69	и его	11	13
70	всего лишь	8	12
71	художественного мышления	3	12
72	парадигмы художественности	7	12
73	в данном	9	12
74	в своей	8	12
75	а также	7	12
76	художественного письма	7	12
77	еще не	6	12
78	одним из	3	12
79	отношению к	10	12
80	о том	2	12
81	одной стороны	3	12
82	никогда не	4	11
83	данном случае	5	11
84	это не	4	11
85	в другом	4	11
86	лирического героя	4	11
87	причастности к	3	11
88	коммуникативное событие	2	11
89	отличие от	7	11
90	с его	6	11
91	и сам	4	11
92	не столько	7	11
93	как в	5	11
94	в отличие	7	11
95	а в	15	11
96	или иначе	6	11
97	в конечном	6	11
98	столь же	3	11
99	в основе	6	11
100	вместе с	2	11
101	даже в	3	10
102	русской поэзии	2	10
103	для себя	3	10
104	в принципе	7	10
105	в области	7	10
106	что в	10	10
107	так или	5	10
108	отнюдь не	3	10
109	в ее	6	10
110	по мысли	3	10
111	своего другого	2	10
112	конечном счете	6	10
113	жизни в	2	10
114	и на	2	10
115	потому что	3	10
116	не случайно	5	10
117	мыслится как	5	9
118	к тому	4	9
119	один из	2	9
120	в поэзии	2	9
121	связи с	3	9
122	лишь в	10	9
123	эстетической деятельности	2	9
124	с этой	3	9
125	на смену	7	9
126	искусства и	3	9
127	художественной деятельности	17	9
128	и т.д	4	9
129	представляет собой	13	9
130	в конце	2	8
131	в искусстве	9	8
132	xix века	2	8
133	но в	12	8
134	того же	4	8
135	на себя	2	8
136	для него	5	8
137	особого рода	7	8
138	и как	3	8
139	субъекта и	4	8
140	мира в	3	8
141	а именно	3	8
142	соответствии с	2	8
143	присутствия в	8	8
144	с точки	3	8
145	о себе	2	8
146	как раз	3	8
147	художественного творчества	5	8
148	парадигма художественности	3	7
149	для всех	2	7
150	в их	4	7
151	по своей	8	7
152	и тем	5	7
153	на свою	2	7
154	так в	4	7
155	в художественном	5	7
156	русской литературе	2	7
157	другой стороны	6	7
158	в противоположность	3	7
159	и для	3	7
160	по преимуществу	5	7
161	и адресата	3	7
162	как правило	5	7
163	у нас	2	7
164	ведет к	2	7
165	говоря словами	4	7
166	именно в	3	7
167	в самом	7	7
168	в одном	3	7
169	он и	2	7
170	личности в	4	7
171	тому как	3	7
172	в случае	2	7
173	в нем	7	7
174	он не	5	7
175	на фоне	2	7
176	с читателем	3	6
177	еще и	2	6
178	его в	4	6
179	при всей	2	6
180	рефлективного традиционализма	3	6
181	лирическое я	2	6
182	в виду	5	6
183	казалось бы	2	6
184	самом деле	2	6
185	самим собой	4	6
186	эстетический объект	4	6
187	по характеристике	2	6
188	культуры в	3	6
189	и др	3	6
190	а затем	2	6
191	при всем	2	6
192	например в	3	6
193	и то	3	6
194	право на	2	6
195	то в	2	6
196	во всех	3	6
197	с ее	4	6
198	в культуре	3	6
199	далеко не	4	6
200	подобно тому	3	6
201	произведения искусства	4	6
202	перед лицом	2	6
203	том числе	3	6
204	у него	2	6
205	как будто	2	6
206	в слове	4	6
207	тем же	2	6
208	в соответствии	3	5
209	в художественной	3	5
210	или иной	7	5
211	природы искусства	3	5
212	идет о	2	5
213	вслед за	3	5
214	в литературе	4	5
215	от себя	3	5
216	в романе	3	5
217	не знает	4	5
218	субъекта жизни	2	5
219	во втором	3	5
220	между тем	5	5
221	несмотря на	2	5
222	этой точки	2	5
223	что и	2	5
224	себя и	2	5
225	в связи	3	5
226	обращается к	2	5
227	я как	2	5
228	место в	7	5
229	литературного произведения	11	5
230	читателя в	4	5
231	в равной	3	5
232	следует признать	2	5
233	тем не	3	5
234	и одновременно	5	5
235	эстетическое переживание	2	5
236	этого текста	2	5
237	ни было	2	5
238	в силу	4	5
239	не с	3	5
240	автора и	2	5
241	в себя	5	5
242	в нашем	4	5
243	читателя зрителя	3	5
244	и к	3	5
245	жизни как	5	5
246	об искусстве	2	5
247	деятельности в	5	5
248	к жизни	2	5
249	входит в	4	4
250	я с	5	4
251	в свою	4	4
252	не является	5	4
253	лирического я	3	4
254	как к	5	4
255	как совокупность	3	4
256	и прежде	2	4
257	в лирике	3	4
258	по сути	5	4
259	не всегда	2	4
260	от своего	2	4
261	к своему	2	4
262	только на	2	4
263	в формах	2	4
264	объекта и	3	4
265	художественной культуре	2	4
266	художественности как	2	4
267	эстетического отношения	12	4
268	зрителя слушателя	3	4
269	могли бы	2	4
270	которая в	2	4
271	могут быть	5	4
272	критерием художественности	3	4
273	духовной жизни	2	4
274	в них	2	4
275	более не	2	4
