N	3gram	Bakhtin_Fr	DiskursI
1	в том что	6	28
2	в отличие от	4	26
3	по отношению к	2	17
4	с одной стороны	2	14
5	не может быть	5	12
6	той или иной	5	10
7	то же время	5	10
8	о том что	3	9
9	в то же	5	8
10	в этом отношении	5	8
11	так и в	3	6
12	в основе своей	2	6
13	с точки зрения	6	6
14	подобно тому как	2	5
15	в значительной степени	4	5
16	не только в	5	5
17	дело в том	2	5
18	и прежде всего	4	4
19	в свое время	5	4
20	до известной степени	2	4
21	можно сказать что	3	4
22	существенную роль в	3	4
23	и не может	2	4
24	то есть в	5	3
25	и в частности	2	3
26	содержит в себе	2	3
27	в том числе	10	3
28	том числе и	7	3
29	во всяком случае	2	3
30	к себе самому	2	2
31	как мы видели	2	2
32	большей или меньшей	7	2
33	так и на	3	2
34	так и не	3	2
35	в большинстве случаев	2	2
36	но и в	5	2
37	и в том	2	2
38	в новое время	4	2
39	и в то	2	2
40	включает в себя	3	2
