N	2gram	Tiupa_Lite	Sotsiolo
1	в том	22	5
2	в этом	19	5
3	более чем	4	3
4	для нас	3	3
5	не только	29	3
6	и только	4	3
7	в его	9	3
8	не в	11	3
9	и в	26	3
10	о литературе	2	3
11	дело не	2	2
12	должна быть	3	2
13	отношению к	4	2
14	по отношению	6	2
15	еще не	4	2
16	только в	8	2
17	что в	7	2
18	тем более	2	2
19	в частности	18	2
20	том что	19	2
21	было бы	4	2
22	таким образом	4	2
23	то же	13	2
24	как будто	2	2
25	и что	2	2
26	то что	14	2
27	как бы	8	2
28	но и	25	2
29	очевидно что	2	2
30	в конце	6	2
31	за пределы	3	2
32	и мы	2	2
33	далеко не	4	2
34	может быть	24	2
35	по существу	4	2
36	в результате	2	2
