N	3gram	Voloshinov	Mirosoze
1	не может быть	2	28
2	для того чтобы	7	7
3	о том что	2	6
4	вместе с тем	2	6
5	прежде всего в	4	5
6	но и в	3	5
7	не было бы	2	5
8	мы увидим что	2	5
9	по отношению к	2	4
10	в конце концов	3	4
11	заключает в себе	4	4
12	не что иное	2	4
13	что иное как	2	4
14	в значительной степени	2	3
15	одной и той	4	3
16	и той же	4	3
17	к тому что	2	3
18	есть не что	2	3
19	как бы в	3	2
20	в разных местах	2	2
21	смысле этого слова	2	2
22	у нас не	2	2
23	в этом отношении	2	2
24	не только в	3	2
25	и ту же	2	2
26	одну и ту	2	2
27	и те же	2	2
28	не так как	2	2
