N	2gram	Trubetskoy	Tvorches
1	и в	26	56
2	как бы	12	41
3	в его	5	37
4	в то	4	30
5	то же	4	25
6	не только	10	24
7	но в	7	24
8	же время	2	24
9	то есть	4	23
10	и не	8	23
11	а в	4	23
12	в этом	15	22
13	в том	11	21
14	что в	9	21
15	том что	7	19
16	он не	4	19
17	может быть	10	19
18	потому что	7	19
19	то что	7	18
20	что он	4	17
21	все это	6	17
22	и на	2	17
23	таким образом	22	17
24	никогда не	5	16
25	прежде всего	2	16
26	при этом	3	16
27	не может	4	16
28	но и	9	16
29	в этой	4	15
30	с его	2	15
31	в мире	5	15
32	и с	10	15
33	и даже	3	14
34	о том	6	13
35	а не	5	13
36	в котором	4	12
37	все же	6	11
38	для него	3	11
39	в конце	6	10
40	не в	2	10
41	так и	6	10
42	уже в	2	10
43	представление о	6	10
44	но не	8	10
45	в самом	4	10
46	когда он	3	10
47	только в	4	10
48	в свою	2	9
49	в нем	4	9
50	один из	2	9
51	и от	4	9
52	так же	5	8
53	в себе	6	8
54	одной из	5	8
55	не менее	3	8
56	так как	9	8
57	к этому	3	8
58	еще не	2	8
59	одним из	2	8
60	именно в	2	8
61	вместе с	15	8
62	за собой	3	7
63	в которой	3	7
64	в этих	4	7
65	уже не	3	7
66	приводит к	2	6
67	так что	3	6
68	и все	2	6
69	все эти	6	6
70	хотя бы	3	6
71	и как	3	6
72	если бы	3	6
73	начиная с	2	5
74	из всех	3	5
75	но если	2	5
76	и у	8	5
77	в виде	4	5
78	в образе	2	5
79	в своем	3	5
80	а с	7	5
81	в них	2	5
82	и это	2	5
83	больше не	2	5
84	что и	6	5
85	и по	4	5
86	тот же	2	5
87	что это	3	5
88	в россии	2	5
89	из этой	2	5
90	между тем	2	5
91	и другие	3	5
92	отношению к	3	5
93	с другой	8	5
94	русской жизни	4	5
95	если не	2	5
96	из них	7	5
97	не было	2	5
98	в таком	3	5
99	но с	3	5
100	в пользу	2	5
101	и потому	6	4
102	добра и	2	4
103	крайней мере	5	4
104	самого начала	2	4
105	того что	3	4
106	что все	4	4
107	к нему	7	4
108	точки зрения	13	4
109	сих пор	5	4
110	же как	3	4
111	особенно в	2	4
112	превращается в	2	4
113	и наконец	2	4
114	с этой	3	4
115	героев и	2	4
116	по крайней	5	4
117	с самого	3	4
118	связан с	2	4
119	далеко не	4	4
120	не вполне	3	4
121	в которых	4	4
122	представляет собой	3	4
123	к жизни	5	4
124	с точки	6	4
125	связана с	2	4
126	до сих	5	4
127	в процессе	2	3
128	вплоть до	2	3
129	бога и	4	3
130	отношение к	5	3
131	к которому	2	3
132	в виду	2	3
133	на все	2	3
134	в области	9	3
135	людей и	2	3
136	и мир	2	3
137	так например	2	3
138	о котором	2	3
139	к тому	6	3
140	свидетельствует о	2	3
141	связь с	2	3
142	что оно	4	3
143	всяком случае	6	3
144	точно так	3	3
145	можно сказать	3	3
146	сказать что	2	3
147	если в	3	3
148	из этих	10	3
149	в начале	2	3
150	и тогда	4	3
151	больше чем	2	3
152	отличается от	2	3
153	мысль о	2	3
154	только что	2	3
155	лишь в	5	3
156	только для	2	3
157	для того	5	3
158	со всеми	2	3
159	на западе	3	3
160	не с	2	3
161	на этот	4	3
162	и если	3	3
163	и к	5	3
164	несмотря на	6	3
165	в русском	2	3
166	жизни и	2	3
167	но когда	2	3
168	и что	4	3
169	во всяком	6	3
170	и особенно	2	3
171	и только	4	3
172	тому же	5	3
173	в одном	3	3
174	в отношении	6	2
175	не могут	2	2
176	вслед за	2	2
177	не потому	2	2
178	когда человек	2	2
179	в силу	5	2
180	по своей	2	2
181	в одно	2	2
182	связано с	2	2
183	в другое	2	2
184	образом в	5	2
185	надо было	2	2
186	с тем	18	2
187	этот факт	2	2
188	он в	2	2
189	того же	6	2
190	в создании	2	2
191	его можно	2	2
192	грань между	2	2
193	когда же	2	2
194	был всегда	2	2
195	того чтобы	5	2
196	числе и	4	2
197	связи с	9	2
198	одновременно и	2	2
199	этой задачи	2	2
200	в связи	3	2
201	в качестве	3	2
202	во время	4	2
203	заключает в	2	2
204	некоторые из	2	2
205	в эпоху	7	2
206	но при	2	2
207	не должны	2	2
208	к достижению	3	2
209	с другими	4	2
210	ли это	2	2
211	и нет	3	2
212	во всех	2	2
213	при таком	2	2
214	тем не	3	2
215	должен был	4	2
216	как о	3	2
217	в результате	3	2
218	и о	3	2
219	наконец в	2	2
220	в глазах	2	2
221	с одной	7	2
222	культуры и	3	2
223	говорили о	2	2
224	очень много	2	2
225	не имеет	5	2
226	и является	2	2
227	и здесь	2	2
228	все что	2	2
229	к его	2	2
230	путь к	3	2
231	из себя	2	2
232	в эту	2	2
233	время он	2	2
234	ко всему	2	2
235	влечет за	2	2
236	из этого	2	2
237	конце концов	3	2
238	том числе	5	2
239	от людей	2	2
240	как на	8	2
241	не к	2	2
242	ясно что	3	2
