N	3gram	Ircho_Kome	DiskursI
1	в том что	15	28
2	в отличие от	3	26
3	по отношению к	4	17
4	с одной стороны	4	14
5	то же время	11	10
6	о том что	7	9
7	в то же	11	8
8	в этом отношении	2	8
9	состоит в том	2	8
10	и все же	2	7
11	в основе своей	2	6
12	с точки зрения	6	6
13	в конечном счете	2	6
14	к тому же	9	6
15	то же самое	3	5
16	одной стороны и	2	5
17	на мой взгляд	2	5
18	с другой стороны	2	5
19	в первую очередь	2	5
20	в свою очередь	10	5
21	тем не менее	3	4
22	в этом случае	2	4
23	более или менее	2	3
24	говоря уже о	2	3
25	в том числе	2	3
26	том числе и	2	3
27	во всяком случае	3	3
28	не говоря уже	2	3
29	то ни было	3	2
30	бы то ни	3	2
31	того же автора	2	2
32	речь идет о	3	2
33	потому что в	2	2
34	из того же	2	2
35	с самого начала	5	2
36	едва ли не	4	2
37	ни одно из	3	2
38	и в то	2	2
