N	3gram	Tiupa_Hudo	slovoVRo
1	не может быть	4	19
2	в то же	7	18
3	то же время	7	18
4	той или иной	5	15
5	с точки зрения	3	15
6	в отличие от	7	14
7	в той или	2	13
8	в отношении к	2	12
9	с одной стороны	3	11
10	более или менее	6	9
11	в значительной степени	2	7
12	с другой стороны	6	6
13	и в то	2	6
14	в том что	8	5
15	может быть и	2	5
16	по отношению к	10	5
17	для того чтобы	5	4
18	можно сказать что	3	4
19	в свою очередь	2	4
20	одно и то	3	3
21	до известной степени	2	3
22	к тому что	2	3
23	и то же	3	3
24	включает в себя	2	3
25	в связи с	3	3
26	того или иного	4	3
27	тех или иных	2	3
28	сама по себе	2	3
29	тот или иной	3	2
30	в известном смысле	2	2
31	в том и	2	2
32	этой точки зрения	2	2
33	с этой точки	2	2
34	тем не менее	3	2
