N	2gram	Tiupa_Anal	Russkaja
1	не может	26	22
2	и не	33	19
3	в том	36	17
4	в этом	31	17
5	с другом	2	14
6	и в	30	14
7	друг с	2	14
8	то что	11	13
9	самим собой	3	12
10	точки зрения	10	11
11	то же	12	11
12	таким образом	5	11
13	в то	10	10
14	но и	29	10
15	же время	7	10
16	не только	30	9
17	том что	21	9
18	может быть	33	9
19	в себе	17	9
20	с точки	6	9
21	того чтобы	3	8
22	прежде всего	8	8
23	и с	2	7
24	к тому	12	7
25	о том	11	7
26	в данном	6	7
27	мы должны	2	7
28	и если	2	7
29	не будет	3	7
30	отнюдь не	22	7
31	самом деле	3	7
32	если в	3	6
33	на самом	2	6
34	и для	3	6
35	и к	5	6
36	если бы	6	6
37	все это	2	6
38	для того	4	6
39	что он	3	6
40	в своем	2	6
41	для него	5	6
42	вопрос о	2	5
43	или иной	8	5
44	а в	11	5
45	на то	2	5
46	было бы	4	5
47	хотя бы	4	5
48	из которых	4	5
49	между собой	2	5
50	и на	10	5
51	потому что	3	5
52	лишь при	4	5
53	при этом	20	5
54	в нем	3	5
55	в своей	7	5
56	себя и	5	5
57	только в	8	5
58	никогда не	4	5
59	он не	4	5
60	между тем	7	5
61	во всех	5	5
62	и то	4	4
63	что в	7	4
64	но не	13	4
65	его в	2	4
66	все же	4	4
67	себя в	8	4
68	не могут	3	4
69	не в	17	4
70	как и	23	4
71	более или	2	4
72	в мире	14	4
73	как бы	15	4
74	все что	3	4
75	приводит к	2	4
76	так как	3	4
77	тогда когда	3	4
78	что же	3	4
79	и т.д	4	4
80	в его	15	4
81	со стороны	5	4
82	в их	8	4
83	то ни	3	4
84	в этой	12	4
85	вместе с	6	4
86	бы то	3	4
87	или менее	2	4
88	одной из	2	3
89	данном случае	3	3
90	да и	2	3
91	все они	2	3
92	том чтобы	7	3
93	для этого	2	3
94	что все	2	3
95	но мы	2	3
96	этом случае	4	3
97	в сознании	6	3
98	культуры в	2	3
99	именно в	6	3
100	из этих	2	3
101	она может	3	3
102	должно быть	2	3
103	не есть	8	3
104	всех этих	2	3
105	и потому	2	3
106	в другом	4	3
107	в конце	4	3
108	из них	2	3
109	ко всем	2	3
110	в самом	12	3
111	и как	6	3
112	несмотря на	5	3
113	может не	2	3
114	что и	5	3
115	или в	2	3
116	сводится к	6	3
117	лишь в	12	3
118	из этого	2	3
119	и во	3	3
120	говорить о	3	3
121	борьбе с	2	3
122	той или	8	3
123	и по	2	3
124	связи с	2	3
125	еще не	5	3
126	того что	5	3
127	в качестве	38	3
128	и т	3	3
129	что может	2	3
130	тем что	2	3
131	то в	2	3
132	не о	3	2
133	и о	3	2
134	не так	3	2
135	не к	3	2
136	тем самым	9	2
137	или иного	3	2
138	и те	2	2
139	ее в	2	2
140	для себя	3	2
141	тому что	2	2
142	к нему	4	2
143	на этой	2	2
144	только с	2	2
145	но в	11	2
146	того или	3	2
147	взгляде на	3	2
148	ни в	5	2
149	в котором	5	2
150	остается в	2	2
151	на себя	5	2
152	в начале	3	2
153	для нее	2	2
154	состоит в	16	2
155	уже не	6	2
156	на которой	2	2
157	на это	2	2
158	в результате	3	2
159	по отношению	10	2
160	с самим	3	2
161	даже не	2	2
162	зависимость от	2	2
163	отличается от	3	2
164	если не	2	2
165	в силу	4	2
166	и даже	10	2
167	а не	25	2
168	и тот	2	2
169	одному из	2	2
170	по себе	6	2
171	от него	2	2
172	говоря о	2	2
173	речь идет	2	2
174	место в	3	2
175	в борьбе	2	2
176	проявляется в	4	2
177	если они	2	2
178	и тем	4	2
179	и является	4	2
180	тогда как	30	2
181	и что	2	2
182	это только	2	2
183	все эти	3	2
184	том же	2	2
185	совершенно не	2	2
186	бы ни	2	2
187	только для	3	2
188	и наконец	2	2
189	а с	3	2
190	и тогда	3	2
191	не просто	2	2
192	в этих	3	2
193	только на	3	2
194	в частности	32	2
195	в таком	5	2
196	и есть	3	2
197	так что	3	2
198	как будто	6	2
199	его и	3	2
200	отношения к	4	2
201	в области	4	2
202	с ним	6	2
203	у него	5	2
204	не должен	2	2
205	мы уже	2	2
206	том и	2	2
207	и более	5	2
208	и состоит	5	2
