N	2gram	Berdyaev_V	VeschiIm
1	не есть	6	79
2	и не	20	57
3	не только	2	48
4	то что	9	48
5	и в	16	45
6	и есть	4	40
7	и т	2	39
8	т д	2	38
9	а не	7	37
10	что я	3	26
11	потому что	4	25
12	только в	2	23
13	и что	3	22
14	как бы	5	20
15	но и	5	19
16	в этом	4	18
17	и это	2	17
18	прежде всего	2	17
19	так как	9	17
20	что мы	4	17
21	того что	5	16
22	в том	3	15
23	как и	4	15
24	в ней	4	15
25	уже не	2	15
26	не в	3	14
27	и то	2	14
28	но это	3	14
29	том что	2	13
30	не будет	2	13
31	и для	3	13
32	в себя	2	13
33	что в	3	12
34	что и	3	12
35	что они	7	12
36	еще не	8	12
37	что не	4	11
38	ни в	3	11
39	в чем	3	10
40	это не	2	9
41	бы и	3	9
42	должно быть	3	9
43	хотя бы	3	9
44	но не	2	9
45	говорить о	4	9
46	с ним	2	9
47	и потому	7	8
48	что он	4	8
49	но в	3	8
50	мы не	2	8
51	все это	5	8
52	должна быть	3	8
53	с тем	2	8
54	что есть	5	8
55	для него	2	8
56	не с	2	8
57	а в	2	7
58	все эти	3	7
59	тем что	2	7
60	оно не	3	7
61	и тогда	2	7
62	никогда не	3	6
63	и все	4	6
64	в нем	4	6
65	в своей	3	6
66	одна из	2	6
67	можно было	2	6
68	все равно	2	6
69	их в	3	6
70	жизни и	3	6
71	да и	2	5
72	когда я	2	5
73	и мы	3	5
74	то это	3	5
75	один из	2	5
76	на себя	5	5
77	в его	4	5
78	а есть	2	5
79	хотя и	5	5
80	во всех	3	5
81	в жизни	3	5
82	нет и	2	5
83	все что	4	5
84	о смысле	4	5
85	в конце	3	4
86	так и	4	4
87	что все	4	4
88	того чтобы	2	4
89	не было	3	4
90	тот же	3	4
91	во всяком	2	4
92	во имя	32	4
93	его и	2	4
94	в котором	4	4
95	есть уже	2	4
96	и сам	2	4
97	для человека	2	3
98	человека и	6	3
99	это все	2	3
100	к бытию	3	3
101	а с	2	3
102	будет уже	2	3
103	к тому	3	3
104	если не	3	3
105	вот почему	2	3
106	и во	2	3
107	раз навсегда	2	3
108	в истории	8	3
109	к личности	4	3
110	от этого	3	3
111	превращается в	3	3
112	не имеет	3	3
113	на нас	2	3
114	не к	2	3
115	религиозного сознания	5	2
116	зачем же	2	2
117	ее и	2	2
118	тому что	3	2
119	является в	2	2
120	личность как	2	2
121	не так	2	2
122	нет ничего	3	2
123	и они	3	2
124	самого себя	2	2
125	истории и	2	2
126	нем нет	2	2
127	как не	3	2
128	в абсолютном	3	2
129	к чему	3	2
130	для нас	2	2
131	в смысл	2	2
132	конечно не	2	2
133	с его	3	2
