N	2gram	Bakhtin_fo	PoTuStor
1	может быть	18	17
2	и в	84	16
3	и пр	2	12
4	мы можем	2	9
5	и проч	5	9
6	в этом	41	9
7	и только	3	9
8	таким образом	14	9
9	прежде всего	28	9
10	и с	10	8
11	точки зрения	14	8
12	совершенно не	3	8
13	не может	8	8
14	и его	26	8
15	сказать что	4	7
16	не только	16	7
17	с его	10	7
18	и это	5	6
19	с точки	9	6
20	конечно не	7	6
21	самом деле	2	6
22	и к	4	6
23	для него	5	6
24	при этом	8	6
25	ни в	9	5
26	все эти	12	5
27	как бы	11	5
28	только для	2	5
29	еще не	8	5
30	в чем	3	5
31	в него	2	5
32	отношение к	5	5
33	как мы	19	4
34	и на	13	4
35	все это	10	4
36	его в	8	4
37	в его	19	4
38	и ее	4	4
39	но и	14	4
40	и не	19	4
41	по ту	2	4
42	и все	10	4
43	но в	16	4
44	с самого	3	4
45	в этой	3	4
46	с ее	7	4
47	и наконец	6	4
48	так как	12	4
49	и их	11	4
50	все что	2	4
51	и может	2	4
52	только в	12	4
53	в нем	28	4
54	хотя бы	2	4
55	можно сказать	2	4
56	так и	17	4
57	в один	2	4
58	для всех	3	4
59	самого начала	3	4
60	отнюдь не	7	4
61	и даже	5	4
62	что в	9	3
63	даже не	2	3
64	жизни и	12	3
65	и художественного	3	3
66	и как	12	3
67	и потому	4	3
68	на этой	4	3
69	тех же	2	3
70	а в	6	3
71	в том	16	3
72	их в	6	3
73	по сравнению	3	3
74	и вот	2	3
75	с другими	3	3
76	между ними	5	3
77	те же	5	3
78	до сих	4	3
79	в основном	12	3
80	только на	3	3
81	и есть	3	3
82	во время	7	3
83	но оно	2	3
84	большинстве случаев	2	3
85	в большинстве	3	3
86	сравнению с	3	3
87	в этих	6	3
88	чем не	5	3
89	отношения к	7	3
90	с их	2	3
91	как это	2	3
92	то что	13	3
93	во всех	13	3
94	мира и	6	3
95	могут быть	7	3
96	сих пор	4	3
97	вместе с	9	3
98	в одном	10	3
99	к себе	8	3
100	и др	13	3
101	на этом	2	3
102	во всяком	5	3
103	том что	7	3
104	в основе	9	3
105	один из	5	2
106	никогда не	8	2
107	для нас	2	2
108	что мы	2	2
109	по своему	3	2
110	мы видим	4	2
111	есть и	4	2
112	с нею	2	2
113	на них	2	2
114	в них	11	2
115	здесь же	2	2
116	в жизни	6	2
117	в каком	2	2
118	к ним	3	2
119	в одно	3	2
120	и вообще	3	2
121	же как	2	2
122	и для	12	2
123	совсем не	4	2
124	и всех	2	2
125	что не	3	2
126	всей жизни	2	2
127	все то	2	2
128	и по	5	2
129	так называемый	2	2
130	вообще не	4	2
131	что и	5	2
132	ее в	2	2
133	на первый	2	2
134	было бы	2	2
135	не могут	4	2
136	и других	5	2
137	на друга	4	2
138	о том	4	2
139	можно назвать	2	2
140	то же	18	2
141	они не	4	2
142	с этим	11	2
143	как и	15	2
144	что он	2	2
145	так же	7	2
146	того же	9	2
147	в своей	2	2
148	мы не	4	2
149	себя и	6	2
150	из этих	5	2
151	в самом	9	2
152	находится в	3	2
153	в начале	3	2
154	с этой	3	2
155	по аналогии	2	2
156	не на	4	2
157	в частности	11	2
158	связанные с	5	2
159	он не	6	2
160	у него	8	2
161	своей жизни	6	2
162	ту же	4	2
163	за счет	2	2
164	во всей	3	2
165	если мы	2	2
166	со всеми	4	2
167	оно не	3	2
168	всех его	2	2
169	и исторического	3	2
170	к этому	5	2
171	что на	3	2
172	нем нет	2	2
173	его целом	2	2
174	нет и	4	2
175	по всему	3	2
176	только и	5	2
177	поэтому и	4	2
178	с помощью	5	2
179	связанных с	3	2
180	не знает	4	2
181	в пределах	8	2
182	и т.п	6	2
183	момент в	2	2
184	и так	2	2
185	и этим	2	2
186	есть в	3	2
187	друг на	4	2
188	в этот	5	2
189	мы уже	17	2
190	на основе	5	2
191	с ним	5	2
192	на протяжении	3	2
193	характерно для	2	2
194	между собой	5	2
