N	3gram	Voloshinov	Mirosoze
1	не может быть	14	28
2	в том что	9	9
3	это и есть	2	9
4	для того чтобы	3	7
5	в высшей степени	6	7
6	о том что	3	6
7	может быть и	6	5
8	до сих пор	3	5
9	что и в	2	5
10	мы увидим что	4	5
11	по отношению к	11	4
12	в конце концов	2	4
13	его отношение к	2	4
14	– один из	3	4
15	не в силах	3	4
16	во всяком случае	8	3
17	том что он	2	3
18	одной и той	3	3
19	и той же	3	3
20	– все это	5	3
21	к тому что	2	3
22	выходит за пределы	2	3
23	в чем не	4	2
24	в этом отношении	4	2
25	ни в чем	4	2
26	– одно из	2	2
27	хотя бы и	2	2
28	не могут быть	4	2
29	и есть та	2	2
30	на протяжении всей	6	2
31	к тому чтобы	3	2
32	и не может	3	2
33	на всю жизнь	2	2
34	он не только	2	2
