N	3gram	Losev_Prob	VLabPisa
1	в этом отношении	4	14
2	с другой стороны	7	8
3	не может быть	2	8
4	по отношению к	2	7
5	по этому поводу	4	7
6	в то же	2	5
7	в том что	13	5
8	вместе с тем	5	4
9	можно сказать что	4	4
10	в связи с	11	4
11	равно как и	2	4
12	для того чтобы	3	3
13	о том что	14	3
14	это и есть	2	3
15	в значительной мере	3	3
16	по крайней мере	8	2
17	в результате чего	2	2
18	в конце концов	7	2
19	вот что пишет	2	2
20	с одной стороны	5	2
21	во всяком случае	6	2
22	в том числе	2	2
23	уже по одному	2	2
24	не только для	2	2
25	этой точки зрения	2	2
26	не только в	5	2
27	и никогда не	2	2
28	до сих пор	3	2
29	также и в	2	2
30	только в том	2	2
31	после того как	3	2
32	в том чтобы	2	2
33	можно было бы	2	2
