N	2gram	Propp_Morf	Komedia
1	и в	17	77
2	и не	16	47
3	в том	10	44
4	том что	7	42
5	т е	25	33
6	о том	6	33
7	но и	9	32
8	может быть	61	30
9	таким образом	26	29
10	из них	4	29
11	в то	4	28
12	и его	3	28
13	в этом	18	27
14	потому что	7	27
15	что он	5	26
16	к тому	5	26
17	не только	8	25
18	так как	20	24
19	как и	4	23
20	в доме	2	23
21	ни в	3	23
22	что в	10	23
23	что и	10	22
24	если бы	3	22
25	так и	10	21
26	а в	8	21
27	то же	10	21
28	ясно что	5	21
29	со стороны	5	19
30	во время	6	19
31	к этому	4	19
32	в этой	3	18
33	и т	62	17
34	тем что	4	17
35	еще не	4	17
36	и здесь	7	17
37	все же	9	16
38	у него	2	16
39	не менее	7	16
40	действующих лиц	22	16
41	он не	5	16
42	его в	4	15
43	не в	3	15
44	точки зрения	7	15
45	между тем	5	15
46	прежде всего	14	15
47	один из	7	15
48	было бы	5	15
49	в которой	3	15
50	к нему	3	14
51	все это	2	14
52	об этом	5	14
53	то что	10	13
54	самом деле	4	13
55	но в	4	13
56	того чтобы	4	13
57	что она	2	13
58	мы можем	5	13
59	только что	3	13
60	в одном	2	13
61	так же	4	12
62	с другой	9	12
63	для того	3	12
64	как это	7	12
65	несмотря на	4	12
66	не по	2	12
67	в качестве	8	12
68	хотя и	5	12
69	в начале	3	12
70	не может	19	12
71	как в	5	12
72	но не	8	12
73	из которых	5	12
74	по отношению	7	11
75	наряду с	7	11
76	в частности	2	11
77	с тем	2	11
78	что его	4	11
79	из дому	3	11
80	как мы	8	11
81	то время	3	11
82	к ней	3	11
83	и даже	2	11
84	на этот	2	11
85	и для	4	11
86	в целом	5	10
87	к себе	2	10
88	ничего не	5	10
89	одной из	2	10
90	в чем	2	10
91	из дома	9	10
92	на его	5	10
93	мы не	8	10
94	же в	3	10
95	с его	3	10
96	с этим	14	10
97	на него	4	10
98	с одной	2	10
99	сразу же	2	10
100	как бы	6	10
101	и что	3	10
102	в тех	8	9
103	тому что	5	9
104	одной стороны	2	9
105	однако в	2	9
106	в образе	6	9
107	ответ на	2	9
108	о его	4	9
109	и по	3	9
110	даже не	3	9
111	из его	2	9
112	того как	2	9
113	а также	7	9
114	независимо от	4	9
115	отношению к	7	9
116	время как	3	9
117	но все	4	9
118	друг друга	3	9
119	вовсе не	6	9
120	говорить о	4	9
121	только в	3	9
122	и ее	5	8
123	в жены	2	8
124	то ни	3	8
125	по своему	2	8
126	в в	2	8
127	не знает	2	8
128	то это	5	8
129	а затем	10	8
130	связи с	12	8
131	что ни	2	8
132	другой стороны	5	8
133	можно было	4	8
134	бы в	2	8
135	с этой	3	8
136	в которых	2	8
137	во всех	6	8
138	вопрос о	10	7
139	в другом	2	7
140	и у	3	7
141	и к	4	7
142	в других	5	7
143	но если	10	7
144	в связи	10	7
145	что они	5	7
146	во всяком	2	7
147	бы то	3	7
148	если в	7	7
149	тех же	4	7
150	из этих	2	7
151	хотя бы	5	7
152	в результате	8	7
153	целый ряд	3	7
154	не является	4	7
155	ни было	2	7
156	в этих	17	7
157	и тот	2	7
158	не имеет	2	7
159	для нас	2	7
160	всяком случае	2	7
161	и тем	3	6
162	на вопрос	2	6
163	могут быть	21	6
164	в сущности	3	6
165	никто не	4	6
166	не слишком	3	6
167	это было	3	6
168	тем не	7	6
169	и как	6	6
170	в середине	2	6
171	во второй	2	6
172	как будто	2	6
173	по всему	3	6
174	в какой	3	6
175	на то	3	6
176	в своих	2	6
177	с собой	3	6
178	а по	3	6
179	на этом	4	6
180	представляет собой	17	6
181	главным образом	5	6
182	с точки	6	6
183	или в	6	6
184	а не	11	6
185	этом отношении	2	5
186	это не	6	5
187	том как	2	5
188	вслед за	5	5
189	в обоих	2	5
190	одним из	2	5
191	роль в	2	5
192	ни одной	2	5
193	вывод что	2	5
194	по существу	13	5
195	не так	2	5
196	мы имеем	19	5
197	между собой	5	5
198	см ниже	2	5
199	в первом	5	5
200	который в	2	5
201	сказать что	4	5
202	что это	3	5
203	себя в	2	5
204	также в	2	5
205	т д	60	5
206	из двух	3	5
207	от отца	2	5
208	чаще всего	11	5
209	от того	4	5
210	приводит к	3	5
211	а на	3	5
212	тем же	2	5
213	чем в	2	5
214	в глаза	2	4
215	к началу	4	4
216	не всегда	10	4
217	ничем не	2	4
218	или менее	2	4
219	и этим	7	4
220	один раз	2	4
221	что же	2	4
222	№ и	4	4
223	когда в	2	4
224	не на	2	4
225	здесь мы	3	4
226	например в	2	4
227	в основе	2	4
228	так называемых	2	4
229	обоих случаях	2	4
230	одна из	5	4
231	у нее	2	4
232	и их	3	4
233	у нас	3	4
234	и другие	6	4
235	можно сделать	2	4
236	в пределах	3	4
237	далеко не	5	4
238	а то	3	4
239	прежде чем	5	4
240	их в	2	4
241	что мы	2	4
242	в поле	5	4
243	что эта	2	4
244	большей частью	6	4
245	если мы	6	3
246	не могут	7	3
247	путь к	2	3
248	действия и	2	3
249	от него	2	3
250	в одной	2	3
251	всего это	3	3
252	и таким	2	3
253	на пути	4	3
254	если они	2	3
255	что именно	2	3
256	же можно	3	3
257	пока же	4	3
258	в руки	4	3
259	а с	2	3
260	видно что	5	3
261	для этой	3	3
262	она не	2	3
263	они не	3	3
264	или по	2	3
265	его и	2	3
266	состоит в	3	3
267	и за	2	3
268	все известные	2	3
269	этим же	2	3
270	в виде	3	3
271	и когда	2	3
272	представляют собой	16	3
273	сам он	3	3
274	все еще	3	3
275	могла бы	4	3
276	право на	2	3
277	если она	2	3
278	собой в	2	3
279	ее отца	2	3
280	же она	3	3
281	только для	2	3
282	за ней	2	3
283	и более	2	3
284	не с	2	3
285	сказать о	2	3
286	более или	2	3
287	или на	3	3
288	если это	3	3
289	с просьбой	3	3
290	в большинстве	3	3
291	если он	2	3
292	такую же	2	3
293	незадолго до	2	3
294	в один	3	3
295	и есть	3	3
296	в нашем	6	3
297	в каком	2	2
298	же между	2	2
299	перед нами	14	2
300	как же	3	2
301	средств к	2	2
302	ход действия	8	2
303	означает что	3	2
304	дома в	2	2
305	ни одна	4	2
306	а потом	2	2
307	по очереди	2	2
308	одному из	3	2
309	в живых	3	2
310	в свое	2	2
311	начинается с	5	2
312	и при	3	2
313	этого не	2	2
314	встреча с	2	2
315	действующим лицам	2	2
316	е а	2	2
317	из первых	2	2
318	сына и	2	2
319	того что	3	2
320	вопрос не	2	2
321	и дает	2	2
322	как уже	3	2
323	к вопросу	2	2
324	чего следует	2	2
325	случаях когда	2	2
326	здесь же	3	2
327	ту же	2	2
328	во втором	7	2
329	тех случаях	2	2
330	не входит	2	2
331	друг за	2	2
332	большинстве случаев	3	2
333	в основу	2	2
334	вторая половина	2	2
335	точно так	2	2
336	совсем не	3	2
337	здесь не	3	2
338	мы видим	15	2
339	по отдельным	2	2
340	все эти	5	2
341	себя и	2	2
342	должна быть	2	2
343	других случаях	2	2
344	что эти	3	2
345	этом случае	10	2
346	чем это	2	2
347	это еще	2	2
348	первом случае	3	2
349	то в	3	2
350	как например	2	2
351	с другими	2	2
352	три года	4	2
353	но это	6	2
354	в собственном	3	2
355	не все	6	2
356	дело не	2	2
357	ее из	2	2
358	за которым	2	2
359	превращается в	2	2
360	встречается в	4	2
361	с двумя	2	2
362	не означает	2	2
363	но они	2	2
364	такие случаи	3	2
365	друг на	2	2
366	для него	2	2
367	это уже	3	2
368	в самых	2	2
369	этот вопрос	4	2
370	подобно тому	6	2
371	то мы	5	2
372	ее в	3	2
373	другой пример	2	2
374	на нем	3	2
375	нет необходимости	7	2
376	имеем в	8	2
377	за другом	2	2
378	тому как	5	2
379	к другому	2	2
380	мы уже	4	2
381	после чего	2	2
382	на первый	3	2
383	и только	3	2
384	в форме	6	2
385	если же	5	2
386	лиц не	2	2
387	без всякого	2	2
