N	2gram	Potebnia_M	PoTuStor
1	может быть	47	17
2	и в	58	16
3	мы можем	10	9
4	и проч	11	9
5	в этом	18	9
6	и только	6	9
7	таким образом	21	9
8	прежде всего	8	9
9	и с	3	8
10	точки зрения	8	8
11	не может	30	8
12	и его	7	8
13	сказать что	5	7
14	не только	32	7
15	с его	3	7
16	в сознание	2	7
17	и это	3	6
18	с точки	4	6
19	самом деле	2	6
20	для него	13	6
21	при этом	17	6
22	ни в	2	5
23	все эти	3	5
24	что такое	3	5
25	как бы	12	5
26	только для	7	5
27	нуждается в	2	5
28	еще не	9	5
29	до сознания	3	5
30	в чем	6	5
31	как мы	3	4
32	и на	8	4
33	все это	3	4
34	на самом	2	4
35	его в	3	4
36	в его	7	4
37	но и	26	4
38	и не	34	4
39	и все	6	4
40	но в	12	4
41	с самого	5	4
42	в этой	3	4
43	но мы	3	4
44	с ее	2	4
45	так как	29	4
46	и их	6	4
47	все что	5	4
48	и может	5	4
49	только в	36	4
50	в нем	26	4
51	а потому	14	4
52	хотя бы	4	4
53	с ними	2	4
54	так и	17	4
55	в один	2	4
56	жизни человека	2	4
57	для всех	6	4
58	мысли и	9	4
59	самого начала	5	4
60	и даже	4	4
61	что в	34	3
62	и притом	6	3
63	жизни и	3	3
64	и как	11	3
65	и потому	7	3
66	а в	11	3
67	в том	38	3
68	их в	2	3
69	с другими	3	3
70	между ними	2	3
71	те же	4	3
72	для сознания	2	3
73	до сих	5	3
74	только на	4	3
75	крайней мере	6	3
76	и есть	4	3
77	во время	5	3
78	но оно	3	3
79	на две	2	3
80	в этих	10	3
81	отношения к	2	3
82	то что	24	3
83	только как	5	3
84	во всех	12	3
85	если б	7	3
86	по крайней	6	3
87	могут быть	17	3
88	сих пор	5	3
89	на язык	7	3
90	всяком случае	7	3
91	вместе с	12	3
92	две группы	2	3
93	в одном	13	3
94	этом смысле	4	3
95	на этом	3	3
96	мы знаем	2	3
97	во всяком	9	3
98	том что	21	3
99	один из	2	2
100	никогда не	7	2
101	для нас	29	2
102	все остальные	9	2
103	что мы	11	2
104	мы видим	5	2
105	с нею	6	2
106	в них	7	2
107	не можем	5	2
108	в жизни	5	2
109	в каком	7	2
110	понятия и	3	2
111	к ним	3	2
112	в одно	5	2
113	для этого	2	2
114	и вообще	5	2
115	и для	8	2
116	что не	15	2
117	нам кажется	2	2
118	все то	2	2
119	что это	5	2
120	этой теории	4	2
121	оно и	4	2
122	и по	8	2
123	таким путем	4	2
124	а на	2	2
125	что и	16	2
126	не менее	10	2
127	не существует	2	2
128	существует только	2	2
129	было бы	21	2
130	не могут	10	2
131	как не	4	2
132	и других	6	2
133	на друга	2	2
134	чувства и	16	2
135	о том	6	2
136	то же	13	2
137	они не	5	2
138	с этим	11	2
139	как и	16	2
140	что он	5	2
141	так же	7	2
142	того же	13	2
143	в своей	3	2
144	мы не	17	2
145	себя и	3	2
146	ни было	4	2
147	из этих	8	2
148	но как	4	2
149	в самом	5	2
150	находится в	2	2
151	в начале	2	2
152	с этой	3	2
153	не на	3	2
154	сознания и	2	2
155	что можно	3	2
156	связанные с	3	2
157	он не	4	2
158	у него	3	2
159	не нуждается	2	2
160	это последнее	6	2
161	между собою	10	2
162	для меня	4	2
163	если мы	5	2
164	и о	3	2
165	оно не	4	2
166	не есть	13	2
167	к другим	3	2
168	в душе	28	2
169	за пределы	4	2
170	к этому	3	2
171	что на	9	2
172	в развитии	2	2
173	и чувств	2	2
174	что оно	5	2
175	быть может	6	2
176	есть в	4	2
177	друг на	2	2
178	только то	3	2
179	не будет	2	2
180	с ним	7	2
181	но это	7	2
