N	2gram	Voloshinov	Russkaja
1	не может	16	22
2	и не	10	19
3	в том	6	17
4	в этом	4	17
5	и в	12	14
6	то что	5	13
7	точки зрения	14	11
8	то же	5	11
9	таким образом	12	11
10	в то	2	10
11	но и	3	10
12	не только	4	9
13	том что	5	9
14	может быть	14	9
15	в себе	3	9
16	с точки	2	9
17	как на	2	8
18	прежде всего	8	8
19	и с	3	7
20	о том	3	7
21	в данном	2	7
22	отнюдь не	5	7
23	самом деле	3	7
24	на самом	4	6
25	и для	3	6
26	и к	4	6
27	если бы	9	6
28	все это	3	6
29	в своем	2	6
30	для него	3	6
31	хотя бы	5	5
32	между собой	2	5
33	и на	4	5
34	при этом	6	5
35	в нем	6	5
36	он должен	3	5
37	в своей	3	5
38	себя и	2	5
39	конечно не	3	5
40	только в	6	5
41	никогда не	5	5
42	он не	2	5
43	сих пор	3	5
44	между тем	3	5
45	до сих	3	5
46	и то	2	4
47	что в	2	4
48	но не	2	4
49	его в	4	4
50	все же	4	4
51	не в	4	4
52	как и	5	4
53	как бы	13	4
54	так как	9	4
55	тогда когда	2	4
56	жизни и	4	4
57	в его	2	4
58	то ни	3	4
59	точку зрения	2	4
60	вместе с	2	4
61	от того	4	4
62	бы то	3	4
63	в корне	2	4
64	данном случае	2	3
65	да и	3	3
66	все они	2	3
67	но мы	2	3
68	не есть	2	3
69	и потому	2	3
70	ко всем	2	3
71	в самом	4	3
72	что и	2	3
73	из этого	3	3
74	и по	3	3
75	еще не	3	3
76	того что	3	3
77	не так	2	2
78	не к	3	2
79	и те	2	2
80	к нему	4	2
81	она не	2	2
82	но в	5	2
83	ни в	3	2
84	в котором	3	2
85	так же	3	2
86	от этой	2	2
87	в настоящее	2	2
88	в ней	6	2
89	уже не	4	2
90	на это	2	2
91	в некоторых	3	2
92	по отношению	11	2
93	но для	3	2
94	настоящее время	2	2
95	отношении к	3	2
96	а не	5	2
97	для нас	7	2
98	по себе	3	2
99	мы можем	2	2
100	место в	2	2
101	зависит от	2	2
102	и является	4	2
103	и что	2	2
104	но это	2	2
105	все эти	3	2
106	и наконец	3	2
107	в этих	2	2
108	только на	3	2
109	должна быть	5	2
110	если же	2	2
111	с ним	3	2
112	быть и	3	2
113	и более	3	2
114	ясно что	3	2
