N	3gram	Bakhtin_fo	Stilisti
1	в то же	10	9
2	то же время	13	7
3	для того чтобы	11	7
4	и то же	4	5
5	с точки зрения	9	5
6	одно и то	4	5
7	прежде всего в	3	4
8	с самого начала	3	4
9	той или иной	3	4
10	как мы уже	11	3
11	не только в	6	3
12	но все же	3	3
13	но для того	2	3
14	но и в	5	3
15	и не только	2	2
16	вместе с тем	3	2
17	все то что	2	2
18	в связи с	12	2
19	в точном смысле	3	2
20	и как бы	2	2
21	в этом отношении	5	2
22	само собой разумеется	2	2
23	мы будем говорить	2	2
24	и в то	7	2
25	как мы увидим	2	2
26	по отношению к	3	2
27	но в то	2	2
28	о том что	2	2
29	связи с этим	4	2
30	не может быть	4	2
31	равно как и	4	2
