N	2gram	Bakhtin_Pr	Myshleni
1	в том	17	195
2	в этом	40	167
3	то что	21	166
4	и в	59	162
5	том что	15	161
6	таким образом	22	147
7	точки зрения	36	143
8	что в	14	119
9	не только	26	116
10	того что	4	109
11	в процессе	4	101
12	так же	10	100
13	потому что	20	95
14	того чтобы	5	91
15	может быть	38	89
16	с точки	21	89
17	что он	16	86
18	не может	31	81
19	как и	21	79
20	так как	11	78
21	для того	3	78
22	и не	66	78
23	только в	15	75
24	в целом	8	74
25	как мы	10	72
26	но и	22	70
27	заключается в	3	67
28	в его	44	67
29	сказать что	9	65
30	как бы	40	64
31	вместе с	2	62
32	и что	2	60
33	было бы	10	60
34	то же	15	58
35	в основе	6	58
36	в отношении	3	55
37	могли бы	3	54
38	что мы	2	53
39	в самом	19	52
40	в сущности	11	51
41	по сравнению	2	51
42	мы должны	6	50
43	что они	3	48
44	мы можем	3	48
45	тем что	5	48
46	мы не	3	47
47	тогда когда	2	47
48	сравнению с	2	46
49	если бы	12	46
50	но не	13	45
51	с другой	3	45
52	по отношению	17	45
53	тем самым	3	43
54	же как	5	43
55	как это	2	42
56	тому что	3	42
57	отношению к	17	42
58	не является	2	41
59	о том	5	40
60	так и	13	39
61	говорит он	9	39
62	никогда не	19	39
63	в области	3	38
64	мы видели	3	38
65	вопрос о	4	37
66	не в	10	37
67	в этой	5	37
68	и к	5	37
69	мы видим	5	37
70	в своем	12	36
71	с самого	3	36
72	все эти	12	36
73	и его	21	36
74	самого начала	4	36
75	как в	10	36
76	а не	30	36
77	друг с	4	35
78	с другом	4	35
79	можно было	5	35
80	он не	11	35
81	в которой	6	35
82	в себе	9	35
83	для себя	5	35
84	и т.д	2	35
85	и как	10	34
86	приводит к	4	34
87	при этом	5	33
88	прежде всего	17	33
89	по себе	13	33
90	что и	10	32
91	именно в	8	32
92	но в	7	32
93	слова и	2	32
94	той же	7	32
95	и тем	2	32
96	что оно	2	32
97	и на	15	32
98	все же	9	31
99	мысли и	5	30
100	этом отношении	7	30
101	между тем	5	29
102	могут быть	5	29
103	этого слова	3	29
104	от того	4	29
105	с этим	2	28
106	самом деле	9	28
107	что все	5	27
108	в своей	17	27
109	только что	3	27
110	в результате	6	27
111	в то	15	27
112	перед нами	8	27
113	другой стороны	3	27
114	и с	10	27
115	мысли в	2	26
116	в их	5	26
117	в частности	2	26
118	для него	23	26
119	все это	12	25
120	еще не	11	25
121	уже в	9	25
122	что она	6	25
123	это не	13	25
124	в чем	2	25
125	можно сказать	3	25
126	мы уже	4	25
127	так что	3	24
128	тот же	4	24
129	в какой	2	24
130	в нем	38	24
131	зависимости от	5	24
132	на этот	2	24
133	в высшей	2	24
134	в смысле	4	24
135	в сфере	4	24
136	как он	5	23
137	друг друга	10	23
138	бы в	7	23
139	слова в	4	23
140	ни в	5	23
141	этот вопрос	3	23
142	смысле этого	2	22
143	высшей степени	2	22
144	во всяком	5	22
145	в зависимости	5	22
146	отношения между	3	22
147	не могут	6	22
148	то время	3	22
149	отношение к	4	21
150	в истории	3	21
151	все время	4	21
152	и более	2	21
153	в нашем	3	21
154	его в	6	21
155	там где	12	21
156	к этому	6	21
157	и все	4	21
158	ее в	2	21
159	между ними	4	21
160	и следовательно	7	21
161	и ее	5	21
162	не имеет	2	21
163	в сознании	4	21
164	в свете	4	21
165	в котором	6	20
166	в виду	2	20
167	и других	8	20
168	по существу	5	20
169	а в	9	20
170	должно быть	4	20
171	время как	2	20
172	из них	8	20
173	как раз	9	20
174	и их	7	20
175	на вопрос	2	20
176	не менее	3	20
177	из этих	2	20
178	для других	2	19
179	в данном	3	19
180	словом и	2	19
181	в себя	3	19
182	с ним	13	19
183	из которых	3	19
184	в той	9	19
185	как на	4	19
186	а с	4	19
187	и по	4	19
188	во всех	8	19
189	мы и	2	19
190	один из	4	19
191	отличие от	3	18
192	во всей	2	18
193	одного и	2	18
194	чем в	3	18
195	всяком случае	3	18
196	но это	7	18
197	в отличие	3	18
198	этом смысле	12	18
199	для этого	4	17
200	сих пор	3	17
201	и для	5	17
202	все что	6	17
203	в своих	5	17
204	в одном	14	17
205	и от	3	17
206	мысль не	3	17
207	этой точки	3	17
208	совпадает с	3	17
209	то и	2	17
210	и есть	6	17
211	и только	2	17
212	не есть	2	17
213	в этих	5	17
214	их в	8	17
215	до конца	11	17
216	я не	7	17
217	нами в	5	17
218	в совершенно	2	17
219	у него	9	17
220	до сих	3	17
221	вовсе не	13	16
222	тому как	5	16
223	по поводу	2	16
224	между отдельными	2	16
225	и другие	4	16
226	для нас	3	16
227	которые в	2	16
228	и даже	4	16
229	в которых	2	16
230	мы имеем	2	16
231	таким же	4	16
232	данном случае	3	15
233	тем более	2	15
234	те же	3	15
235	но как	4	15
236	который мы	2	15
237	по этому	2	15
238	что если	4	15
239	в начале	3	15
240	от этого	2	15
241	подобно тому	5	15
242	хотя бы	5	15
243	отличается от	3	15
244	как она	2	15
245	является не	3	15
246	ничего не	8	15
247	и это	5	15
248	в них	5	15
249	друг от	2	14
250	точку зрения	9	14
251	значение для	2	14
252	точка зрения	14	14
253	и во	2	14
254	что для	4	14
255	что у	5	14
256	со всей	2	14
257	который в	2	14
258	от друга	2	14
259	уже говорили	2	14
260	об этом	4	14
261	с его	14	14
262	одним из	11	14
263	и здесь	5	14
264	она не	9	13
265	благодаря этому	2	13
266	на его	7	13
267	но все	8	13
268	лишь в	4	13
269	точно так	2	13
270	человека и	2	13
271	они не	5	13
272	его к	4	13
273	в основном	2	13
274	с другими	11	13
275	но на	2	13
276	были бы	5	12
277	и потому	9	12
278	в ее	4	12
279	в первом	3	12
280	никак не	3	12
281	но только	3	12
282	входит в	11	12
283	даже в	7	12
284	с которыми	2	12
285	выражение в	6	12
286	это и	10	12
287	к другу	4	12
288	ко всем	2	12
289	несмотря на	7	12
290	в ней	8	12
291	с их	9	12
292	в одной	9	12
293	к нему	13	12
294	к другому	2	12
295	за пределы	10	12
296	но он	3	12
297	на самом	5	11
298	в каком	2	11
299	в конце	9	11
300	одно из	2	11
301	идет о	5	11
302	а только	3	11
303	друг другу	3	11
304	есть не	3	11
305	на котором	3	11
306	ответ на	2	11
307	находится в	2	11
308	например в	5	11
309	в пределах	13	11
310	с ее	5	11
311	в один	2	11
312	не могли	3	11
313	лежит в	3	11
314	и наконец	5	11
315	на пороге	4	11
316	слово в	3	11
317	он в	3	11
318	не знает	5	11
319	не столько	3	11
320	вот почему	3	11
321	не по	3	11
322	есть в	10	11
323	отношения к	4	11
324	не совпадает	2	10
325	здесь мы	3	10
326	относится к	2	10
327	у нас	2	10
328	в другой	4	10
329	если не	2	10
330	или иной	3	10
331	за собой	3	10
332	но для	2	10
333	является для	2	10
334	и слово	6	10
335	и т.п	8	10
336	и у	6	10
337	самом начале	3	10
338	по выражению	2	10
339	что именно	2	10
340	в плане	5	9
341	к этим	2	9
342	в момент	4	9
343	само по	4	9
344	только для	2	9
345	он может	4	9
346	но эта	4	9
347	друг к	4	9
348	и он	3	9
349	сама по	3	9
350	совершенно не	2	9
351	как только	2	9
352	и притом	3	9
353	находит свое	2	9
354	в самой	10	9
355	оно не	2	9
356	но с	4	9
357	место в	2	9
358	и до	5	9
359	той или	3	9
360	что же	5	9
361	в первой	3	9
362	представляется нам	2	9
363	говорить о	3	9
364	или в	2	9
365	нисколько не	2	8
366	в зоне	2	8
367	что не	6	8
368	которая не	2	8
369	себе и	3	8
370	не возникает	2	8
371	на которой	2	8
372	со стороны	6	8
373	эти три	2	8
374	мы его	2	8
375	в этот	2	8
376	поэтому в	2	8
377	не как	15	8
378	не на	6	8
379	уже и	2	8
